family,model,fine_tune_mode,support_per_class,repeat,n_train,n_query,status,error,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
masking,mask_metabolights,frozen,2,1,4,74,ok,,0.47297297297297297,0.47441520467836257,0.4721053594293031,0.47152695040018994,0.4634146341463415,0.5277777777777778,0.4935064935064935,0.42397660818713445,0.4434789164321813,16,22,17,19
masking,mask_metabolights,frozen,2,2,4,74,ok,,0.47297297297297297,0.4634502923976608,0.39203707604803034,0.3980323276721002,0.36363636363636365,0.1111111111111111,0.1702127659574468,0.4130116959064327,0.4662850420682779,31,7,32,4
masking,mask_metabolights,frozen,2,3,4,74,ok,,0.6891891891891891,0.6849415204678362,0.6792915017900886,0.6808142229284118,0.76,0.5277777777777778,0.6229508196721312,0.8340643274853801,0.7966898430800001,32,6,17,19
masking,mask_metabolights,frozen,2,4,4,74,ok,,0.6216216216216216,0.618421052631579,0.6145833333333333,0.615990990990991,0.6428571428571429,0.5,0.5625,0.6710526315789475,0.7020775739706402,28,10,18,18
masking,mask_metabolights,frozen,2,5,4,74,ok,,0.5135135135135135,0.5138888888888888,0.5135135135135135,0.5135135135135135,0.5,0.5277777777777778,0.5135135135135135,0.5175438596491229,0.5879954903957113,19,19,17,19
masking,mask_metabolights,frozen,2,6,4,74,ok,,0.5540540540540541,0.5504385964912281,0.5439775910364146,0.5458096752214399,0.5555555555555556,0.4166666666666667,0.47619047619047616,0.47587719298245623,0.5491369340548388,26,12,21,15
masking,mask_metabolights,frozen,2,7,4,74,ok,,0.5405405405405406,0.5431286549707602,0.5375,0.5364864864864866,0.5227272727272727,0.6388888888888888,0.575,0.567251461988304,0.5793112265297449,17,21,13,23
masking,mask_metabolights,frozen,2,8,4,74,ok,,0.5135135135135135,0.5226608187134503,0.45632653061224493,0.45156094870380586,0.5,0.8611111111111112,0.6326530612244898,0.5760233918128655,0.6276481419144344,7,31,5,31
masking,mask_metabolights,frozen,2,9,4,74,ok,,0.6486486486486487,0.6461988304093567,0.6444937176644494,0.6455324504104992,0.6666666666666666,0.5555555555555556,0.6060606060606061,0.6615497076023391,0.6447642435900771,28,10,16,20
masking,mask_metabolights,frozen,2,10,4,74,ok,,0.40540540540540543,0.41154970760233917,0.37624521072796935,0.37260018639328985,0.42592592592592593,0.6388888888888888,0.5111111111111111,0.4904970760233918,0.5489068361571585,7,31,13,23
masking,mask_metabolights,frozen,5,1,10,68,ok,,0.5882352941176471,0.5766233766233766,0.5041666666666667,0.510171568627451,0.8571428571428571,0.18181818181818182,0.3,0.7298701298701299,0.7059678769733329,34,1,27,6
masking,mask_metabolights,frozen,5,2,10,68,ok,,0.5882352941176471,0.5766233766233766,0.5041666666666667,0.510171568627451,0.8571428571428571,0.18181818181818182,0.3,0.7393939393939394,0.740996516917794,34,1,27,6
masking,mask_metabolights,frozen,5,3,10,68,ok,,0.6617647058823529,0.6696969696969697,0.6392156862745098,0.636562860438293,0.5961538461538461,0.9393939393939394,0.7294117647058823,0.7800865800865802,0.7412255117993816,14,21,2,31
masking,mask_metabolights,frozen,5,4,10,68,ok,,0.45588235294117646,0.4670995670995671,0.37084271067766944,0.3640395392965889,0.4666666666666667,0.8484848484848485,0.6021505376344086,0.5281385281385282,0.6010719830164293,3,32,5,28
masking,mask_metabolights,frozen,5,5,10,68,ok,,0.5,0.49870129870129865,0.4982638888888889,0.4991319444444444,0.4838709677419355,0.45454545454545453,0.46875,0.4692640692640693,0.5240378311725278,19,16,18,15
masking,mask_metabolights,frozen,5,6,10,68,ok,,0.7794117647058824,0.7848484848484849,0.7734843437708194,0.7724066308735352,0.6956521739130435,0.9696969696969697,0.810126582278481,0.8103896103896104,0.7694833545228313,21,14,1,32
masking,mask_metabolights,frozen,5,7,10,68,ok,,0.5735294117647058,0.5744588744588744,0.5734371620160069,0.573252662518609,0.5555555555555556,0.6060606060606061,0.5797101449275363,0.5610389610389611,0.6109000706178893,19,16,13,20
masking,mask_metabolights,frozen,5,8,10,68,ok,,0.5735294117647058,0.5727272727272728,0.5726977248104008,0.5732521827799376,0.5625,0.5454545454545454,0.5538461538461539,0.612987012987013,0.6681509898428605,21,14,15,18
masking,mask_metabolights,frozen,5,9,10,68,ok,,0.6029411764705882,0.6125541125541125,0.5610805641883816,0.5570938392091238,0.5535714285714286,0.9393939393939394,0.6966292134831461,0.6883116883116883,0.6783490501155767,10,25,2,31
masking,mask_metabolights,frozen,5,10,10,68,ok,,0.6323529411764706,0.6402597402597403,0.607843137254902,0.6049596309111881,0.5769230769230769,0.9090909090909091,0.7058823529411765,0.7645021645021645,0.7244412081226579,13,22,3,30
