family,model,fine_tune_mode,support_per_class,repeat,n_train,n_query,status,error,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,macro_roc_auc_ovr,confusion_matrix
masking,mask_metabolights,frozen,2,1,6,107,ok,,0.21495327102803738,0.2569178373776075,0.21310333884050667,0.19664079001810222,0.2561388603726386,0.2569178373776075,0.4810071241039095,"[[8, 4, 12], [18, 5, 31], [15, 4, 10]]"
masking,mask_metabolights,frozen,2,2,6,107,ok,,0.40186915887850466,0.37159429544487016,0.35201058201058205,0.40277703604806414,0.3818515421776292,0.37159429544487016,0.5010617162758585,"[[11, 9, 4], [21, 28, 5], [16, 9, 4]]"
masking,mask_metabolights,frozen,2,3,6,107,ok,,0.29906542056074764,0.29065559812686254,0.2671577934735829,0.29476622737813096,0.3147449336128581,0.29065559812686254,0.4798187098582565,"[[10, 11, 3], [32, 19, 3], [11, 15, 3]]"
masking,mask_metabolights,frozen,2,4,6,107,ok,,0.3177570093457944,0.3995849297573435,0.31663917628829913,0.28386466605846833,0.40829705505761843,0.3995849297573435,0.4962315121572842,"[[17, 4, 3], [37, 6, 11], [17, 1, 11]]"
masking,mask_metabolights,frozen,2,5,6,107,ok,,0.24299065420560748,0.27889527458492974,0.22906721453461434,0.21911141255393918,0.28912753912753913,0.27889527458492974,0.45611428153339456,"[[5, 3, 16], [13, 6, 35], [10, 4, 15]]"
masking,mask_metabolights,frozen,2,6,6,107,ok,,0.3925233644859813,0.35238399318859087,0.3311355311355311,0.38619184553763997,0.35670619235836626,0.35238399318859087,0.5297361150314277,"[[10, 11, 3], [20, 29, 5], [16, 10, 3]]"
masking,mask_metabolights,frozen,2,7,6,107,ok,,0.3644859813084112,0.34929757343550444,0.32305483778351995,0.3734357265328794,0.3638262322472849,0.34929757343550444,0.5078749771378451,"[[12, 5, 7], [26, 24, 4], [19, 7, 3]]"
masking,mask_metabolights,frozen,2,8,6,107,ok,,0.45794392523364486,0.39479565772669223,0.3832714572505019,0.4366794479651057,0.43429612282071295,0.39479565772669223,0.5681411732042361,"[[3, 14, 7], [2, 33, 19], [2, 14, 13]]"
masking,mask_metabolights,frozen,2,9,6,107,ok,,0.32710280373831774,0.3344508301404853,0.31121166415284063,0.3263416078149448,0.32505953396890414,0.3344508301404853,0.5108870244000877,"[[5, 7, 12], [17, 15, 22], [5, 9, 15]]"
masking,mask_metabolights,frozen,2,10,6,107,ok,,0.3177570093457944,0.3527564921243082,0.31432731432731437,0.32188736861634065,0.3768590455049945,0.3527564921243082,0.549135846836735,"[[13, 4, 7], [22, 13, 19], [18, 3, 8]]"
masking,mask_metabolights,frozen,5,1,15,98,ok,,0.336734693877551,0.33742727860374916,0.32076365139614416,0.35173215138962494,0.3414612727592061,0.33742727860374916,0.5510524383669386,"[[9, 4, 8], [18, 18, 15], [11, 9, 6]]"
masking,mask_metabolights,frozen,5,2,15,98,ok,,0.3877551020408163,0.3417366946778711,0.2871732026143791,0.35267857142857145,0.26052591579267365,0.3417366946778711,0.4654501569842175,"[[10, 11, 0], [19, 28, 4], [14, 12, 0]]"
masking,mask_metabolights,frozen,5,3,15,98,ok,,0.3673469387755102,0.31950729009552536,0.31437495522601905,0.3690122238450506,0.31196581196581197,0.31950729009552536,0.5127961217716269,"[[7, 11, 3], [7, 26, 18], [12, 11, 3]]"
masking,mask_metabolights,frozen,5,4,15,98,ok,,0.40816326530612246,0.3549881491057962,0.3390250166949196,0.4005283666864804,0.4993894993894994,0.3549881491057962,0.5592646467735866,"[[8, 12, 1], [22, 29, 0], [12, 11, 3]]"
masking,mask_metabolights,frozen,5,5,15,98,ok,,0.37755102040816324,0.3423831070889894,0.28133437853845483,0.3443044319896759,0.2730994152046784,0.3423831070889894,0.5285449451482886,"[[0, 7, 14], [0, 21, 30], [0, 10, 16]]"
masking,mask_metabolights,frozen,5,6,15,98,ok,,0.40816326530612246,0.364863894275659,0.35443594166998427,0.4095210712231989,0.35886255217650564,0.364863894275659,0.5591532584201991,"[[3, 10, 8], [7, 25, 19], [6, 8, 12]]"
masking,mask_metabolights,frozen,5,7,15,98,ok,,0.40816326530612246,0.38928391869568335,0.3652191945585002,0.4066851525978066,0.36582574006074625,0.38928391869568335,0.574483393185342,"[[11, 8, 2], [13, 25, 13], [12, 10, 4]]"
masking,mask_metabolights,frozen,5,8,15,98,ok,,0.3673469387755102,0.3505709976298212,0.3147872306840131,0.37161885409735046,0.3501665001665002,0.3505709976298212,0.5106248106873889,"[[11, 5, 5], [24, 23, 4], [17, 7, 2]]"
masking,mask_metabolights,frozen,5,9,15,98,ok,,0.29591836734693877,0.2644185879479997,0.25720008752882556,0.3059060315536607,0.2768873403019744,0.2644185879479997,0.5264717212911384,"[[6, 8, 7], [26, 20, 5], [10, 13, 3]]"
masking,mask_metabolights,frozen,5,10,15,98,ok,,0.3877551020408163,0.3108525461466638,0.30568774754821265,0.3714773149989097,0.3085901027077498,0.3108525461466638,0.4699099444204933,"[[4, 12, 5], [13, 30, 8], [4, 18, 4]]"
