family,model,fine_tune_mode,support_per_class,repeat,n_train,n_query,status,error,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,macro_roc_auc_ovr,confusion_matrix
masking,mask_metabolights,frozen,2,1,6,107,ok,,0.40186915887850466,0.3566943380161771,0.35838847532395923,0.4080726328239141,0.36126262626262623,0.3566943380161771,0.4965302834584124,"[[7, 9, 8], [7, 29, 18], [10, 12, 7]]"
masking,mask_metabolights,frozen,2,2,6,107,ok,,0.37383177570093457,0.3352490421455938,0.3308646163123775,0.38530425611957203,0.349734802121583,0.3352490421455938,0.5288642907772648,"[[8, 9, 7], [20, 27, 7], [15, 9, 5]]"
masking,mask_metabolights,frozen,2,3,6,107,ok,,0.3925233644859813,0.39788207747977866,0.3953423120089787,0.4159665187702571,0.4319117647058824,0.39788207747977866,0.5773646527119104,"[[9, 7, 8], [30, 20, 4], [9, 7, 13]]"
masking,mask_metabolights,frozen,2,4,6,107,ok,,0.32710280373831774,0.3850042571306939,0.3309143686502177,0.32041173427172365,0.42184908789386405,0.3850042571306939,0.5465359287887527,"[[15, 4, 5], [35, 10, 9], [17, 2, 10]]"
masking,mask_metabolights,frozen,2,5,6,107,ok,,0.38317757009345793,0.37148786717752236,0.3611111111111111,0.3987538940809969,0.4194672131147541,0.37148786717752236,0.5583301980105851,"[[5, 3, 16], [3, 21, 30], [8, 6, 15]]"
masking,mask_metabolights,frozen,2,6,6,107,ok,,0.3177570093457944,0.36153682418050237,0.32489249880554233,0.3129479216435738,0.4014550264550265,0.36153682418050237,0.5501460341660439,"[[10, 4, 10], [5, 10, 39], [13, 2, 14]]"
masking,mask_metabolights,frozen,2,7,6,107,ok,,0.4205607476635514,0.407620263942103,0.3960001423436889,0.4468747079543184,0.4456099456099456,0.407620263942103,0.545067410574331,"[[12, 3, 9], [22, 26, 6], [18, 4, 7]]"
masking,mask_metabolights,frozen,2,8,6,107,ok,,0.514018691588785,0.46748616432524476,0.4748312435173174,0.5129061869210549,0.4922600619195046,0.46748616432524476,0.6325013522626355,"[[9, 9, 6], [3, 35, 16], [5, 13, 11]]"
masking,mask_metabolights,frozen,2,9,6,107,ok,,0.37383177570093457,0.3677096636866752,0.3542742742742743,0.3806819904016166,0.36581196581196584,0.3677096636866752,0.5429591540120187,"[[6, 8, 10], [13, 20, 21], [7, 8, 14]]"
masking,mask_metabolights,frozen,2,10,6,107,ok,,0.48598130841121495,0.4484355044699872,0.44259359739555076,0.5017067188638327,0.45290390057831925,0.4484355044699872,0.6076379041570975,"[[11, 4, 9], [10, 33, 11], [15, 6, 8]]"
masking,mask_metabolights,frozen,5,1,15,98,ok,,0.5306122448979592,0.4617898441427853,0.4626068376068376,0.5446428571428571,0.4684710351377019,0.4617898441427853,0.6615667630440561,"[[7, 3, 11], [9, 36, 6], [11, 6, 9]]"
masking,mask_metabolights,frozen,5,2,15,98,ok,,0.35714285714285715,0.30076133017309487,0.30173923923923923,0.364751869216155,0.31074824824824826,0.30076133017309487,0.49807266101070863,"[[3, 10, 8], [4, 25, 22], [9, 10, 7]]"
masking,mask_metabolights,frozen,5,3,15,98,ok,,0.41836734693877553,0.38343029519500105,0.38338744588744594,0.42776802279353304,0.38599033816425127,0.38343029519500105,0.565645367819961,"[[9, 8, 4], [3, 27, 21], [11, 10, 5]]"
masking,mask_metabolights,frozen,5,4,15,98,ok,,0.3877551020408163,0.32324211735976444,0.3169451814613105,0.3918412945404387,0.36128048780487804,0.32324211735976444,0.5894365603041627,"[[6, 10, 5], [21, 29, 1], [14, 9, 3]]"
masking,mask_metabolights,frozen,5,5,15,98,ok,,0.3877551020408163,0.36130862601450836,0.3326341133593892,0.3837627229192771,0.3785014005602241,0.36130862601450836,0.5702709483998595,"[[2, 6, 13], [2, 21, 28], [4, 7, 15]]"
masking,mask_metabolights,frozen,5,6,15,98,ok,,0.4387755102040816,0.39380880557351144,0.3868762816131237,0.44126550141587734,0.3997835497835498,0.39380880557351144,0.5992852655701306,"[[4, 7, 10], [6, 27, 18], [4, 10, 12]]"
masking,mask_metabolights,frozen,5,7,15,98,ok,,0.3877551020408163,0.3729799612152553,0.3334174956656399,0.3790334797757916,0.33480449090205183,0.3729799612152553,0.5969625538059294,"[[12, 8, 1], [15, 24, 12], [15, 9, 2]]"
masking,mask_metabolights,frozen,5,8,15,98,ok,,0.41836734693877553,0.4021044315161962,0.38395587771138756,0.4436838943629171,0.4434232026143791,0.4021044315161962,0.6010456977514013,"[[11, 3, 7], [23, 25, 3], [17, 4, 5]]"
masking,mask_metabolights,frozen,5,9,15,98,ok,,0.3877551020408163,0.3984773396538103,0.3812068843159855,0.40929564546043357,0.42243589743589743,0.3984773396538103,0.6401746976460905,"[[8, 3, 10], [23, 18, 10], [9, 5, 12]]"
masking,mask_metabolights,frozen,5,10,15,98,ok,,0.5612244897959183,0.4718810601163543,0.46600631639391327,0.5456072351421188,0.4662413609782032,0.4718810601163543,0.7105198268035743,"[[8, 6, 7], [4, 41, 6], [10, 10, 6]]"
