feature_group,feature_name,classifier,n_episodes,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_recall_mean
direct_binned,bins1024_auc,logreg,100,0.6070833333333333,0.08104064152017951,0.5125429856528658,0.07914832590003743,0.5843494653494653,0.6673809523809524
direct_binned,bins1024_auc,svm,100,0.64125,0.09153552756081182,0.5317799522822884,0.0789261989787671,0.5948809986309986,0.6467195767195767
direct_binned,bins1024_auc,xgboost,100,0.5720833333333334,0.0992492511852383,0.48002966171143585,0.08056264846014612,0.5507955361631832,0.5923280423280423
direct_binned,bins2048_auc,logreg,100,0.6154166666666666,0.08517637836923314,0.5178695964818997,0.08368041486089048,0.5886894940571411,0.6631216931216932
direct_binned,bins2048_auc,svm,100,0.6516666666666667,0.09410962635824476,0.540855892479267,0.08171141794808616,0.5974126799126799,0.66005291005291
direct_binned,bins2048_auc,xgboost,100,0.5870833333333334,0.09138213416442212,0.49169633055706546,0.07119530452176331,0.5595193371443371,0.6082275132275132
foundation_backbone,mae_flatten,logreg,100,0.6175,0.08771718276733179,0.5056337326771004,0.06952993937256971,0.5709198394198394,0.6104232804232804
foundation_backbone,mae_flatten,svm,100,0.6066666666666667,0.08402908213362785,0.5041046540168197,0.06742714509183267,0.5788790191290192,0.6232010582010582
foundation_backbone,mae_flatten,xgboost,100,0.5879166666666666,0.08497849962448581,0.48776047869162686,0.06670280056677873,0.5523957893957894,0.5973544973544973
prototype_head,mae_embeddings,prototype_mahalanobis_support_anova,100,0.62625,0.09221503409981031,0.5286646279930998,0.07428648455375236,0.6063644503644504,0.6595502645502646
