feature_group,feature_name,classifier,episode,n_train,n_test,status,error,accuracy,macro_f1,macro_precision,macro_recall
foundation_backbone,mae_flatten,svm_C1p0,1,12,30,ok,,0.4666666666666667,0.46104006820119353,0.5343915343915343,0.547979797979798
foundation_backbone,mae_flatten,logreg_C0p1,1,12,30,ok,,0.43333333333333335,0.4277067348678602,0.4973544973544974,0.5176767676767676
foundation_backbone,mae_flatten,xgboost_depth2,1,12,30,ok,,0.43333333333333335,0.4338345864661654,0.5217592592592593,0.6079545454545454
foundation_backbone,mae_flatten,svm_C1p0,2,12,30,ok,,0.6666666666666666,0.5476190476190476,0.5833333333333334,0.5208333333333334
foundation_backbone,mae_flatten,logreg_C0p1,2,12,30,ok,,0.7,0.6161616161616161,0.6477272727272728,0.6319444444444444
foundation_backbone,mae_flatten,xgboost_depth2,2,12,30,ok,,0.36666666666666664,0.3142174432497013,0.37142857142857144,0.27651515151515155
foundation_backbone,mae_flatten,svm_C1p0,3,12,30,ok,,0.6333333333333333,0.5876328502415459,0.6111111111111112,0.6710858585858586
foundation_backbone,mae_flatten,logreg_C0p1,3,12,30,ok,,0.6,0.561568865916692,0.5666666666666667,0.6407828282828283
foundation_backbone,mae_flatten,xgboost_depth2,3,12,30,ok,,0.6666666666666666,0.6162393162393163,0.6183150183150183,0.6919191919191919
foundation_backbone,mae_flatten,svm_C1p0,4,12,30,ok,,0.5,0.45551163812033374,0.5277777777777778,0.4974747474747474
foundation_backbone,mae_flatten,logreg_C0p1,4,12,30,ok,,0.5,0.45551163812033374,0.5277777777777778,0.4974747474747474
foundation_backbone,mae_flatten,xgboost_depth2,4,12,30,ok,,0.5,0.4391608391608392,0.4936507936507937,0.4974747474747474
foundation_backbone,mae_flatten,svm_C1p0,5,12,30,ok,,0.6,0.5590858416945373,0.5944444444444444,0.6502525252525252
foundation_backbone,mae_flatten,logreg_C0p1,5,12,30,ok,,0.5666666666666667,0.5319806763285024,0.5462962962962963,0.6199494949494949
foundation_backbone,mae_flatten,xgboost_depth2,5,12,30,ok,,0.6333333333333333,0.5856565656565657,0.599002849002849,0.6710858585858586
foundation_backbone,mae_flatten,svm_C1p0,6,12,30,ok,,0.5,0.47146085077119554,0.5461538461538461,0.4690656565656566
foundation_backbone,mae_flatten,logreg_C0p1,6,12,30,ok,,0.5,0.47146085077119554,0.5461538461538461,0.4690656565656566
foundation_backbone,mae_flatten,xgboost_depth2,6,12,30,ok,,0.4666666666666667,0.441381230854915,0.5037878787878788,0.44823232323232326
foundation_backbone,mae_flatten,svm_C1p0,7,12,30,ok,,0.6,0.5098918794570969,0.5569561157796451,0.5694444444444444
foundation_backbone,mae_flatten,logreg_C0p1,7,12,30,ok,,0.6,0.5121846484165324,0.5625,0.5694444444444444
foundation_backbone,mae_flatten,xgboost_depth2,7,12,30,ok,,0.6666666666666666,0.5738705738705739,0.5782828282828283,0.601641414141414
foundation_backbone,mae_flatten,svm_C1p0,8,12,30,ok,,0.43333333333333335,0.3835450695704779,0.44551282051282054,0.3371212121212121
foundation_backbone,mae_flatten,logreg_C0p1,8,12,30,ok,,0.43333333333333335,0.38847117794486213,0.4583333333333333,0.3371212121212121
foundation_backbone,mae_flatten,xgboost_depth2,8,12,30,ok,,0.43333333333333335,0.38888888888888884,0.4801587301587302,0.32765151515151514
foundation_backbone,mae_flatten,svm_C1p0,9,12,30,ok,,0.36666666666666664,0.38880288957688336,0.5,0.466540404040404
foundation_backbone,mae_flatten,logreg_C0p1,9,12,30,ok,,0.3333333333333333,0.35233115468409587,0.4666666666666666,0.3554292929292929
foundation_backbone,mae_flatten,xgboost_depth2,9,12,30,ok,,0.4,0.3858932461873638,0.48523698523698516,0.3876262626262626
foundation_backbone,mae_flatten,svm_C1p0,10,12,30,ok,,0.6333333333333333,0.5517171717171717,0.5943732193732193,0.5808080808080808
foundation_backbone,mae_flatten,logreg_C0p1,10,12,30,ok,,0.6333333333333333,0.5431623931623931,0.5837301587301588,0.5902777777777778
foundation_backbone,mae_flatten,xgboost_depth2,10,12,30,ok,,0.5666666666666667,0.4772486772486772,0.5818713450292398,0.548611111111111
foundation_backbone,mae_flatten,svm_C1p0,11,12,30,ok,,0.6333333333333333,0.5868636194723151,0.6361111111111111,0.6710858585858586
foundation_backbone,mae_flatten,logreg_C0p1,11,12,30,ok,,0.6,0.5542549238201412,0.6087912087912088,0.6502525252525252
foundation_backbone,mae_flatten,xgboost_depth2,11,12,30,ok,,0.5333333333333333,0.48500881834215165,0.549074074074074,0.6085858585858586
foundation_backbone,mae_flatten,svm_C1p0,12,12,30,ok,,0.5666666666666667,0.5384535005224661,0.5477207977207977,0.6010101010101009
foundation_backbone,mae_flatten,logreg_C0p1,12,12,30,ok,,0.5666666666666667,0.5384535005224661,0.5477207977207977,0.6010101010101009
foundation_backbone,mae_flatten,xgboost_depth2,12,12,30,ok,,0.6,0.5224611708482676,0.5370370370370371,0.5315656565656566
foundation_backbone,mae_flatten,svm_C1p0,13,12,30,ok,,0.43333333333333335,0.3861111111111111,0.44871794871794873,0.45580808080808083
