masking_ratio,support_per_class,checkpoint_path,out_dir,summary_path,status
0.2,1,SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_084450_bs32_mr0.20_ps1024_best.pth,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_1,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_1/fewshot_ml_comparison_summary.csv,completed
0.2,2,SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_084450_bs32_mr0.20_ps1024_best.pth,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_2,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_2/fewshot_ml_comparison_summary.csv,completed
0.2,4,SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_084450_bs32_mr0.20_ps1024_best.pth,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_4,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_4/fewshot_ml_comparison_summary.csv,completed
0.2,6,SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_084450_bs32_mr0.20_ps1024_best.pth,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_6,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_6/fewshot_ml_comparison_summary.csv,completed
0.3,1,SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_114013_bs32_mr0.30_ps1024_best.pth,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.30/support_1,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.30/support_1/fewshot_ml_comparison_summary.csv,completed
0.3,2,SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_114013_bs32_mr0.30_ps1024_best.pth,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.30/support_2,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.30/support_2/fewshot_ml_comparison_summary.csv,completed
0.3,4,SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_114013_bs32_mr0.30_ps1024_best.pth,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.30/support_4,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.30/support_4/fewshot_ml_comparison_summary.csv,completed
0.3,6,SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_114013_bs32_mr0.30_ps1024_best.pth,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.30/support_6,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.30/support_6/fewshot_ml_comparison_summary.csv,completed
0.4,1,SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_084724_bs32_mr0.40_ps1024_best.pth,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.40/support_1,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.40/support_1/fewshot_ml_comparison_summary.csv,completed
0.4,2,SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_084724_bs32_mr0.40_ps1024_best.pth,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.40/support_2,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.40/support_2/fewshot_ml_comparison_summary.csv,completed
0.4,4,SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_084724_bs32_mr0.40_ps1024_best.pth,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.40/support_4,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.40/support_4/fewshot_ml_comparison_summary.csv,completed
0.4,6,SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_084724_bs32_mr0.40_ps1024_best.pth,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.40/support_6,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.40/support_6/fewshot_ml_comparison_summary.csv,completed
0.5,1,SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_090604_bs32_mr0.50_ps1024_best.pth,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.50/support_1,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.50/support_1/fewshot_ml_comparison_summary.csv,completed
0.5,2,SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_090604_bs32_mr0.50_ps1024_best.pth,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.50/support_2,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.50/support_2/fewshot_ml_comparison_summary.csv,completed
0.5,4,SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_090604_bs32_mr0.50_ps1024_best.pth,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.50/support_4,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.50/support_4/fewshot_ml_comparison_summary.csv,completed
0.5,6,SSL_models/combine_unique_Water_EDTA_Suppressed_20260614_090604_bs32_mr0.50_ps1024_best.pth,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.50/support_6,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.50/support_6/fewshot_ml_comparison_summary.csv,completed
