feature_group,feature_name,classifier,n_episodes,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_recall_mean,masking_ratio,masking_label,support_per_class,source_dir,method_id,method_label,rank_accuracy_within_setting
foundation_backbone,mae_flatten,logreg_C0p1,100,0.4335897435897435,0.1235946440784017,0.3922664971607607,0.1165270495822453,0.4694194713316844,0.4303842940685046,0.2,20%,1,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_1,foundation_backbone|mae_flatten|logreg_C0p1,MAE embeddings + LOGREG_C0P1,1
foundation_backbone,mae_flatten,svm_C1p0,100,0.431025641025641,0.1276442015544697,0.3898850440289385,0.1201179743617943,0.4620130395154039,0.4262364243943191,0.2,20%,1,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_1,foundation_backbone|mae_flatten|svm_C1p0,MAE embeddings + SVM_C1P0,2
direct_binned,bins2048_auc,logreg_C0p1,100,0.4076923076923077,0.1160231547396096,0.3577143921380392,0.1134632212210123,0.4097500794044373,0.4278153717627401,0.2,20%,1,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_1,direct_binned|bins2048_auc|logreg_C0p1,Direct 2048 AUC + LOGREG_C0P1,3
direct_binned,bins1024_auc,logreg_C0p1,100,0.4046153846153846,0.1090648952795117,0.3569971582730175,0.1077146134296702,0.4072003125035269,0.4254051796157059,0.2,20%,1,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_1,direct_binned|bins1024_auc|logreg_C0p1,Direct 1024 AUC + LOGREG_C0P1,4
direct_binned,bins2048_auc,svm_C1p0,100,0.4005128205128205,0.1105886947628309,0.3539681330579038,0.1110470068510049,0.4039031943022633,0.4235463659147869,0.2,20%,1,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_1,direct_binned|bins2048_auc|svm_C1p0,Direct 2048 AUC + SVM_C1P0,5
prototype_head,mae_embeddings,prototype_mahalanobis_support_anova,100,0.3958974358974359,0.1202847395598571,0.3498729950658522,0.107725104398737,0.4371070061393476,0.3946031746031745,0.2,20%,1,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_1,prototype_head|mae_embeddings|prototype_mahalanobis_support_anova,MAE prototype head,6
direct_binned,bins1024_auc,svm_C1p0,100,0.3956410256410256,0.1064565075495841,0.3511643023513754,0.1087465659705963,0.4039124129337916,0.4191478696741854,0.2,20%,1,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_1,direct_binned|bins1024_auc|svm_C1p0,Direct 1024 AUC + SVM_C1P0,7
direct_binned,bins1024_auc,xgboost_depth2,100,0.1538461538461538,0.0,0.0888888888888888,0.0,0.0512820512820512,0.3333333333333332,0.2,20%,1,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_1,direct_binned|bins1024_auc|xgboost_depth2,Direct 1024 AUC + XGBOOST_DEPTH2,8
direct_binned,bins2048_auc,xgboost_depth2,100,0.1538461538461538,0.0,0.0888888888888888,0.0,0.0512820512820512,0.3333333333333332,0.2,20%,1,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_1,direct_binned|bins2048_auc|xgboost_depth2,Direct 2048 AUC + XGBOOST_DEPTH2,9
foundation_backbone,mae_flatten,xgboost_depth2,100,0.1538461538461538,0.0,0.0888888888888888,0.0,0.0512820512820512,0.3333333333333332,0.2,20%,1,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_1,foundation_backbone|mae_flatten|xgboost_depth2,MAE embeddings + XGBOOST_DEPTH2,10
