masking_ratio,support_per_class,checkpoint_path,out_dir,summary_path,status
0.2,1,SSL_models/combined_unique_WS625to680Zero_20260601_091005_bs32_mr0.20_ps1024_best.pth,fewshot_support_sweep_MTBLS563/mask_0.20/support_1,fewshot_support_sweep_MTBLS563/mask_0.20/support_1/fewshot_ml_comparison_summary.csv,completed
0.2,2,SSL_models/combined_unique_WS625to680Zero_20260601_091005_bs32_mr0.20_ps1024_best.pth,fewshot_support_sweep_MTBLS563/mask_0.20/support_2,fewshot_support_sweep_MTBLS563/mask_0.20/support_2/fewshot_ml_comparison_summary.csv,completed
0.2,4,SSL_models/combined_unique_WS625to680Zero_20260601_091005_bs32_mr0.20_ps1024_best.pth,fewshot_support_sweep_MTBLS563/mask_0.20/support_4,fewshot_support_sweep_MTBLS563/mask_0.20/support_4/fewshot_ml_comparison_summary.csv,completed
0.2,6,SSL_models/combined_unique_WS625to680Zero_20260601_091005_bs32_mr0.20_ps1024_best.pth,fewshot_support_sweep_MTBLS563/mask_0.20/support_6,fewshot_support_sweep_MTBLS563/mask_0.20/support_6/fewshot_ml_comparison_summary.csv,completed
0.2,8,SSL_models/combined_unique_WS625to680Zero_20260601_091005_bs32_mr0.20_ps1024_best.pth,fewshot_support_sweep_MTBLS563/mask_0.20/support_8,fewshot_support_sweep_MTBLS563/mask_0.20/support_8/fewshot_ml_comparison_summary.csv,completed
0.2,10,SSL_models/combined_unique_WS625to680Zero_20260601_091005_bs32_mr0.20_ps1024_best.pth,fewshot_support_sweep_MTBLS563/mask_0.20/support_10,fewshot_support_sweep_MTBLS563/mask_0.20/support_10/fewshot_ml_comparison_summary.csv,completed
0.3,1,SSL_models/combined_unique_WS625to680Zero_20260601_085340_bs32_mr0.30_ps1024_best.pth,fewshot_support_sweep_MTBLS563/mask_0.30/support_1,fewshot_support_sweep_MTBLS563/mask_0.30/support_1/fewshot_ml_comparison_summary.csv,completed
0.3,2,SSL_models/combined_unique_WS625to680Zero_20260601_085340_bs32_mr0.30_ps1024_best.pth,fewshot_support_sweep_MTBLS563/mask_0.30/support_2,fewshot_support_sweep_MTBLS563/mask_0.30/support_2/fewshot_ml_comparison_summary.csv,completed
0.3,4,SSL_models/combined_unique_WS625to680Zero_20260601_085340_bs32_mr0.30_ps1024_best.pth,fewshot_support_sweep_MTBLS563/mask_0.30/support_4,fewshot_support_sweep_MTBLS563/mask_0.30/support_4/fewshot_ml_comparison_summary.csv,completed
0.3,6,SSL_models/combined_unique_WS625to680Zero_20260601_085340_bs32_mr0.30_ps1024_best.pth,fewshot_support_sweep_MTBLS563/mask_0.30/support_6,fewshot_support_sweep_MTBLS563/mask_0.30/support_6/fewshot_ml_comparison_summary.csv,completed
0.3,8,SSL_models/combined_unique_WS625to680Zero_20260601_085340_bs32_mr0.30_ps1024_best.pth,fewshot_support_sweep_MTBLS563/mask_0.30/support_8,fewshot_support_sweep_MTBLS563/mask_0.30/support_8/fewshot_ml_comparison_summary.csv,completed
0.3,10,SSL_models/combined_unique_WS625to680Zero_20260601_085340_bs32_mr0.30_ps1024_best.pth,fewshot_support_sweep_MTBLS563/mask_0.30/support_10,fewshot_support_sweep_MTBLS563/mask_0.30/support_10/fewshot_ml_comparison_summary.csv,completed
0.4,1,SSL_models/combined_unique_WS625to680Zero_20260601_084611_bs32_mr0.40_ps1024_best.pth,fewshot_support_sweep_MTBLS563/mask_0.40/support_1,fewshot_support_sweep_MTBLS563/mask_0.40/support_1/fewshot_ml_comparison_summary.csv,completed
0.4,2,SSL_models/combined_unique_WS625to680Zero_20260601_084611_bs32_mr0.40_ps1024_best.pth,fewshot_support_sweep_MTBLS563/mask_0.40/support_2,fewshot_support_sweep_MTBLS563/mask_0.40/support_2/fewshot_ml_comparison_summary.csv,completed
0.4,4,SSL_models/combined_unique_WS625to680Zero_20260601_084611_bs32_mr0.40_ps1024_best.pth,fewshot_support_sweep_MTBLS563/mask_0.40/support_4,fewshot_support_sweep_MTBLS563/mask_0.40/support_4/fewshot_ml_comparison_summary.csv,completed
0.4,6,SSL_models/combined_unique_WS625to680Zero_20260601_084611_bs32_mr0.40_ps1024_best.pth,fewshot_support_sweep_MTBLS563/mask_0.40/support_6,fewshot_support_sweep_MTBLS563/mask_0.40/support_6/fewshot_ml_comparison_summary.csv,completed
0.4,8,SSL_models/combined_unique_WS625to680Zero_20260601_084611_bs32_mr0.40_ps1024_best.pth,fewshot_support_sweep_MTBLS563/mask_0.40/support_8,fewshot_support_sweep_MTBLS563/mask_0.40/support_8/fewshot_ml_comparison_summary.csv,completed
0.4,10,SSL_models/combined_unique_WS625to680Zero_20260601_084611_bs32_mr0.40_ps1024_best.pth,fewshot_support_sweep_MTBLS563/mask_0.40/support_10,fewshot_support_sweep_MTBLS563/mask_0.40/support_10/fewshot_ml_comparison_summary.csv,completed
0.5,1,SSL_models/combined_unique_WS625to680Zero_20260601_084533_bs32_mr0.50_ps1024_best.pth,fewshot_support_sweep_MTBLS563/mask_0.50/support_1,fewshot_support_sweep_MTBLS563/mask_0.50/support_1/fewshot_ml_comparison_summary.csv,completed
0.5,2,SSL_models/combined_unique_WS625to680Zero_20260601_084533_bs32_mr0.50_ps1024_best.pth,fewshot_support_sweep_MTBLS563/mask_0.50/support_2,fewshot_support_sweep_MTBLS563/mask_0.50/support_2/fewshot_ml_comparison_summary.csv,completed
0.5,4,SSL_models/combined_unique_WS625to680Zero_20260601_084533_bs32_mr0.50_ps1024_best.pth,fewshot_support_sweep_MTBLS563/mask_0.50/support_4,fewshot_support_sweep_MTBLS563/mask_0.50/support_4/fewshot_ml_comparison_summary.csv,completed
0.5,6,SSL_models/combined_unique_WS625to680Zero_20260601_084533_bs32_mr0.50_ps1024_best.pth,fewshot_support_sweep_MTBLS563/mask_0.50/support_6,fewshot_support_sweep_MTBLS563/mask_0.50/support_6/fewshot_ml_comparison_summary.csv,completed
0.5,8,SSL_models/combined_unique_WS625to680Zero_20260601_084533_bs32_mr0.50_ps1024_best.pth,fewshot_support_sweep_MTBLS563/mask_0.50/support_8,fewshot_support_sweep_MTBLS563/mask_0.50/support_8/fewshot_ml_comparison_summary.csv,completed
0.5,10,SSL_models/combined_unique_WS625to680Zero_20260601_084533_bs32_mr0.50_ps1024_best.pth,fewshot_support_sweep_MTBLS563/mask_0.50/support_10,fewshot_support_sweep_MTBLS563/mask_0.50/support_10/fewshot_ml_comparison_summary.csv,completed
