feature_group,feature_name,classifier,n_episodes,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_recall_mean,masking_ratio,masking_label,support_per_class,source_dir,method_id,method_label
direct_binned,bins1024_auc,logreg_C0p1,100,0.2815217391304347,0.0736858953367409,0.2440972424646256,0.0579193351891683,0.2876879177560696,0.2782584415584415,0.2,20%,1,fewshot_support_sweep_MTBLS326/mask_0.20/support_1,direct_binned|bins1024_auc|logreg_C0p1,Direct 1024 AUC + LOGREG_C0P1
direct_binned,bins1024_auc,svm_C1p0,100,0.2689130434782608,0.067207197797833,0.2331822283582775,0.0555088412372743,0.2743440778166282,0.268376948051948,0.2,20%,1,fewshot_support_sweep_MTBLS326/mask_0.20/support_1,direct_binned|bins1024_auc|svm_C1p0,Direct 1024 AUC + SVM_C1P0
direct_binned,bins1024_auc,xgboost_depth2,100,0.2675362318840579,0.0953400282482722,0.1034103145016388,0.0285255828411044,0.0668840579710144,0.25,0.2,20%,1,fewshot_support_sweep_MTBLS326/mask_0.20/support_1,direct_binned|bins1024_auc|xgboost_depth2,Direct 1024 AUC + XGBOOST_DEPTH2
direct_binned,bins2048_auc,logreg_C0p1,100,0.2816666666666667,0.0729282071508243,0.2442997321814911,0.0578795765654313,0.2882827314715387,0.278512987012987,0.2,20%,1,fewshot_support_sweep_MTBLS326/mask_0.20/support_1,direct_binned|bins2048_auc|logreg_C0p1,Direct 2048 AUC + LOGREG_C0P1
direct_binned,bins2048_auc,svm_C1p0,100,0.2700724637681159,0.0672384431258539,0.234018893228856,0.05584629206909,0.2744376914511795,0.2692805194805194,0.2,20%,1,fewshot_support_sweep_MTBLS326/mask_0.20/support_1,direct_binned|bins2048_auc|svm_C1p0,Direct 2048 AUC + SVM_C1P0
direct_binned,bins2048_auc,xgboost_depth2,100,0.2675362318840579,0.0953400282482722,0.1034103145016388,0.0285255828411044,0.0668840579710144,0.25,0.2,20%,1,fewshot_support_sweep_MTBLS326/mask_0.20/support_1,direct_binned|bins2048_auc|xgboost_depth2,Direct 2048 AUC + XGBOOST_DEPTH2
foundation_backbone,mae_flatten,logreg_C0p1,100,0.2972463768115942,0.0787493498106491,0.2623153547948235,0.0651408385803466,0.2978321793388057,0.2927220779220779,0.2,20%,1,fewshot_support_sweep_MTBLS326/mask_0.20/support_1,foundation_backbone|mae_flatten|logreg_C0p1,MAE embeddings + LOGREG_C0P1
foundation_backbone,mae_flatten,svm_C1p0,100,0.2914492753623188,0.0740249052346472,0.2590420069295807,0.0614416924171548,0.2906267226117869,0.289270670995671,0.2,20%,1,fewshot_support_sweep_MTBLS326/mask_0.20/support_1,foundation_backbone|mae_flatten|svm_C1p0,MAE embeddings + SVM_C1P0
foundation_backbone,mae_flatten,xgboost_depth2,100,0.2675362318840579,0.0953400282482722,0.1034103145016388,0.0285255828411044,0.0668840579710144,0.25,0.2,20%,1,fewshot_support_sweep_MTBLS326/mask_0.20/support_1,foundation_backbone|mae_flatten|xgboost_depth2,MAE embeddings + XGBOOST_DEPTH2
prototype_head,mae_embeddings,prototype_mahalanobis_support_anova,100,0.2876086956521739,0.068254988789079,0.2476705015305415,0.055750408329872,0.2904155700905386,0.2849042207792208,0.2,20%,1,fewshot_support_sweep_MTBLS326/mask_0.20/support_1,prototype_head|mae_embeddings|prototype_mahalanobis_support_anova,MAE prototype head
direct_binned,bins1024_auc,logreg_C0p1,100,0.3240298507462686,0.0687754202960431,0.2905684830784313,0.053663859834834,0.3232561210861648,0.3063374042145594,0.2,20%,2,fewshot_support_sweep_MTBLS326/mask_0.20/support_2,direct_binned|bins1024_auc|logreg_C0p1,Direct 1024 AUC + LOGREG_C0P1
