dataset,family,model,n_evaluated,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,embed_dim,macro_precision,macro_recall,macro_roc_auc_ovr,confusion_matrix
brc_t2d_cancer,masking,masking_linear_probe_C1,78,0.8333333333333334,0.8328947368421052,0.8330864197530864,0.8332510288065844,0.8378378378378378,0.8157894736842105,0.8266666666666667,0.9006578947368421,0.9154900116224329,34.0,6.0,7.0,31.0,128,,,,
brc_t2d_cancer,jigsaw,jigsaw_linear_probe_C1,78,0.7692307692307693,0.7684210526315789,0.7686222808174028,0.768926525024086,0.7777777777777778,0.7368421052631579,0.7567567567567568,0.8486842105263158,0.8406639530315684,32.0,8.0,10.0,28.0,768,,,,
brc_t2d_cancer,joint,joint_linear_probe_C1,78,0.7692307692307693,0.7690789473684211,0.7690789473684211,0.7692307692307693,0.7631578947368421,0.7631578947368421,0.7631578947368421,0.8263157894736842,0.8255745515807654,31.0,9.0,9.0,29.0,960,,,,
brc_t2d_diabetes,masking,masking_linear_probe_C1,78,0.8076923076923077,0.8094919786096256,0.8061309030654515,0.8083614811038174,0.7567567567567568,0.8235294117647058,0.7887323943661971,0.8489304812834224,0.8463660611963182,35.0,9.0,6.0,28.0,128,,,,
brc_t2d_diabetes,jigsaw,jigsaw_linear_probe_C1,78,0.6025641025641025,0.5942513368983957,0.594499413047124,0.60183094897165,0.5454545454545454,0.5294117647058824,0.5373134328358209,0.6176470588235294,0.5233971649103847,29.0,15.0,16.0,18.0,768,,,,
brc_t2d_diabetes,joint,joint_linear_probe_C1,78,0.6410256410256411,0.6350267379679144,0.6350267379679144,0.6410256410256411,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.7225935828877005,0.6154776452517068,30.0,14.0,14.0,20.0,960,,,,
mtbls563,masking,masking_linear_probe_C1,113,0.6548672566371682,0.6072314781992202,0.606436420722135,0.6530667815117879,,,,,,,,,,128,0.6075995615637559,0.6072314781992202,0.7459984077090732,"[[11, 5, 10], [7, 44, 5], [5, 7, 19]]"
mtbls563,jigsaw,jigsaw_linear_probe_C1,113,0.5752212389380531,0.5269260309582889,0.5278772378516624,0.5713781318606703,,,,,,,,,,768,0.5295694525618546,0.5269260309582889,0.7310434066709046,"[[12, 7, 7], [5, 41, 10], [8, 11, 12]]"
mtbls563,joint,joint_linear_probe_C1,113,0.5132743362831859,0.4852593642916223,0.4828062484778903,0.522701918343181,,,,,,,,,,960,0.48515325670498083,0.4852593642916223,0.7144913486637495,"[[12, 6, 8], [6, 34, 16], [11, 8, 12]]"
mtbls326,masking,masking_linear_probe_C1,42,0.9285714285714286,0.9444444444444444,0.9251336898395721,0.9297173414820473,1.0,0.8888888888888888,0.9411764705882353,1.0,1.0,15.0,0.0,3.0,24.0,128,,,,
mtbls326,jigsaw,jigsaw_linear_probe_C1,42,0.8571428571428571,0.874074074074074,0.851764705882353,0.8598319327731092,0.9565217391304348,0.8148148148148148,0.88,0.9234567901234568,0.964876135911082,14.0,1.0,5.0,22.0,768,,,,
mtbls326,joint,joint_linear_probe_C1,42,0.8333333333333334,0.8111111111111111,0.8156739811912226,0.831974921630094,0.8571428571428571,0.8888888888888888,0.8727272727272727,0.9234567901234567,0.9648334558870957,11.0,4.0,3.0,24.0,960,,,,
barth,masking,masking_linear_probe_C1,37,0.7837837837837838,0.7701863354037267,0.7701863354037267,0.7837837837837838,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8509316770186335,0.7693864200691931,19.0,4.0,4.0,10.0,128,,,,
barth,jigsaw,jigsaw_linear_probe_C1,37,0.6756756756756757,0.6273291925465838,0.63,0.6616216216216216,0.6,0.42857142857142855,0.5,0.7670807453416149,0.6337365249129955,19.0,4.0,8.0,6.0,768,,,,
barth,joint,joint_linear_probe_C1,37,0.7027027027027027,0.6630434782608696,0.6677551020408163,0.6939658025372311,0.6363636363636364,0.5,0.56,0.7018633540372671,0.6595500551999456,19.0,4.0,7.0,7.0,960,,,,
