family,model,fold,n_test,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
masking,masking_linear_probe_C1,1,8,0.875,0.875,0.873015873015873,0.873015873015873,1.0,0.75,0.8571428571428571,1.0,1.0,4,0,1,3
masking,masking_linear_probe_C1,2,8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.9375,0.95,3,1,1,3
masking,masking_linear_probe_C1,3,8,0.875,0.875,0.873015873015873,0.873015873015873,0.8,1.0,0.8888888888888888,0.9375,0.95,3,1,0,4
masking,masking_linear_probe_C1,4,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.5,0.5714285714285714,0.6875,0.8125,3,1,2,2
masking,masking_linear_probe_C1,5,8,0.875,0.875,0.873015873015873,0.873015873015873,1.0,0.75,0.8571428571428571,0.8125,0.8928571428571428,4,0,1,3
masking,masking_linear_probe_C1,6,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,0,0,4
masking,masking_linear_probe_C1,7,8,0.875,0.875,0.873015873015873,0.873015873015873,1.0,0.75,0.8571428571428571,1.0,1.0,4,0,1,3
masking,masking_linear_probe_C1,8,8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.9375,0.95,3,1,1,3
masking,masking_linear_probe_C1,9,7,0.8571428571428571,0.875,0.8571428571428571,0.8571428571428571,0.75,1.0,0.8571428571428571,1.0,1.0,3,1,0,3
masking,masking_linear_probe_C1,10,7,0.8571428571428571,0.875,0.8571428571428571,0.8571428571428571,0.75,1.0,0.8571428571428571,1.0,1.0,3,1,0,3
jigsaw,jigsaw_linear_probe_C1,1,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,0,0,4
jigsaw,jigsaw_linear_probe_C1,2,8,0.875,0.875,0.873015873015873,0.873015873015873,0.8,1.0,0.8888888888888888,1.0,1.0,3,1,0,4
jigsaw,jigsaw_linear_probe_C1,3,8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.625,0.7291666666666666,3,1,1,3
jigsaw,jigsaw_linear_probe_C1,4,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.5,0.5714285714285714,0.8125,0.8041666666666667,3,1,2,2
jigsaw,jigsaw_linear_probe_C1,5,8,0.75,0.75,0.7333333333333334,0.7333333333333334,1.0,0.5,0.6666666666666666,1.0,1.0,4,0,2,2
jigsaw,jigsaw_linear_probe_C1,6,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.6,0.75,0.6666666666666666,0.8125,0.8541666666666666,2,2,1,3
jigsaw,jigsaw_linear_probe_C1,7,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,0,0,4
jigsaw,jigsaw_linear_probe_C1,8,8,0.5,0.5,0.4666666666666667,0.4666666666666667,0.5,0.25,0.3333333333333333,0.5,0.5595238095238095,3,1,3,1
jigsaw,jigsaw_linear_probe_C1,9,7,0.8571428571428571,0.875,0.8571428571428571,0.8571428571428571,0.75,1.0,0.8571428571428571,0.75,0.6388888888888888,3,1,0,3
jigsaw,jigsaw_linear_probe_C1,10,7,0.7142857142857143,0.7083333333333333,0.7083333333333333,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333333,0.8666666666666667,3,1,1,2
joint,joint_linear_probe_C1,1,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,0,0,4
joint,joint_linear_probe_C1,2,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.5,0.5714285714285714,0.875,0.8875,3,1,2,2
joint,joint_linear_probe_C1,3,8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.625,0.7291666666666666,3,1,1,3
joint,joint_linear_probe_C1,4,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.5,0.5714285714285714,0.75,0.8166666666666667,3,1,2,2
joint,joint_linear_probe_C1,5,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,0,0,4
joint,joint_linear_probe_C1,6,8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5625,0.75,2,2,2,2
joint,joint_linear_probe_C1,7,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,0,0,4
joint,joint_linear_probe_C1,8,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.6,0.75,0.6666666666666666,0.4375,0.525,2,2,1,3
joint,joint_linear_probe_C1,9,7,0.7142857142857143,0.7083333333333333,0.7083333333333333,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333333,0.8666666666666667,3,1,1,2
joint,joint_linear_probe_C1,10,7,0.8571428571428571,0.875,0.8571428571428571,0.8571428571428571,0.75,1.0,0.8571428571428571,1.0,1.0,3,1,0,3
