family,model,fold,n_test,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,macro_roc_auc_ovr,confusion_matrix
masking,masking_linear_probe_C1,1,12,0.5833333333333334,0.5,0.4468864468864469,0.5274725274725275,0.4047619047619048,0.5,0.7716049382716049,"[[0, 1, 2], [1, 5, 0], [0, 1, 2]]"
masking,masking_linear_probe_C1,2,12,0.5,0.4444444444444444,0.4444444444444444,0.5,0.4444444444444444,0.4444444444444444,0.6851851851851852,"[[1, 1, 1], [1, 4, 1], [1, 1, 1]]"
masking,masking_linear_probe_C1,3,12,0.75,0.7222222222222222,0.7000000000000001,0.75,0.7222222222222222,0.7222222222222222,0.8337962962962964,"[[1, 0, 1], [1, 4, 1], [0, 0, 4]]"
masking,masking_linear_probe_C1,4,11,0.7272727272727273,0.7222222222222223,0.6897435897435898,0.7013986013986014,0.7936507936507936,0.7222222222222223,0.6462962962962963,"[[2, 0, 0], [1, 5, 0], [0, 2, 1]]"
masking,masking_linear_probe_C1,5,11,0.8181818181818182,0.7222222222222222,0.7410256410256411,0.8125874125874126,0.7857142857142857,0.7222222222222222,0.8833333333333333,"[[1, 1, 0], [0, 6, 0], [1, 0, 2]]"
masking,masking_linear_probe_C1,6,11,0.7272727272727273,0.611111111111111,0.6555555555555556,0.693939393939394,0.8888888888888888,0.611111111111111,0.48518518518518516,"[[1, 1, 0], [0, 6, 0], [0, 2, 1]]"
masking,masking_linear_probe_C1,7,11,0.6363636363636364,0.6444444444444444,0.6349206349206349,0.6406926406926406,0.6388888888888888,0.6444444444444444,0.7583333333333333,"[[2, 0, 1], [2, 3, 0], [0, 1, 2]]"
masking,masking_linear_probe_C1,8,11,0.7272727272727273,0.7111111111111111,0.6796296296296296,0.7176767676767677,0.7000000000000001,0.7111111111111111,0.8222222222222223,"[[3, 0, 0], [0, 4, 1], [2, 0, 1]]"
masking,masking_linear_probe_C1,9,11,0.6363636363636364,0.6,0.4962962962962963,0.5676767676767677,0.4761904761904762,0.6,0.7527777777777778,"[[0, 0, 3], [0, 4, 1], [0, 0, 3]]"
masking,masking_linear_probe_C1,10,11,0.45454545454545453,0.4222222222222222,0.38888888888888884,0.4393939393939394,0.3833333333333333,0.4222222222222222,0.6277777777777778,"[[0, 1, 2], [1, 3, 1], [1, 0, 2]]"
jigsaw,jigsaw_linear_probe_C1,1,12,0.5833333333333334,0.5,0.42857142857142855,0.5,0.375,0.5,0.7469135802469137,"[[0, 2, 1], [0, 5, 1], [0, 1, 2]]"
jigsaw,jigsaw_linear_probe_C1,2,12,0.5,0.3888888888888889,0.3888888888888889,0.5,0.3888888888888889,0.3888888888888889,0.6574074074074074,"[[1, 0, 2], [0, 5, 1], [2, 1, 0]]"
jigsaw,jigsaw_linear_probe_C1,3,12,0.5833333333333334,0.5555555555555555,0.544011544011544,0.6096681096681097,0.5722222222222223,0.5555555555555555,0.7673611111111112,"[[1, 1, 0], [1, 4, 1], [2, 0, 2]]"
jigsaw,jigsaw_linear_probe_C1,4,11,0.45454545454545453,0.4444444444444444,0.4444444444444444,0.45454545454545453,0.4444444444444444,0.4444444444444444,0.5453703703703704,"[[1, 1, 0], [1, 3, 2], [0, 2, 1]]"
jigsaw,jigsaw_linear_probe_C1,5,11,0.5454545454545454,0.4444444444444444,0.41269841269841273,0.5194805194805195,0.38888888888888884,0.4444444444444444,0.7194444444444444,"[[0, 1, 1], [1, 4, 1], [0, 1, 2]]"
