dataset,family,balanced_accuracy_pretrained,balanced_accuracy_random,pretraining_gain
brc_t2d_cancer,masking,0.8328947368421052,0.7697368421052632,0.06315789473684208
brc_t2d_cancer,jigsaw,0.7684210526315789,0.7960526315789473,-0.02763157894736845
brc_t2d_cancer,joint,0.7690789473684211,0.8460526315789474,-0.0769736842105263
brc_t2d_diabetes,masking,0.8094919786096256,0.6383689839572193,0.17112299465240632
brc_t2d_diabetes,jigsaw,0.5942513368983957,0.661096256684492,-0.0668449197860963
brc_t2d_diabetes,joint,0.6350267379679144,0.6577540106951871,-0.022727272727272707
mtbls563,masking,0.6072314781992202,0.560099846390169,0.04713163180905122
mtbls563,jigsaw,0.5269260309582889,0.5914421599905472,-0.06451612903225823
mtbls563,joint,0.4852593642916223,0.6111308046791918,-0.12587144038756948
mtbls326,masking,0.9444444444444444,0.8925925925925926,0.051851851851851816
mtbls326,jigsaw,0.874074074074074,0.8592592592592593,0.014814814814814725
mtbls326,joint,0.8111111111111111,0.9111111111111112,-0.10000000000000009
barth,masking,0.7701863354037267,0.5186335403726708,0.2515527950310559
barth,jigsaw,0.6273291925465838,0.5403726708074534,0.08695652173913038
barth,joint,0.6630434782608696,0.4611801242236024,0.20186335403726724
