dataset,family,model,n_evaluated,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,embed_dim,macro_precision,macro_recall,macro_roc_auc_ovr,confusion_matrix
brc_t2d_cancer,masking,masking_linear_probe_C1_randominit,78,0.7692307692307693,0.7697368421052632,0.7692307692307693,0.7692307692307693,0.75,0.7894736842105263,0.7692307692307693,0.8381578947368422,0.818047597073575,30.0,10.0,8.0,30.0,128,,,,
brc_t2d_cancer,jigsaw,jigsaw_linear_probe_C1_randominit,78,0.7948717948717948,0.7960526315789473,0.7947368421052632,0.7946018893387315,0.7619047619047619,0.8421052631578947,0.8,0.8638157894736842,0.8588519290262043,30.0,10.0,6.0,32.0,768,,,,
brc_t2d_cancer,joint,joint_linear_probe_C1_randominit,78,0.8461538461538461,0.8460526315789474,0.8460526315789474,0.8461538461538461,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.9019736842105264,0.8885037370877287,34.0,6.0,6.0,32.0,960,,,,
brc_t2d_diabetes,masking,masking_linear_probe_C1_randominit,78,0.6410256410256411,0.6383689839572193,0.6372093023255814,0.6419797257006559,0.5833333333333334,0.6176470588235294,0.6,0.7078877005347594,0.6561317670232685,29.0,15.0,13.0,21.0,128,,,,
brc_t2d_diabetes,jigsaw,jigsaw_linear_probe_C1_randominit,78,0.6666666666666666,0.661096256684492,0.661096256684492,0.6666666666666666,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.7446524064171122,0.7312454331885214,31.0,13.0,13.0,21.0,768,,,,
brc_t2d_diabetes,joint,joint_linear_probe_C1_randominit,78,0.6666666666666666,0.6577540106951871,0.6585858585858586,0.6653198653198654,0.625,0.5882352941176471,0.6060606060606061,0.6711229946524064,0.6843217962748137,32.0,12.0,14.0,20.0,960,,,,
mtbls563,masking,masking_linear_probe_C1_randominit,113,0.5929203539823009,0.560099846390169,0.5567929680832907,0.5974856019103807,,,,,,,,,,128,0.5557347670250896,0.560099846390169,0.7606600477221592,"[[13, 5, 8], [9, 39, 8], [8, 8, 15]]"
mtbls563,jigsaw,jigsaw_linear_probe_C1_randominit,113,0.6283185840707964,0.5914421599905472,0.5913865546218487,0.6278723878932103,,,,,,,,,,768,0.5915476190476191,0.5914421599905472,0.7894229665820837,"[[12, 8, 6], [7, 41, 8], [6, 7, 18]]"
mtbls563,joint,joint_linear_probe_C1_randominit,113,0.6371681415929203,0.6111308046791918,0.6078128408997429,0.64182190527801,,,,,,,,,,960,0.6075917546505781,0.6111308046791918,0.752175931797848,"[[14, 6, 6], [4, 40, 12], [8, 5, 18]]"
mtbls326,masking,masking_linear_probe_C1_randominit,42,0.8809523809523809,0.8925925925925926,0.875222816399287,0.8828622358034123,0.9583333333333334,0.8518518518518519,0.9019607843137255,0.9555555555555556,0.9742884132610299,14.0,1.0,4.0,23.0,128,,,,
mtbls326,jigsaw,jigsaw_linear_probe_C1_randominit,42,0.8571428571428571,0.8592592592592593,0.8485576923076923,0.8588598901098902,0.92,0.8518518518518519,0.8846153846153846,0.9629629629629629,0.9806885727328283,13.0,2.0,4.0,23.0,768,,,,
mtbls326,joint,joint_linear_probe_C1_randominit,42,0.9047619047619048,0.9111111111111111,0.8990384615384616,0.9059065934065933,0.96,0.8888888888888888,0.9230769230769231,0.9901234567901235,0.9943995236587828,14.0,1.0,3.0,24.0,960,,,,
barth,masking,masking_linear_probe_C1_randominit,37,0.5405405405405406,0.5186335403726708,0.518007662835249,0.543357150253702,0.4,0.42857142857142855,0.41379310344827586,0.4906832298136646,0.39564757642347,14.0,9.0,8.0,6.0,128,,,,
barth,jigsaw,jigsaw_linear_probe_C1_randominit,37,0.5675675675675675,0.5403726708074534,0.5403726708074534,0.5675675675675675,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5527950310559007,0.4458965637537066,15.0,8.0,8.0,6.0,768,,,,
barth,joint,joint_linear_probe_C1_randominit,37,0.4864864864864865,0.46118012422360244,0.46130268199233715,0.4896344620482551,0.3333333333333333,0.35714285714285715,0.3448275862068966,0.47826086956521735,0.3830147830893229,13.0,10.0,9.0,5.0,960,,,,
