family,model,fold,n_test,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
masking,masking_linear_probe_C1_randominit,1,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,0,0,4
masking,masking_linear_probe_C1_randominit,2,8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.7708333333333333,3,1,1,3
masking,masking_linear_probe_C1_randominit,3,8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6875,0.7333333333333333,2,2,2,2
masking,masking_linear_probe_C1_randominit,4,8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.8125,0.8928571428571428,3,1,1,3
masking,masking_linear_probe_C1_randominit,5,8,0.875,0.875,0.873015873015873,0.873015873015873,1.0,0.75,0.8571428571428571,1.0,1.0,4,0,1,3
masking,masking_linear_probe_C1_randominit,6,8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.9375,0.95,3,1,1,3
masking,masking_linear_probe_C1_randominit,7,8,0.875,0.875,0.873015873015873,0.873015873015873,0.8,1.0,0.8888888888888888,1.0,1.0,3,1,0,4
masking,masking_linear_probe_C1_randominit,8,8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.8125,0.8041666666666667,3,1,1,3
masking,masking_linear_probe_C1_randominit,9,7,0.5714285714285714,0.5833333333333333,0.5714285714285714,0.5714285714285714,0.5,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.7222222222222222,2,2,1,2
masking,masking_linear_probe_C1_randominit,10,7,0.8571428571428571,0.875,0.8571428571428571,0.8571428571428571,0.75,1.0,0.8571428571428571,1.0,1.0,3,1,0,3
jigsaw,jigsaw_linear_probe_C1_randominit,1,8,0.875,0.875,0.873015873015873,0.873015873015873,1.0,0.75,0.8571428571428571,1.0,1.0,4,0,1,3
jigsaw,jigsaw_linear_probe_C1_randominit,2,8,0.875,0.875,0.873015873015873,0.873015873015873,0.8,1.0,0.8888888888888888,0.9375,0.95,3,1,0,4
jigsaw,jigsaw_linear_probe_C1_randominit,3,8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.875,0.8875,3,1,1,3
jigsaw,jigsaw_linear_probe_C1_randominit,4,8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6875,0.7928571428571428,2,2,2,2
jigsaw,jigsaw_linear_probe_C1_randominit,5,8,0.875,0.875,0.873015873015873,0.873015873015873,1.0,0.75,0.8571428571428571,0.875,0.9166666666666666,4,0,1,3
jigsaw,jigsaw_linear_probe_C1_randominit,6,8,0.875,0.875,0.873015873015873,0.873015873015873,1.0,0.75,0.8571428571428571,0.9375,0.95,4,0,1,3
jigsaw,jigsaw_linear_probe_C1_randominit,7,8,0.875,0.875,0.873015873015873,0.873015873015873,0.8,1.0,0.8888888888888888,1.0,1.0,3,1,0,4
jigsaw,jigsaw_linear_probe_C1_randominit,8,8,0.75,0.75,0.7333333333333334,0.7333333333333334,0.6666666666666666,1.0,0.8,0.625,0.6916666666666667,2,2,0,4
jigsaw,jigsaw_linear_probe_C1_randominit,9,7,0.8571428571428571,0.875,0.8571428571428571,0.8571428571428571,0.75,1.0,0.8571428571428571,0.9166666666666666,0.9166666666666665,3,1,0,3
jigsaw,jigsaw_linear_probe_C1_randominit,10,7,0.7142857142857143,0.75,0.7083333333333333,0.7023809523809523,0.6,1.0,0.75,0.9166666666666666,0.9166666666666665,2,2,0,3
joint,joint_linear_probe_C1_randominit,1,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,0,0,4
joint,joint_linear_probe_C1_randominit,2,8,0.875,0.875,0.873015873015873,0.873015873015873,0.8,1.0,0.8888888888888888,0.875,0.8875,3,1,0,4
joint,joint_linear_probe_C1_randominit,3,8,0.875,0.875,0.873015873015873,0.873015873015873,0.8,1.0,0.8888888888888888,0.875,0.8875,3,1,0,4
joint,joint_linear_probe_C1_randominit,4,8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.875,0.9166666666666666,3,1,1,3
joint,joint_linear_probe_C1_randominit,5,8,0.75,0.75,0.7333333333333334,0.7333333333333334,1.0,0.5,0.6666666666666666,0.8125,0.8541666666666666,4,0,2,2
joint,joint_linear_probe_C1_randominit,6,8,0.75,0.75,0.7333333333333334,0.7333333333333334,1.0,0.5,0.6666666666666666,1.0,1.0,4,0,2,2
joint,joint_linear_probe_C1_randominit,7,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,0,0,4
joint,joint_linear_probe_C1_randominit,8,8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.9375,0.95,3,1,1,3
joint,joint_linear_probe_C1_randominit,9,7,0.8571428571428571,0.875,0.8571428571428571,0.8571428571428571,0.75,1.0,0.8571428571428571,1.0,1.0,3,1,0,3
joint,joint_linear_probe_C1_randominit,10,7,0.8571428571428571,0.875,0.8571428571428571,0.8571428571428571,0.75,1.0,0.8571428571428571,0.9166666666666666,0.9166666666666665,3,1,0,3
