family,model,fold,n_test,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
masking,masking_linear_probe_C1_randominit,1,8,0.25,0.26666666666666666,0.25,0.25,0.2,0.3333333333333333,0.25,0.26666666666666666,0.38690476190476186,1,4,2,1
masking,masking_linear_probe_C1_randominit,2,8,0.5,0.5333333333333333,0.5,0.5,0.4,0.6666666666666666,0.5,0.6666666666666666,0.6984126984126985,2,3,1,2
masking,masking_linear_probe_C1_randominit,3,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0,0,3
masking,masking_linear_probe_C1_randominit,4,8,0.75,0.8,0.75,0.75,0.6,1.0,0.75,0.6,0.4777777777777778,3,2,0,3
masking,masking_linear_probe_C1_randominit,5,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.5,0.5714285714285714,0.625,0.6220238095238095,3,1,2,2
masking,masking_linear_probe_C1_randominit,6,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.6,0.75,0.6666666666666666,0.625,0.7291666666666666,2,2,1,3
masking,masking_linear_probe_C1_randominit,7,8,0.5,0.5,0.4666666666666667,0.4666666666666667,0.5,0.25,0.3333333333333333,0.8125,0.8041666666666667,3,1,3,1
masking,masking_linear_probe_C1_randominit,8,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.5,0.5714285714285714,0.8125,0.8541666666666666,3,1,2,2
masking,masking_linear_probe_C1_randominit,9,7,0.7142857142857143,0.7083333333333333,0.7083333333333333,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5833333333333333,0.5555555555555556,3,1,1,2
masking,masking_linear_probe_C1_randominit,10,7,0.8571428571428571,0.8333333333333333,0.8444444444444444,0.8507936507936508,1.0,0.6666666666666666,0.8,0.9166666666666666,0.9166666666666665,4,0,1,2
jigsaw,jigsaw_linear_probe_C1_randominit,1,8,0.75,0.7333333333333334,0.7333333333333334,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8666666666666667,0.8055555555555556,4,1,1,2
jigsaw,jigsaw_linear_probe_C1_randominit,2,8,0.5,0.5333333333333333,0.5,0.5,0.4,0.6666666666666666,0.5,0.6,0.6805555555555556,2,3,1,2
jigsaw,jigsaw_linear_probe_C1_randominit,3,8,0.75,0.8,0.75,0.75,0.6,1.0,0.75,1.0,1.0,3,2,0,3
jigsaw,jigsaw_linear_probe_C1_randominit,4,8,0.75,0.8,0.75,0.75,0.6,1.0,0.75,0.8,0.7555555555555555,3,2,0,3
jigsaw,jigsaw_linear_probe_C1_randominit,5,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.5,0.5714285714285714,0.6875,0.7928571428571428,3,1,2,2
jigsaw,jigsaw_linear_probe_C1_randominit,6,8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.625,0.775,2,2,2,2
jigsaw,jigsaw_linear_probe_C1_randominit,7,8,0.5,0.5,0.4666666666666667,0.4666666666666667,0.5,0.25,0.3333333333333333,0.8125,0.8041666666666667,3,1,3,1
jigsaw,jigsaw_linear_probe_C1_randominit,8,8,0.75,0.75,0.7333333333333334,0.7333333333333334,1.0,0.5,0.6666666666666666,0.875,0.9166666666666666,4,0,2,2
jigsaw,jigsaw_linear_probe_C1_randominit,9,7,0.7142857142857143,0.7083333333333333,0.7083333333333333,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.9166666666666665,3,1,1,2
jigsaw,jigsaw_linear_probe_C1_randominit,10,7,0.8571428571428571,0.8333333333333333,0.8444444444444444,0.8507936507936508,1.0,0.6666666666666666,0.8,1.0,1.0,4,0,1,2
joint,joint_linear_probe_C1_randominit,1,8,0.75,0.8,0.75,0.75,0.6,1.0,0.75,0.7333333333333333,0.7,3,2,0,3
joint,joint_linear_probe_C1_randominit,2,8,0.5,0.5333333333333333,0.5,0.5,0.4,0.6666666666666666,0.5,0.6,0.6805555555555556,2,3,1,2
joint,joint_linear_probe_C1_randominit,3,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0,0,3
joint,joint_linear_probe_C1_randominit,4,8,0.75,0.8,0.75,0.75,0.6,1.0,0.75,0.8,0.7555555555555555,3,2,0,3
joint,joint_linear_probe_C1_randominit,5,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.5,0.5714285714285714,0.625,0.7678571428571428,3,1,2,2
joint,joint_linear_probe_C1_randominit,6,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.5,0.5714285714285714,0.5625,0.6041666666666666,3,1,2,2
joint,joint_linear_probe_C1_randominit,7,8,0.5,0.5,0.4666666666666667,0.4666666666666667,0.5,0.25,0.3333333333333333,0.6875,0.7470238095238095,3,1,3,1
joint,joint_linear_probe_C1_randominit,8,8,0.625,0.625,0.5636363636363637,0.5636363636363637,1.0,0.25,0.4,0.625,0.775,4,0,3,1
joint,joint_linear_probe_C1_randominit,9,7,0.5714285714285714,0.5416666666666666,0.5333333333333333,0.5523809523809524,0.5,0.3333333333333333,0.4,0.5,0.6333333333333333,3,1,2,1
joint,joint_linear_probe_C1_randominit,10,7,0.7142857142857143,0.7083333333333333,0.7083333333333333,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8095238095238095,3,1,1,2
