family,model,fold,n_test,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,macro_roc_auc_ovr,confusion_matrix
masking,masking_linear_probe_C1_randominit,1,12,0.6666666666666666,0.611111111111111,0.611111111111111,0.6666666666666666,0.611111111111111,0.611111111111111,0.7098765432098766,"[[2, 0, 1], [0, 5, 1], [1, 1, 1]]"
masking,masking_linear_probe_C1_randominit,2,12,0.3333333333333333,0.27777777777777773,0.29523809523809524,0.3714285714285714,0.3333333333333333,0.27777777777777773,0.6512345679012346,"[[0, 1, 2], [2, 3, 1], [2, 0, 1]]"
masking,masking_linear_probe_C1_randominit,3,12,0.5833333333333334,0.5833333333333334,0.5555555555555555,0.6111111111111112,0.6166666666666667,0.5833333333333334,0.8979166666666667,"[[1, 0, 1], [2, 3, 1], [1, 0, 3]]"
masking,masking_linear_probe_C1_randominit,4,11,0.7272727272727273,0.611111111111111,0.6412698412698412,0.6978354978354978,0.75,0.611111111111111,0.6518518518518518,"[[1, 0, 1], [0, 6, 0], [0, 2, 1]]"
masking,masking_linear_probe_C1_randominit,5,11,0.6363636363636364,0.611111111111111,0.611111111111111,0.6363636363636364,0.611111111111111,0.611111111111111,0.7287037037037036,"[[1, 1, 0], [1, 4, 1], [0, 1, 2]]"
masking,masking_linear_probe_C1_randominit,6,11,0.36363636363636365,0.27777777777777773,0.2619047619047619,0.35064935064935066,0.25,0.27777777777777773,0.5444444444444444,"[[0, 1, 1], [1, 3, 2], [0, 2, 1]]"
masking,masking_linear_probe_C1_randominit,7,11,0.6363636363636364,0.6444444444444445,0.6055555555555555,0.6166666666666667,0.6166666666666667,0.6444444444444445,0.8444444444444444,"[[3, 0, 0], [1, 3, 1], [1, 1, 1]]"
masking,masking_linear_probe_C1_randominit,8,11,0.6363636363636364,0.6,0.597979797979798,0.6214876033057851,0.611111111111111,0.6,0.7805555555555556,"[[1, 1, 1], [1, 4, 0], [0, 1, 2]]"
masking,masking_linear_probe_C1_randominit,9,11,0.6363636363636364,0.6,0.6,0.6363636363636364,0.7333333333333334,0.6,0.7749999999999999,"[[2, 1, 0], [1, 4, 0], [2, 0, 1]]"
masking,masking_linear_probe_C1_randominit,10,11,0.7272727272727273,0.7111111111111111,0.7089947089947088,0.7417027417027416,0.7222222222222222,0.7111111111111111,0.8861111111111111,"[[2, 0, 1], [0, 4, 1], [1, 0, 2]]"
jigsaw,jigsaw_linear_probe_C1_randominit,1,12,0.6666666666666666,0.5555555555555555,0.4761904761904761,0.5714285714285714,0.4166666666666667,0.5555555555555555,0.7222222222222222,"[[0, 1, 2], [0, 6, 0], [0, 1, 2]]"
jigsaw,jigsaw_linear_probe_C1_randominit,2,12,0.4166666666666667,0.3333333333333333,0.3376623376623377,0.435064935064935,0.35000000000000003,0.3333333333333333,0.6851851851851852,"[[0, 1, 2], [1, 4, 1], [2, 0, 1]]"
jigsaw,jigsaw_linear_probe_C1_randominit,3,12,0.6666666666666666,0.75,0.6626984126984127,0.6785714285714285,0.7166666666666667,0.75,0.9,"[[2, 0, 0], [2, 3, 1], [1, 0, 3]]"
jigsaw,jigsaw_linear_probe_C1_randominit,4,11,0.7272727272727273,0.611111111111111,0.6412698412698412,0.6978354978354978,0.75,0.611111111111111,0.6842592592592592,"[[1, 0, 1], [0, 6, 0], [0, 2, 1]]"
jigsaw,jigsaw_linear_probe_C1_randominit,5,11,0.6363636363636364,0.6666666666666666,0.6166666666666667,0.6227272727272727,0.6166666666666667,0.6666666666666666,0.8722222222222222,"[[1, 1, 0], [1, 3, 2], [0, 0, 3]]"
jigsaw,jigsaw_linear_probe_C1_randominit,6,11,0.45454545454545453,0.3333333333333333,0.3238095238095238,0.42077922077922075,0.3333333333333333,0.3333333333333333,0.6055555555555555,"[[0, 2, 0], [1, 4, 1], [0, 2, 1]]"
jigsaw,jigsaw_linear_probe_C1_randominit,7,11,0.5454545454545454,0.5777777777777777,0.5277777777777778,0.5227272727272727,0.5333333333333333,0.5777777777777777,0.7999999999999999,"[[3, 0, 0], [1, 2, 2], [1, 1, 1]]"
jigsaw,jigsaw_linear_probe_C1_randominit,8,11,0.6363636363636364,0.6,0.597979797979798,0.6214876033057851,0.611111111111111,0.6,0.8611111111111112,"[[1, 1, 1], [1, 4, 0], [0, 1, 2]]"
jigsaw,jigsaw_linear_probe_C1_randominit,9,11,0.7272727272727273,0.7111111111111111,0.7111111111111111,0.7272727272727273,0.7111111111111111,0.7111111111111111,0.9333333333333332,"[[2, 1, 0], [0, 4, 1], [1, 0, 2]]"
jigsaw,jigsaw_linear_probe_C1_randominit,10,11,0.8181818181818182,0.7777777777777777,0.791919191919192,0.8132231404958677,0.8333333333333334,0.7777777777777777,0.8444444444444444,"[[2, 1, 0], [0, 5, 0], [1, 0, 2]]"
joint,joint_linear_probe_C1_randominit,1,12,0.5833333333333334,0.5555555555555555,0.546031746031746,0.5761904761904763,0.5555555555555555,0.5555555555555555,0.7191358024691358,"[[1, 1, 1], [1, 4, 1], [0, 1, 2]]"
joint,joint_linear_probe_C1_randominit,2,12,0.4166666666666667,0.3333333333333333,0.3376623376623377,0.435064935064935,0.35000000000000003,0.3333333333333333,0.6141975308641975,"[[0, 1, 2], [1, 4, 1], [2, 0, 1]]"
joint,joint_linear_probe_C1_randominit,3,12,0.5833333333333334,0.6666666666666666,0.5925925925925926,0.5925925925925926,0.6333333333333333,0.6666666666666666,0.8041666666666667,"[[2, 0, 0], [0, 3, 3], [2, 0, 2]]"
joint,joint_linear_probe_C1_randominit,4,11,0.6363636363636364,0.5555555555555556,0.5897435897435898,0.6317016317016317,0.6825396825396827,0.5555555555555556,0.5074074074074074,"[[1, 0, 1], [0, 5, 1], [0, 2, 1]]"
joint,joint_linear_probe_C1_randominit,5,11,0.8181818181818182,0.7777777777777778,0.7857142857142857,0.8095238095238095,0.8611111111111112,0.7777777777777778,0.7462962962962963,"[[1, 1, 0], [0, 5, 1], [0, 0, 3]]"
joint,joint_linear_probe_C1_randominit,6,11,0.6363636363636364,0.5,0.4682539682539682,0.6103896103896104,0.4444444444444445,0.5,0.6296296296296297,"[[0, 1, 1], [0, 5, 1], [1, 0, 2]]"
joint,joint_linear_probe_C1_randominit,7,11,0.5454545454545454,0.5777777777777778,0.5608465608465608,0.5396825396825397,0.5555555555555555,0.5777777777777778,0.7277777777777779,"[[2, 1, 0], [1, 2, 2], [0, 1, 2]]"
joint,joint_linear_probe_C1_randominit,8,11,0.7272727272727273,0.7111111111111111,0.7111111111111111,0.7272727272727273,0.7111111111111111,0.7111111111111111,0.9083333333333333,"[[2, 0, 1], [1, 4, 0], [0, 1, 2]]"
joint,joint_linear_probe_C1_randominit,9,11,0.9090909090909091,0.9333333333333332,0.9153439153439153,0.9105339105339105,0.9166666666666666,0.9333333333333332,0.9666666666666667,"[[3, 0, 0], [0, 4, 1], [0, 0, 3]]"
joint,joint_linear_probe_C1_randominit,10,11,0.5454545454545454,0.48888888888888893,0.43333333333333335,0.5,0.4000000000000001,0.48888888888888893,0.7861111111111111,"[[2, 1, 0], [0, 4, 1], [3, 0, 0]]"
