dataset,family,model,n_evaluated,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,C_median,C_values,embed_dim,macro_precision,macro_recall,macro_roc_auc_ovr,confusion_matrix
brc_t2d_cancer,masking,masking_linear_probe_tunedC,78,0.8461538461538461,0.8453947368421053,0.8457481872116018,0.8459510166827241,0.8611111111111112,0.8157894736842105,0.8378378378378378,0.9157894736842106,0.9183615139847843,35.0,5.0,7.0,31.0,10.0,1;10;10;10;1;10;10;100;1;100,128,,,,
brc_t2d_cancer,jigsaw,jigsaw_linear_probe_tunedC,78,0.782051282051282,0.7815789473684212,0.7817283950617284,0.7819436530547642,0.7837837837837838,0.7631578947368421,0.7733333333333333,0.825,0.8120342104919185,32.0,8.0,9.0,29.0,0.055,1;0.01;0.01;1;0.001;0.01;100;0.1;100;0.01,768,,,,
brc_t2d_cancer,joint,joint_linear_probe_tunedC,78,0.6923076923076923,0.6921052631578948,0.6921052631578948,0.6923076923076923,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.7881578947368421,0.7893078884070681,28.0,12.0,12.0,26.0,0.1,0.01;0.1;1;0.01;0.1;10;1;0.001;10;0.001,960,,,,
brc_t2d_diabetes,masking,masking_linear_probe_tunedC,78,0.8076923076923077,0.8094919786096256,0.8061309030654515,0.8083614811038174,0.7567567567567568,0.8235294117647058,0.7887323943661971,0.8616310160427807,0.8597175923942965,35.0,9.0,6.0,28.0,5.5,10;100;1;1;100;10;1;10;1;1,128,,,,
brc_t2d_diabetes,jigsaw,jigsaw_linear_probe_tunedC,78,0.5384615384615384,0.5441176470588236,0.5381578947368422,0.5396761133603238,0.47619047619047616,0.5882352941176471,0.5263157894736842,0.5848930481283422,0.5087063484993821,22.0,22.0,14.0,20.0,0.001,0.01;0.001;0.01;0.001;0.01;0.001;10;0.001;0.001;0.001,768,,,,
brc_t2d_diabetes,joint,joint_linear_probe_tunedC,78,0.6153846153846154,0.6056149732620321,0.606060606060606,0.6138306138306138,0.5625,0.5294117647058824,0.5454545454545454,0.6684491978609626,0.5563000920608624,30.0,14.0,16.0,18.0,0.1,0.1;0.01;0.1;1;0.01;10;1;0.001;10;0.01,960,,,,
mtbls563,masking,masking_linear_probe_tunedC,113,0.6106194690265486,0.5630686517783292,0.5635282778139922,0.6113464672251019,,,,,,,,,,1.0,10;0.1;1;10;0.01;1;0.01;10;0.1;1,128,0.5663466967814793,0.5630686517783292,0.7392687098734397,"[[11, 4, 11], [6, 42, 8], [6, 9, 16]]"
mtbls563,jigsaw,jigsaw_linear_probe_tunedC,113,0.6106194690265486,0.5582683445586671,0.5597328786587098,0.607026080921018,,,,,,,,,,0.01,100;0.001;1;0.01;1;0.001;0.01;0.01;0.001;0.001,768,0.5620183128774596,0.5582683445586671,0.6921825453968214,"[[11, 7, 8], [7, 43, 6], [7, 9, 15]]"
mtbls563,joint,joint_linear_probe_tunedC,113,0.504424778761062,0.4607704123833156,0.4602623456790123,0.5099045394952475,,,,,,,,,,0.1,10;0.1;0.01;0.01;0.01;0.1;0.01;10;100;100,960,0.4609279609279609,0.4607704123833156,0.694744699438797,"[[10, 6, 10], [8, 36, 12], [10, 10, 11]]"
mtbls326,masking,masking_linear_probe_tunedC,42,0.9523809523809523,0.962962962962963,0.9495192307692308,0.9529532967032969,1.0,0.9259259259259259,0.9615384615384616,1.0,1.0,15.0,0.0,2.0,25.0,100.0,10;1;10;1;100;100;100;100;1;100;1;1;100;100;0.1;10;10;10;10;10;10;1;100;100;100;1;1;100;100;10;100;100;100;100;100;100;100;100;100;100;100;100,128,,,,
