family,model,fold,n_test,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
masking,masking_linear_probe_tunedC,1,8,0.875,0.875,0.873015873015873,0.873015873015873,1.0,0.75,0.8571428571428571,1.0,1.0,4,0,1,3
masking,masking_linear_probe_tunedC,2,8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.9375,0.95,3,1,1,3
masking,masking_linear_probe_tunedC,3,8,0.875,0.875,0.873015873015873,0.873015873015873,0.8,1.0,0.8888888888888888,0.9375,0.95,3,1,0,4
masking,masking_linear_probe_tunedC,4,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.5,0.5714285714285714,0.75,0.8303571428571428,3,1,2,2
masking,masking_linear_probe_tunedC,5,8,0.875,0.875,0.873015873015873,0.873015873015873,1.0,0.75,0.8571428571428571,0.8125,0.8928571428571428,4,0,1,3
masking,masking_linear_probe_tunedC,6,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,0,0,4
masking,masking_linear_probe_tunedC,7,8,0.875,0.875,0.873015873015873,0.873015873015873,1.0,0.75,0.8571428571428571,1.0,1.0,4,0,1,3
masking,masking_linear_probe_tunedC,8,8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.9375,0.95,3,1,1,3
masking,masking_linear_probe_tunedC,9,7,0.8571428571428571,0.875,0.8571428571428571,0.8571428571428571,0.75,1.0,0.8571428571428571,1.0,1.0,3,1,0,3
masking,masking_linear_probe_tunedC,10,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,0,0,3
jigsaw,jigsaw_linear_probe_tunedC,1,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,0,0,4
jigsaw,jigsaw_linear_probe_tunedC,2,8,0.875,0.875,0.873015873015873,0.873015873015873,0.8,1.0,0.8888888888888888,0.875,0.8875,3,1,0,4
jigsaw,jigsaw_linear_probe_tunedC,3,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.5,0.5714285714285714,0.625,0.7291666666666666,3,1,2,2
jigsaw,jigsaw_linear_probe_tunedC,4,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.5,0.5714285714285714,0.8125,0.8041666666666667,3,1,2,2
jigsaw,jigsaw_linear_probe_tunedC,5,8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.8125,0.8541666666666666,3,1,1,3
jigsaw,jigsaw_linear_probe_tunedC,6,8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.8125,0.8928571428571428,3,1,1,3
jigsaw,jigsaw_linear_probe_tunedC,7,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,0,0,4
jigsaw,jigsaw_linear_probe_tunedC,8,8,0.5,0.5,0.4666666666666667,0.4666666666666667,0.5,0.25,0.3333333333333333,0.5,0.5595238095238095,3,1,3,1
jigsaw,jigsaw_linear_probe_tunedC,9,7,0.8571428571428571,0.875,0.8571428571428571,0.8571428571428571,0.75,1.0,0.8571428571428571,0.8333333333333334,0.8055555555555556,3,1,0,3
jigsaw,jigsaw_linear_probe_tunedC,10,7,0.8571428571428571,0.875,0.8571428571428571,0.8571428571428571,0.75,1.0,0.8571428571428571,0.8333333333333334,0.8055555555555556,3,1,0,3
joint,joint_linear_probe_tunedC,1,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,0,0,4
joint,joint_linear_probe_tunedC,2,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.5,0.5714285714285714,0.8125,0.8041666666666667,3,1,2,2
joint,joint_linear_probe_tunedC,3,8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.625,0.7291666666666666,3,1,1,3
joint,joint_linear_probe_tunedC,4,8,0.5,0.5,0.4666666666666667,0.4666666666666667,0.5,0.25,0.3333333333333333,0.6875,0.7470238095238095,3,1,3,1
joint,joint_linear_probe_tunedC,5,8,0.875,0.875,0.873015873015873,0.873015873015873,0.8,1.0,0.8888888888888888,1.0,1.0,3,1,0,4
joint,joint_linear_probe_tunedC,6,8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7321428571428572,2,2,2,2
joint,joint_linear_probe_tunedC,7,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,0,0,4
joint,joint_linear_probe_tunedC,8,8,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.4375,0.6178571428571429,1,3,3,1
joint,joint_linear_probe_tunedC,9,7,0.7142857142857143,0.7083333333333333,0.7083333333333333,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333333,0.8666666666666667,3,1,1,2
joint,joint_linear_probe_tunedC,10,7,0.7142857142857143,0.75,0.7083333333333333,0.7023809523809523,0.6,1.0,0.75,1.0,1.0,2,2,0,3
