family,model,fold,n_test,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
masking,masking_linear_probe_tunedC,1,8,0.875,0.9,0.873015873015873,0.876984126984127,0.75,1.0,0.8571428571428571,0.8666666666666667,0.8055555555555556,4,1,0,3
masking,masking_linear_probe_tunedC,2,8,0.625,0.6333333333333333,0.6190476190476191,0.6309523809523809,0.5,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.7916666666666666,3,2,1,2
masking,masking_linear_probe_tunedC,3,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0,0,3
masking,masking_linear_probe_tunedC,4,8,0.75,0.8,0.75,0.75,0.6,1.0,0.75,0.9333333333333333,0.9166666666666666,3,2,0,3
masking,masking_linear_probe_tunedC,5,8,0.875,0.875,0.873015873015873,0.873015873015873,1.0,0.75,0.8571428571428571,0.9375,0.95,4,0,1,3
masking,masking_linear_probe_tunedC,6,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.5,0.5714285714285714,0.6875,0.6458333333333333,3,1,2,2
masking,masking_linear_probe_tunedC,7,8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.8125,0.8541666666666666,3,1,1,3
masking,masking_linear_probe_tunedC,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,0,0,4
masking,masking_linear_probe_tunedC,9,7,0.7142857142857143,0.75,0.7083333333333333,0.7023809523809523,0.6,1.0,0.75,1.0,1.0,2,2,0,3
masking,masking_linear_probe_tunedC,10,7,0.8571428571428571,0.8333333333333333,0.8444444444444444,0.8507936507936508,1.0,0.6666666666666666,0.8,1.0,1.0,4,0,1,2
jigsaw,jigsaw_linear_probe_tunedC,1,8,0.5,0.5333333333333333,0.5,0.5,0.4,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666667,2,3,1,2
jigsaw,jigsaw_linear_probe_tunedC,2,8,0.5,0.6,0.4666666666666667,0.4333333333333333,0.42857142857142855,1.0,0.6,0.3333333333333333,0.3595238095238095,1,4,0,3
jigsaw,jigsaw_linear_probe_tunedC,3,8,0.625,0.7,0.6190476190476191,0.6071428571428571,0.5,1.0,0.6666666666666666,0.5333333333333333,0.4444444444444445,2,3,0,3
jigsaw,jigsaw_linear_probe_tunedC,4,8,0.625,0.7,0.6190476190476191,0.6071428571428571,0.5,1.0,0.6666666666666666,0.6666666666666666,0.5333333333333333,2,3,0,3
jigsaw,jigsaw_linear_probe_tunedC,5,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.5,0.5714285714285714,0.875,0.8875,3,1,2,2
jigsaw,jigsaw_linear_probe_tunedC,6,8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5625,0.6916666666666667,2,2,2,2
jigsaw,jigsaw_linear_probe_tunedC,7,8,0.5,0.5,0.4666666666666667,0.4666666666666667,0.5,0.25,0.3333333333333333,0.6875,0.7333333333333333,3,1,3,1
jigsaw,jigsaw_linear_probe_tunedC,8,8,0.5,0.5,0.4666666666666667,0.4666666666666667,0.5,0.25,0.3333333333333333,0.625,0.6083333333333333,3,1,3,1
jigsaw,jigsaw_linear_probe_tunedC,9,7,0.42857142857142855,0.41666666666666663,0.41666666666666663,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.7,2,2,2,1
jigsaw,jigsaw_linear_probe_tunedC,10,7,0.5714285714285714,0.5833333333333333,0.5714285714285714,0.5714285714285714,0.5,0.6666666666666666,0.5714285714285714,0.5833333333333334,0.5333333333333333,2,2,1,2
joint,joint_linear_probe_tunedC,1,8,0.625,0.6333333333333333,0.6190476190476191,0.6309523809523809,0.5,0.6666666666666666,0.5714285714285714,0.6,0.6428571428571429,3,2,1,2
joint,joint_linear_probe_tunedC,2,8,0.375,0.3666666666666667,0.36507936507936506,0.38492063492063494,0.25,0.3333333333333333,0.2857142857142857,0.39999999999999997,0.3873015873015873,2,3,2,1
joint,joint_linear_probe_tunedC,3,8,0.75,0.7333333333333334,0.7333333333333334,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.5888888888888888,4,1,1,2
joint,joint_linear_probe_tunedC,4,8,0.625,0.6333333333333333,0.6190476190476191,0.6309523809523809,0.5,0.6666666666666666,0.5714285714285714,0.7333333333333333,0.5888888888888888,3,2,1,2
joint,joint_linear_probe_tunedC,5,8,0.875,0.875,0.873015873015873,0.873015873015873,1.0,0.75,0.8571428571428571,1.0,1.0,4,0,1,3
joint,joint_linear_probe_tunedC,6,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.5,0.5714285714285714,0.75,0.8303571428571428,3,1,2,2
joint,joint_linear_probe_tunedC,7,8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4375,0.525,2,2,2,2
joint,joint_linear_probe_tunedC,8,8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.625,0.6916666666666667,2,2,2,2
joint,joint_linear_probe_tunedC,9,7,0.5714285714285714,0.5,0.36363636363636365,0.4155844155844156,0.0,0.0,0.0,0.75,0.6388888888888888,4,0,3,0
joint,joint_linear_probe_tunedC,10,7,0.7142857142857143,0.7083333333333333,0.7083333333333333,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.7555555555555555,3,1,1,2
