family,model,fold,n_test,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,macro_roc_auc_ovr,confusion_matrix
masking,masking_linear_probe_tunedC,1,12,0.5,0.4444444444444444,0.38888888888888884,0.4583333333333333,0.35555555555555557,0.4444444444444444,0.79320987654321,"[[0, 1, 2], [1, 4, 1], [0, 1, 2]]"
masking,masking_linear_probe_tunedC,2,12,0.75,0.6666666666666666,0.6632478632478632,0.7282051282051283,0.6746031746031745,0.6666666666666666,0.7345679012345679,"[[2, 0, 1], [0, 6, 0], [1, 1, 1]]"
masking,masking_linear_probe_tunedC,3,12,0.75,0.7222222222222222,0.7000000000000001,0.75,0.7222222222222222,0.7222222222222222,0.8337962962962964,"[[1, 0, 1], [1, 4, 1], [0, 0, 4]]"
masking,masking_linear_probe_tunedC,4,11,0.7272727272727273,0.7222222222222223,0.6897435897435898,0.7013986013986014,0.7936507936507936,0.7222222222222223,0.6129629629629628,"[[2, 0, 0], [1, 5, 0], [0, 2, 1]]"
masking,masking_linear_probe_tunedC,5,11,0.6363636363636364,0.611111111111111,0.6349206349206349,0.6406926406926406,0.7222222222222222,0.611111111111111,0.7166666666666667,"[[1, 1, 0], [0, 4, 2], [0, 1, 2]]"
masking,masking_linear_probe_tunedC,6,11,0.7272727272727273,0.611111111111111,0.6555555555555556,0.693939393939394,0.8888888888888888,0.611111111111111,0.48518518518518516,"[[1, 1, 0], [0, 6, 0], [0, 2, 1]]"
masking,masking_linear_probe_tunedC,7,11,0.36363636363636365,0.35555555555555557,0.3148148148148148,0.34848484848484845,0.3333333333333333,0.35555555555555557,0.7083333333333334,"[[2, 0, 1], [2, 2, 1], [2, 1, 0]]"
masking,masking_linear_probe_tunedC,8,11,0.6363636363636364,0.6,0.5978835978835978,0.6507936507936508,0.611111111111111,0.6,0.8333333333333334,"[[2, 0, 1], [0, 4, 1], [2, 0, 1]]"
masking,masking_linear_probe_tunedC,9,11,0.5454545454545454,0.48888888888888893,0.4148148148148148,0.4848484848484848,0.37777777777777777,0.48888888888888893,0.6638888888888889,"[[0, 0, 3], [0, 4, 1], [0, 1, 2]]"
masking,masking_linear_probe_tunedC,10,11,0.45454545454545453,0.4222222222222222,0.38888888888888884,0.4393939393939394,0.3833333333333333,0.4222222222222222,0.6277777777777778,"[[0, 1, 2], [1, 3, 1], [1, 0, 2]]"
jigsaw,jigsaw_linear_probe_tunedC,1,12,0.5,0.4444444444444444,0.3956043956043956,0.45054945054945056,0.35714285714285715,0.4444444444444444,0.5771604938271605,"[[0, 2, 1], [1, 4, 1], [0, 1, 2]]"
jigsaw,jigsaw_linear_probe_tunedC,2,12,0.6666666666666666,0.5555555555555555,0.5521367521367522,0.6448717948717949,0.5634920634920635,0.5555555555555555,0.75,"[[1, 0, 2], [0, 6, 0], [1, 1, 1]]"
jigsaw,jigsaw_linear_probe_tunedC,3,12,0.5833333333333334,0.5555555555555555,0.544011544011544,0.6096681096681097,0.5722222222222223,0.5555555555555555,0.7673611111111112,"[[1, 1, 0], [1, 4, 1], [2, 0, 2]]"
jigsaw,jigsaw_linear_probe_tunedC,4,11,0.5454545454545454,0.49999999999999994,0.5051282051282051,0.5356643356643357,0.5238095238095238,0.49999999999999994,0.6462962962962963,"[[1, 1, 0], [1, 4, 1], [0, 2, 1]]"
jigsaw,jigsaw_linear_probe_tunedC,5,11,0.5454545454545454,0.4444444444444444,0.41269841269841273,0.5194805194805195,0.38888888888888884,0.4444444444444444,0.7194444444444444,"[[0, 1, 1], [1, 4, 1], [0, 1, 2]]"
jigsaw,jigsaw_linear_probe_tunedC,6,11,0.45454545454545453,0.38888888888888884,0.34848484848484845,0.43388429752066116,0.3333333333333333,0.38888888888888884,0.6018518518518517,"[[0, 1, 1], [1, 3, 2], [0, 1, 2]]"
jigsaw,jigsaw_linear_probe_tunedC,7,11,0.6363636363636364,0.6,0.5904761904761905,0.6285714285714286,0.6,0.6,0.7472222222222222,"[[2, 0, 1], [1, 4, 0], [1, 1, 1]]"
jigsaw,jigsaw_linear_probe_tunedC,8,11,0.7272727272727273,0.6666666666666666,0.6585858585858585,0.7041322314049586,0.6666666666666666,0.6666666666666666,0.8166666666666668,"[[2, 0, 1], [0, 5, 0], [1, 1, 1]]"
jigsaw,jigsaw_linear_probe_tunedC,9,11,0.7272727272727273,0.7111111111111111,0.6833333333333332,0.7045454545454546,0.7999999999999999,0.7111111111111111,0.8666666666666667,"[[3, 0, 0], [1, 4, 0], [1, 1, 1]]"
jigsaw,jigsaw_linear_probe_tunedC,10,11,0.7272727272727273,0.6666666666666666,0.6585858585858585,0.7041322314049586,0.6666666666666666,0.6666666666666666,0.8250000000000001,"[[1, 1, 1], [0, 5, 0], [1, 0, 2]]"
joint,joint_linear_probe_tunedC,1,12,0.75,0.6666666666666666,0.6746031746031745,0.7202380952380952,0.8055555555555555,0.6666666666666666,0.8425925925925926,"[[1, 1, 1], [0, 6, 0], [0, 1, 2]]"
joint,joint_linear_probe_tunedC,2,12,0.4166666666666667,0.3333333333333333,0.3376623376623377,0.435064935064935,0.35000000000000003,0.3333333333333333,0.5956790123456791,"[[1, 0, 2], [1, 4, 1], [2, 1, 0]]"
joint,joint_linear_probe_tunedC,3,12,0.6666666666666666,0.5555555555555555,0.5090909090909091,0.6424242424242425,0.5238095238095238,0.5555555555555555,0.7993055555555556,"[[0, 0, 2], [1, 4, 1], [0, 0, 4]]"
joint,joint_linear_probe_tunedC,4,11,0.5454545454545454,0.4444444444444445,0.4230769230769231,0.5104895104895105,0.4047619047619048,0.4444444444444445,0.5870370370370371,"[[1, 0, 1], [0, 5, 1], [1, 2, 0]]"
joint,joint_linear_probe_tunedC,5,11,0.45454545454545453,0.38888888888888884,0.3722943722943723,0.45336481700118064,0.3666666666666667,0.38888888888888884,0.6694444444444444,"[[0, 1, 1], [2, 3, 1], [0, 1, 2]]"
joint,joint_linear_probe_tunedC,6,11,0.2727272727272727,0.16666666666666666,0.16666666666666666,0.2727272727272727,0.16666666666666666,0.16666666666666666,0.6175925925925926,"[[0, 1, 1], [0, 3, 3], [1, 2, 0]]"
joint,joint_linear_probe_tunedC,7,11,0.45454545454545453,0.4222222222222222,0.3904761904761904,0.4285714285714286,0.3666666666666667,0.4222222222222222,0.6305555555555555,"[[2, 1, 0], [0, 3, 2], [2, 1, 0]]"
joint,joint_linear_probe_tunedC,8,11,0.45454545454545453,0.4222222222222222,0.4222222222222222,0.45454545454545453,0.4222222222222222,0.4222222222222222,0.6916666666666668,"[[1, 1, 1], [1, 3, 1], [1, 1, 1]]"
joint,joint_linear_probe_tunedC,9,11,0.45454545454545453,0.5111111111111111,0.42857142857142855,0.4025974025974026,0.4444444444444444,0.5111111111111111,0.7861111111111111,"[[3, 0, 0], [2, 1, 2], [1, 1, 1]]"
joint,joint_linear_probe_tunedC,10,11,0.5454545454545454,0.4888888888888889,0.49523809523809526,0.5506493506493506,0.5166666666666667,0.4888888888888889,0.8666666666666667,"[[1, 1, 1], [1, 4, 0], [2, 0, 1]]"
