family,model,n_evaluated,accuracy,balanced_accuracy,macro_f1,weighted_f1,f1,fn,fp,pr_auc,precision,recall,roc_auc,tn,tp
classical,logistic_regression,37,0.7837837837837838,0.7562111801242236,0.7628205128205128,0.7799722799722799,0.8333333333333334,3,5,0.8877002136033585,0.8,0.8695652173913043,0.8633540372670807,9,20
classical,svm_rbf,37,0.6486486486486487,0.6335403726708074,0.6314176245210728,0.6508025266645956,0.7111111111111111,7,6,0.794667518727317,0.7272727272727273,0.6956521739130435,0.6739130434782609,8,16
classical,xgboost,37,0.5945945945945946,0.5481366459627329,0.5469387755102041,0.5826806398234969,0.6938775510204082,6,9,0.81145682851037,0.6538461538461539,0.7391304347826086,0.65527950310559,5,17
masking,mask_20_frozen,37,0.6216216216216216,0.5,0.38333333333333336,0.47657657657657654,0.7666666666666667,0,14,0.5444435582446614,0.6216216216216216,1.0,0.3167701863354037,0,23
masking,mask_20_unfreeze_last_1,37,0.6216216216216216,0.5,0.38333333333333336,0.47657657657657654,0.7666666666666667,0,14,0.578115675324897,0.6216216216216216,1.0,0.36024844720496896,0,23
masking,mask_20_unfreeze_last_2,37,0.6216216216216216,0.5,0.38333333333333336,0.47657657657657654,0.7666666666666667,0,14,0.5799873220787893,0.6216216216216216,1.0,0.3726708074534162,0,23
masking,mask_20_unfreeze_last_3,37,0.5945945945945946,0.4782608695652174,0.3728813559322034,0.46358222629409074,0.7457627118644068,1,14,0.7048683529718958,0.6111111111111112,0.9565217391304348,0.5403726708074534,0,22
masking,mask_30_frozen,37,0.6216216216216216,0.5,0.38333333333333336,0.47657657657657654,0.7666666666666667,0,14,0.580381441925273,0.6216216216216216,1.0,0.43788819875776397,0,23
masking,mask_30_unfreeze_last_1,37,0.6216216216216216,0.5,0.38333333333333336,0.47657657657657654,0.7666666666666667,0,14,0.6101729863061365,0.6216216216216216,1.0,0.4906832298136646,0,23
masking,mask_30_unfreeze_last_2,37,0.6216216216216216,0.5,0.38333333333333336,0.47657657657657654,0.7666666666666667,0,14,0.6262027257777927,0.6216216216216216,1.0,0.5124223602484472,0,23
masking,mask_30_unfreeze_last_3,37,0.6216216216216216,0.5139751552795031,0.4418103448275862,0.5188723205964585,0.7586206896551724,1,13,0.651040951410252,0.6285714285714286,0.9565217391304348,0.577639751552795,1,22
masking,mask_40_frozen,37,0.5405405405405406,0.44875776397515527,0.3980861244019139,0.4693133324712272,0.6909090909090909,4,13,0.6799347365747429,0.59375,0.8260869565217391,0.4937888198757764,1,19
masking,mask_40_unfreeze_last_1,37,0.5405405405405406,0.4627329192546584,0.4348607367475292,0.4943056263810981,0.6792452830188679,5,12,0.7271515891723994,0.6,0.782608695652174,0.5372670807453417,2,18
masking,mask_40_unfreeze_last_2,37,0.5675675675675675,0.484472049689441,0.45185185185185184,0.5131131131131131,0.7037037037037037,4,12,0.7543961076680956,0.6129032258064516,0.8260869565217391,0.5745341614906831,2,19
masking,mask_40_unfreeze_last_3,37,0.5405405405405406,0.4767080745341615,0.46376811594202894,0.5131218174696435,0.6666666666666666,6,11,0.7823953738376981,0.6071428571428571,0.7391304347826086,0.6180124223602484,3,17
