family,model,n_evaluated,accuracy,balanced_accuracy,macro_f1,weighted_f1,f1,fn,fp,pr_auc,precision,recall,roc_auc,tn,tp
classical,logistic_regression,37,0.7837837837837838,0.7562111801242236,0.7628205128205128,0.7799722799722799,0.8333333333333334,3,5,0.8877002136033585,0.8,0.8695652173913043,0.8633540372670807,9,20
classical,svm_rbf,37,0.6486486486486487,0.6335403726708074,0.6314176245210728,0.6508025266645956,0.7111111111111111,7,6,0.794667518727317,0.7272727272727273,0.6956521739130435,0.6739130434782609,8,16
classical,xgboost,37,0.5945945945945946,0.5481366459627329,0.5469387755102041,0.5826806398234969,0.6938775510204082,6,9,0.81145682851037,0.6538461538461539,0.7391304347826086,0.65527950310559,5,17
jigsaw,jigsaw_multibin_frozen,37,0.7027027027027027,0.6630434782608696,0.6677551020408163,0.6939658025372311,0.7755102040816326,4,7,0.8158209760169983,0.7307692307692307,0.8260869565217391,0.7360248447204969,7,19
jigsaw,jigsaw_multibin_unfreeze_last_1,37,0.7027027027027027,0.6630434782608696,0.6677551020408163,0.6939658025372311,0.7755102040816326,4,7,0.8101914962487712,0.7307692307692307,0.8260869565217391,0.7329192546583851,7,19
jigsaw,jigsaw_multibin_unfreeze_last_2,37,0.6756756756756757,0.6413043478260869,0.6442307692307692,0.66995841995842,0.75,5,7,0.8507834471255935,0.72,0.782608695652174,0.7857142857142858,7,18
jigsaw,jigsaw_multibin_unfreeze_last_3,37,0.7567567567567568,0.734472049689441,0.7375886524822695,0.754839946329308,0.8085106382978723,4,5,0.8195496431878208,0.7916666666666666,0.8260869565217391,0.7732919254658385,9,19
joint_ssl,joint_ssl_metabolights_frozen,37,0.7567567567567568,0.7065217391304348,0.7161125319693095,0.7422409621898114,0.8235294117647058,2,7,0.8112146258751513,0.75,0.9130434782608695,0.7577639751552795,7,21
joint_ssl,joint_ssl_metabolights_unfreeze_last_1,37,0.7837837837837838,0.7422360248447204,0.7533333333333333,0.7744144144144144,0.84,2,6,0.8326000086869653,0.7777777777777778,0.9130434782608695,0.7795031055900622,8,21
joint_ssl,joint_ssl_metabolights_unfreeze_last_2,37,0.7297297297297297,0.6987577639751552,0.703525641025641,0.72496534996535,0.7916666666666666,4,6,0.86945713840894,0.76,0.8260869565217391,0.8198757763975155,8,19
joint_ssl,joint_ssl_metabolights_unfreeze_last_3,37,0.7297297297297297,0.6847826086956521,0.6916666666666667,0.7180180180180181,0.8,3,7,0.8654621079266321,0.7407407407407407,0.8695652173913043,0.7919254658385093,7,20
masking,mask_metabolights_frozen,37,0.5675675675675675,0.5263975155279503,0.5256410256410257,0.5599445599445598,0.6666666666666666,7,9,0.5175453151676033,0.64,0.6956521739130435,0.32608695652173914,5,16
masking,mask_metabolights_unfreeze_last_1,37,0.5675675675675675,0.5263975155279503,0.5256410256410257,0.5599445599445598,0.6666666666666666,7,9,0.5354490560360646,0.64,0.6956521739130435,0.3695652173913044,5,16
masking,mask_metabolights_unfreeze_last_2,37,0.5405405405405406,0.5046583850931677,0.504334121355398,0.5369198986220264,0.6382978723404256,8,9,0.5196232583849854,0.625,0.6521739130434783,0.33850931677018636,5,15
masking,mask_metabolights_unfreeze_last_3,37,0.5135135135135135,0.468944099378882,0.46634615384615385,0.5049376299376299,0.625,8,10,0.5220192505938875,0.6,0.6521739130434783,0.3416149068322981,4,15
