family,model,n_evaluated,accuracy,balanced_accuracy,macro_f1,weighted_f1,f1,fn,fp,pr_auc,precision,recall,roc_auc,tn,tp
masking,mask_metabolights_frozen,37,0.5675675675675675,0.5263975155279503,0.5256410256410257,0.5599445599445598,0.6666666666666666,7,9,0.5175453151676033,0.64,0.6956521739130435,0.32608695652173914,5,16
masking,mask_metabolights_unfreeze_last_1,37,0.5945945945945946,0.5760869565217391,0.5747126436781609,0.5970798384591487,0.6666666666666666,8,7,0.5464234118054803,0.6818181818181818,0.6521739130434783,0.3944099378881988,7,15
masking,mask_metabolights_unfreeze_last_2,37,0.5675675675675675,0.5403726708074534,0.5403726708074534,0.5675675675675675,0.6521739130434783,8,8,0.5731888877305488,0.6521739130434783,0.6521739130434783,0.4503105590062112,6,15
masking,mask_metabolights_unfreeze_last_3,37,0.5405405405405406,0.5046583850931677,0.504334121355398,0.5369198986220264,0.6382978723404256,8,9,0.5479105539861594,0.625,0.6521739130434783,0.4006211180124224,5,15
jigsaw,jigsaw_multibin_frozen,37,0.7027027027027027,0.6630434782608696,0.6677551020408163,0.6939658025372311,0.7755102040816326,4,7,0.8203388846311171,0.7307692307692307,0.8260869565217391,0.7484472049689441,7,19
jigsaw,jigsaw_multibin_unfreeze_last_1,37,0.7567567567567568,0.734472049689441,0.7375886524822695,0.754839946329308,0.8085106382978723,4,5,0.8879404057153416,0.7916666666666666,0.8260869565217391,0.8198757763975156,9,19
jigsaw,jigsaw_multibin_unfreeze_last_2,37,0.7837837837837838,0.7701863354037267,0.7701863354037267,0.7837837837837838,0.8260869565217391,4,4,0.8359583155744057,0.8260869565217391,0.8260869565217391,0.7608695652173914,10,19
jigsaw,jigsaw_multibin_unfreeze_last_3,37,0.6216216216216216,0.5698757763975155,0.5683333333333334,0.6052252252252251,0.72,5,9,0.7898126971716007,0.6666666666666666,0.782608695652174,0.673913043478261,5,18
joint_ssl,joint_ssl_metabolights_frozen,37,0.7567567567567568,0.7204968944099379,0.7281632653061225,0.7496083838940982,0.8163265306122449,3,6,0.8110240618165213,0.7692307692307693,0.8695652173913043,0.7608695652173914,8,20
joint_ssl,joint_ssl_metabolights_unfreeze_last_1,37,0.7297297297297297,0.6847826086956521,0.6916666666666667,0.7180180180180181,0.8,3,7,0.800767006646863,0.7407407407407407,0.8695652173913043,0.7701863354037267,7,20
joint_ssl,joint_ssl_metabolights_unfreeze_last_2,37,0.8378378378378378,0.8136645962732919,0.8221153846153846,0.83497920997921,0.875,2,4,0.8049780418223931,0.84,0.9130434782608695,0.7919254658385093,10,21
joint_ssl,joint_ssl_metabolights_unfreeze_last_3,37,0.8378378378378378,0.8136645962732919,0.8221153846153846,0.83497920997921,0.875,2,4,0.8313232257872094,0.84,0.9130434782608695,0.8012422360248447,10,21
