family,model,n_evaluated,accuracy,balanced_accuracy,macro_f1,weighted_f1,f1,fn,fp,pr_auc,precision,recall,roc_auc,tn,tp
classical,logistic_regression,37,0.7027027027027027,0.7049689440993789,0.6946736684171042,0.7067172198455018,0.7441860465116279,7,4,0.9290392691214745,0.8,0.6956521739130435,0.8726708074534162,10,16
classical,svm_rbf,37,0.6486486486486487,0.6335403726708074,0.6314176245210728,0.6508025266645956,0.7111111111111111,7,6,0.8241353329013175,0.7272727272727273,0.6956521739130435,0.6645962732919255,8,16
classical,xgboost,37,0.6216216216216216,0.5698757763975155,0.5683333333333334,0.6052252252252251,0.72,5,9,0.8528443313841364,0.6666666666666666,0.782608695652174,0.7298136645962733,5,18
masking,masking_v3_frozen,37,0.6756756756756757,0.65527950310559,0.65527950310559,0.6756756756756757,0.7391304347826086,6,6,0.8134186311767393,0.7391304347826086,0.7391304347826086,0.7142857142857142,8,17
masking,masking_v3_unfreeze_last_1,37,0.6756756756756757,0.65527950310559,0.65527950310559,0.6756756756756757,0.7391304347826086,6,6,0.8040722891005547,0.7391304347826086,0.7391304347826086,0.6987577639751553,8,17
masking,masking_v3_unfreeze_last_2,37,0.6756756756756757,0.65527950310559,0.65527950310559,0.6756756756756757,0.7391304347826086,6,6,0.8292738884785527,0.7391304347826086,0.7391304347826086,0.7236024844720497,8,17
masking,masking_v3_unfreeze_last_3,37,0.7027027027027027,0.6909937888198758,0.6881226053639846,0.7045252148700424,0.7555555555555555,6,5,0.8170335133612492,0.7727272727272727,0.7391304347826086,0.7204968944099379,9,17
jigsaw,jigsaw_multibin_frozen,37,0.5945945945945946,0.5341614906832298,0.5268542199488491,0.5704016036496856,0.7058823529411765,5,10,0.8777297066346039,0.6428571428571429,0.782608695652174,0.7391304347826088,4,18
jigsaw,jigsaw_multibin_unfreeze_last_1,37,0.6216216216216216,0.5838509316770186,0.5849358974358975,0.6149514899514901,0.7083333333333334,6,8,0.8822057481853007,0.68,0.7391304347826086,0.7515527950310559,6,17
jigsaw,jigsaw_multibin_unfreeze_last_2,37,0.6756756756756757,0.6413043478260869,0.6442307692307692,0.66995841995842,0.75,5,7,0.8739358199672951,0.72,0.782608695652174,0.7577639751552795,7,18
jigsaw,jigsaw_multibin_unfreeze_last_3,37,0.7027027027027027,0.6770186335403727,0.6792750197005516,0.7003599344024876,0.7659574468085106,5,6,0.8688108901127138,0.75,0.782608695652174,0.7701863354037267,8,18
joint_ssl,joint_v3_frozen,37,0.6756756756756757,0.6413043478260869,0.6442307692307692,0.66995841995842,0.75,5,7,0.7837302971248507,0.72,0.782608695652174,0.6894409937888198,7,18
joint_ssl,joint_v3_unfreeze_last_1,37,0.6756756756756757,0.6413043478260869,0.6442307692307692,0.66995841995842,0.75,5,7,0.8142142217878903,0.72,0.782608695652174,0.6987577639751553,7,18
joint_ssl,joint_v3_unfreeze_last_2,37,0.6756756756756757,0.6413043478260869,0.6442307692307692,0.66995841995842,0.75,5,7,0.8251292999251467,0.72,0.782608695652174,0.7173913043478262,7,18
joint_ssl,joint_v3_unfreeze_last_3,37,0.7027027027027027,0.6490683229813664,0.6530264279624893,0.6849611760097694,0.7843137254901961,3,8,0.8113550755557318,0.7142857142857143,0.8695652173913043,0.6925465838509317,6,20
