label_column,approach,model_display,metric,score
cancer_status,classical,logistic_regression,accuracy,0.8521739130434782
cancer_status,jigsaw,bin_512_unfreeze_last_1,accuracy,0.7130434782608696
cancer_status,masking,unfreeze_last_3,accuracy,0.7130434782608696
combined_status,classical,logistic_regression,accuracy,0.5739130434782609
combined_status,jigsaw,multibin_frozen,accuracy,0.5217391304347826
combined_status,masking,unfreeze_last_3,accuracy,0.5739130434782609
diabetes_status,classical,logistic_regression,accuracy,0.782608695652174
diabetes_status,jigsaw,multibin_frozen,accuracy,0.6695652173913044
diabetes_status,masking,unfreeze_last_3,accuracy,0.7217391304347827
cancer_status,classical,logistic_regression,balanced_accuracy,0.8515151515151516
cancer_status,jigsaw,bin_512_frozen,balanced_accuracy,0.7121212121212122
cancer_status,masking,unfreeze_last_3,balanced_accuracy,0.7121212121212122
combined_status,classical,logistic_regression,balanced_accuracy,0.5322614691809737
combined_status,jigsaw,multibin_frozen,balanced_accuracy,0.4492682240360259
combined_status,masking,unfreeze_last_3,balanced_accuracy,0.4820574162679426
diabetes_status,classical,logistic_regression,balanced_accuracy,0.7795454545454545
diabetes_status,jigsaw,multibin_frozen,balanced_accuracy,0.6681818181818182
diabetes_status,masking,unfreeze_last_3,balanced_accuracy,0.7212121212121212
cancer_status,classical,logistic_regression,macro_f1,0.8517704147395557
cancer_status,jigsaw,bin_512_frozen,macro_f1,0.7122602168473728
cancer_status,masking,unfreeze_last_3,macro_f1,0.7122602168473728
combined_status,classical,logistic_regression,macro_f1,0.5316204540888085
combined_status,jigsaw,multibin_frozen,macro_f1,0.4421376951864756
combined_status,masking,unfreeze_last_3,macro_f1,0.452549643339117
diabetes_status,classical,logistic_regression,macro_f1,0.7802155798486354
diabetes_status,jigsaw,multibin_frozen,macro_f1,0.6683363691560413
diabetes_status,masking,unfreeze_last_3,macro_f1,0.7212121212121212
cancer_status,classical,logistic_regression,weighted_f1,0.8521066633261579
cancer_status,jigsaw,bin_512_unfreeze_last_1,weighted_f1,0.7129129346919535
cancer_status,masking,unfreeze_last_3,weighted_f1,0.7129129346919535
combined_status,classical,logistic_regression,weighted_f1,0.577736020476802
combined_status,jigsaw,multibin_frozen,weighted_f1,0.4996611063419123
combined_status,masking,unfreeze_last_3,weighted_f1,0.5249260274431898
diabetes_status,classical,logistic_regression,weighted_f1,0.7812127114334432
diabetes_status,jigsaw,multibin_frozen,weighted_f1,0.6692141178955148
diabetes_status,masking,unfreeze_last_3,weighted_f1,0.7217391304347827
cancer_status,classical,logistic_regression,roc_auc,0.8924242424242425
cancer_status,jigsaw,bin_512_unfreeze_last_1,roc_auc,0.7709090909090909
cancer_status,masking,unfreeze_last_3,roc_auc,0.759090909090909
diabetes_status,classical,logistic_regression,roc_auc,0.8245454545454546
diabetes_status,jigsaw,multibin_frozen,roc_auc,0.703030303030303
diabetes_status,masking,unfreeze_last_3,roc_auc,0.7542424242424244
cancer_status,classical,xgboost,pr_auc,0.8884083644444764
cancer_status,jigsaw,multibin_frozen,pr_auc,0.7639447879907573
cancer_status,masking,unfreeze_last_3,pr_auc,0.6938310109772218
diabetes_status,classical,logistic_regression,pr_auc,0.8358336659066451
diabetes_status,jigsaw,multibin_frozen,pr_auc,0.6041664306694887
diabetes_status,masking,unfreeze_last_3,pr_auc,0.7694076368339592
combined_status,classical,logistic_regression,macro_roc_auc_ovr,0.7822110477158914
combined_status,jigsaw,bin_512_unfreeze_last_2,macro_roc_auc_ovr,0.6993181050781171
combined_status,masking,unfreeze_last_3,macro_roc_auc_ovr,0.6947637443617669
