label_column,metric,comparison,left_approach,left_model,left_score,right_approach,right_model,right_score,delta_left_minus_right
cancer_status,balanced_accuracy,jigsaw_vs_classical,jigsaw,bin_512_frozen,0.7121212121212122,classical,logistic_regression,0.8515151515151516,-0.1393939393939394
diabetes_status,balanced_accuracy,jigsaw_vs_classical,jigsaw,multibin_frozen,0.6681818181818182,classical,logistic_regression,0.7795454545454545,-0.11136363636363633
combined_status,balanced_accuracy,jigsaw_vs_classical,jigsaw,multibin_frozen,0.4492682240360259,classical,logistic_regression,0.5322614691809737,-0.08299324514494782
cancer_status,balanced_accuracy,masking_vs_classical,masking,unfreeze_last_3,0.7121212121212122,classical,logistic_regression,0.8515151515151516,-0.1393939393939394
diabetes_status,balanced_accuracy,masking_vs_classical,masking,unfreeze_last_3,0.7212121212121212,classical,logistic_regression,0.7795454545454545,-0.05833333333333335
combined_status,balanced_accuracy,masking_vs_classical,masking,unfreeze_last_3,0.4820574162679426,classical,logistic_regression,0.5322614691809737,-0.05020405291303115
cancer_status,balanced_accuracy,jigsaw_vs_masking,jigsaw,bin_512_frozen,0.7121212121212122,masking,unfreeze_last_3,0.7121212121212122,0.0
diabetes_status,balanced_accuracy,jigsaw_vs_masking,jigsaw,multibin_frozen,0.6681818181818182,masking,unfreeze_last_3,0.7212121212121212,-0.05303030303030298
combined_status,balanced_accuracy,jigsaw_vs_masking,jigsaw,multibin_frozen,0.4492682240360259,masking,unfreeze_last_3,0.4820574162679426,-0.032789192231916675
cancer_status,weighted_f1,jigsaw_vs_classical,jigsaw,bin_512_unfreeze_last_1,0.7129129346919535,classical,logistic_regression,0.8521066633261579,-0.13919372863420443
diabetes_status,weighted_f1,jigsaw_vs_classical,jigsaw,multibin_frozen,0.6692141178955148,classical,logistic_regression,0.7812127114334432,-0.1119985935379284
combined_status,weighted_f1,jigsaw_vs_classical,jigsaw,multibin_frozen,0.4996611063419123,classical,logistic_regression,0.577736020476802,-0.07807491413488965
cancer_status,weighted_f1,masking_vs_classical,masking,unfreeze_last_3,0.7129129346919535,classical,logistic_regression,0.8521066633261579,-0.13919372863420443
diabetes_status,weighted_f1,masking_vs_classical,masking,unfreeze_last_3,0.7217391304347827,classical,logistic_regression,0.7812127114334432,-0.059473580998660514
combined_status,weighted_f1,masking_vs_classical,masking,unfreeze_last_3,0.5249260274431898,classical,logistic_regression,0.577736020476802,-0.05280999303361211
cancer_status,weighted_f1,jigsaw_vs_masking,jigsaw,bin_512_unfreeze_last_1,0.7129129346919535,masking,unfreeze_last_3,0.7129129346919535,0.0
diabetes_status,weighted_f1,jigsaw_vs_masking,jigsaw,multibin_frozen,0.6692141178955148,masking,unfreeze_last_3,0.7217391304347827,-0.05252501253926789
combined_status,weighted_f1,jigsaw_vs_masking,jigsaw,multibin_frozen,0.4996611063419123,masking,unfreeze_last_3,0.5249260274431898,-0.025264921101277538
