family,model,accuracy,balanced_accuracy,macro_f1,weighted_f1,f1,fn,fp,pr_auc,precision,recall,roc_auc,tn,tp
classical,logistic_regression,0.782608695652174,0.7795454545454545,0.7802155798486354,0.7812127114334432,0.7572815533980582,16,9,0.8358336659066451,0.8125,0.7090909090909091,0.8245454545454546,51,39
classical,svm_rbf,0.6608695652173913,0.6583333333333333,0.6582857142857143,0.6595776397515527,0.6285714285714286,22,17,0.7424404945882371,0.66,0.6,0.7090909090909091,43,33
classical,xgboost,0.6347826086956522,0.6333333333333333,0.6334244080145719,0.6343945513582007,0.6111111111111112,22,20,0.7367395842194837,0.6226415094339622,0.6,0.6990909090909091,40,33
jigsaw,jigsaw_bin_256_frozen,0.4956521739130435,0.4954545454545455,0.4953087167070218,0.4958811453837245,0.48214285714285715,28,30,0.5040509821093779,0.47368421052631576,0.4909090909090909,0.516969696969697,30,27
jigsaw,jigsaw_bin_512_frozen,0.5652173913043478,0.5666666666666667,0.5651845130066546,0.5650201215181883,0.5689655172413793,22,28,0.5018053385686346,0.5409836065573771,0.6,0.5603030303030302,32,33
jigsaw,jigsaw_bin_1024_frozen,0.5739130434782609,0.571969696969697,0.5718410455132589,0.5731360442413852,0.5420560747663551,26,23,0.5600838240525807,0.5576923076923077,0.5272727272727272,0.6039393939393939,37,29
jigsaw,jigsaw_bin_2048_frozen,0.591304347826087,0.5924242424242424,0.591304347826087,0.591304347826087,0.591304347826087,21,26,0.5488972043020879,0.5666666666666667,0.6181818181818182,0.6075757575757575,34,34
jigsaw,jigsaw_multibin_frozen,0.6695652173913044,0.6681818181818182,0.6683363691560413,0.6692141178955148,0.6481481481481481,20,18,0.6041664306694887,0.660377358490566,0.6363636363636364,0.703030303030303,42,35
jigsaw,jigsaw_bin_256_unfreeze_last_1,0.5043478260869565,0.5053030303030303,0.5043478260869565,0.5043478260869565,0.5043478260869565,26,31,0.5484775673811659,0.48333333333333334,0.5272727272727272,0.5442424242424243,29,29
jigsaw,jigsaw_bin_256_unfreeze_last_2,0.4956521739130435,0.49924242424242427,0.4937765634486946,0.4924368416884454,0.5245901639344263,23,35,0.5484459909234012,0.47761194029850745,0.5818181818181818,0.5454545454545455,25,32
jigsaw,jigsaw_bin_256_unfreeze_last_3,0.5130434782608696,0.5166666666666666,0.5112325440194293,0.5099390195612576,0.5409836065573771,22,34,0.5356429551597736,0.4925373134328358,0.6,0.5278787878787878,26,33
jigsaw,jigsaw_bin_512_unfreeze_last_1,0.5565217391304348,0.5568181818181819,0.5563875652371227,0.5567229999704029,0.5486725663716814,24,27,0.524564818977672,0.5344827586206896,0.5636363636363636,0.5757575757575757,33,31
jigsaw,jigsaw_bin_512_unfreeze_last_2,0.5304347826086957,0.531060606060606,0.5303992740471869,0.5305768168547305,0.5263157894736842,25,29,0.5283069866005046,0.5084745762711864,0.5454545454545454,0.5654545454545454,31,30
jigsaw,jigsaw_bin_512_unfreeze_last_3,0.5391304347826087,0.5454545454545454,0.5321974057870904,0.5297213240029767,0.5891472868217055,17,36,0.5421832032992671,0.5135135135135135,0.6909090909090909,0.5778787878787879,24,38
jigsaw,jigsaw_bin_1024_unfreeze_last_1,0.591304347826087,0.5916666666666667,0.5911806973753877,0.591489823502136,0.584070796460177,22,25,0.560635101413175,0.5689655172413793,0.6,0.623030303030303,35,33
jigsaw,jigsaw_bin_1024_unfreeze_last_2,0.5391304347826087,0.5446969696969697,0.5340570292791071,0.5319431103193147,0.5826771653543307,18,35,0.553449568409279,0.5138888888888888,0.6727272727272727,0.5936363636363636,25,37
jigsaw,jigsaw_bin_1024_unfreeze_last_3,0.5478260869565217,0.5522727272727272,0.5450395617772368,0.5434914922331896,0.5806451612903226,19,33,0.5557546289171946,0.5217391304347826,0.6545454545454545,0.5742424242424243,27,36
jigsaw,jigsaw_bin_2048_unfreeze_last_1,0.6,0.6007575757575758,0.5999697519661222,0.6001209921355112,0.5964912280701754,21,25,0.5625654891643073,0.576271186440678,0.6181818181818182,0.6354545454545454,35,34
jigsaw,jigsaw_bin_2048_unfreeze_last_2,0.6260869565217392,0.6295454545454546,0.6250663431647585,0.6242158320339414,0.6446280991735537,16,27,0.5602962136734668,0.5909090909090909,0.7090909090909091,0.6384848484848485,33,39
jigsaw,jigsaw_bin_2048_unfreeze_last_3,0.6086956521739131,0.6098484848484849,0.6086956521739131,0.6086956521739131,0.6086956521739131,20,25,0.5598654252044946,0.5833333333333334,0.6363636363636364,0.6215151515151516,35,35
jigsaw,jigsaw_multibin_unfreeze_last_1,0.6434782608695652,0.6416666666666666,0.6417445482866043,0.6428281186509549,0.616822429906542,22,19,0.6012061558189586,0.6346153846153846,0.6,0.6906060606060606,41,33
jigsaw,jigsaw_multibin_unfreeze_last_2,0.6347826086956522,0.6348484848484848,0.6345338983050848,0.634948415622697,0.625,20,22,0.5959144243887148,0.6140350877192983,0.6363636363636364,0.6784848484848485,38,35
jigsaw,jigsaw_multibin_unfreeze_last_3,0.5826086956521739,0.5856060606060607,0.5818181818181818,0.5810276679841897,0.6,19,29,0.5926892323357928,0.5538461538461539,0.6545454545454545,0.660909090909091,31,36
