approach,model_display,metric,score
classical,logistic_regression,accuracy,1.0
jigsaw,bin_2048_unfreeze_last_2,accuracy,0.9285714285714286
masking,unfreeze_last_3,accuracy,0.8809523809523809
classical,logistic_regression,balanced_accuracy,1.0
jigsaw,bin_2048_unfreeze_last_2,balanced_accuracy,0.9444444444444444
masking,unfreeze_last_3,balanced_accuracy,0.8629629629629629
classical,logistic_regression,weighted_f1,1.0
jigsaw,bin_2048_unfreeze_last_2,weighted_f1,0.9297173414820473
masking,unfreeze_last_3,weighted_f1,0.8799820868786385
classical,logistic_regression,f1,1.0
jigsaw,multibin_frozen,f1,0.9433962264150944
masking,unfreeze_last_3,f1,0.9090909090909092
classical,logistic_regression,roc_auc,1.0
jigsaw,bin_1024_unfreeze_last_1,roc_auc,0.977777777777778
masking,unfreeze_last_3,roc_auc,0.9530864197530864
classical,logistic_regression,pr_auc,1.0
jigsaw,bin_1024_unfreeze_last_1,pr_auc,0.9886461256296052
masking,unfreeze_last_3,pr_auc,0.9772470190988708
