family,model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,source_folder,tag_val
foundation,frozen,0.6428571428571429,0.5,0.6428571428571429,1.0,0.782608695652174,0.491358024691358,0.6948664571460579,0,15,0,27,mtbls326_loocv_results_0.30,0.3
foundation,unfreeze_last_1,0.6190476190476191,0.4814814814814814,0.6341463414634146,0.9629629629629628,0.7647058823529411,0.4617283950617283,0.6662705040172676,0,15,1,26,mtbls326_loocv_results_0.30,0.3
foundation,unfreeze_last_2,0.6428571428571429,0.5,0.6428571428571429,1.0,0.782608695652174,0.5901234567901235,0.7536268514635749,0,15,0,27,mtbls326_loocv_results_0.30,0.3
foundation,unfreeze_last_3,0.6904761904761905,0.5814814814814815,0.6842105263157895,0.9629629629629628,0.8,0.7061728395061728,0.8428723514451064,3,12,1,26,mtbls326_loocv_results_0.30,0.3
classical,logistic_regression,0.9285714285714286,0.9296296296296296,0.9615384615384616,0.925925925925926,0.9433962264150944,0.9901234567901236,0.9943995236587828,14,1,2,25,mtbls326_loocv_results_0.20,0.2
classical,svm_rbf,0.6666666666666666,0.5333333333333333,0.6585365853658537,1.0,0.7941176470588235,0.9629629629629628,0.9867724867724867,1,14,0,27,mtbls326_loocv_results_0.20,0.2
classical,xgboost,0.9047619047619048,0.8814814814814815,0.896551724137931,0.9629629629629628,0.9285714285714286,0.982716049382716,0.9918942511535104,12,3,1,26,mtbls326_loocv_results_0.20,0.2
foundation,frozen,0.6428571428571429,0.5,0.6428571428571429,1.0,0.782608695652174,0.5358024691358025,0.7547372265856378,0,15,0,27,mtbls326_loocv_results_0.20,0.2
foundation,unfreeze_last_1,0.6428571428571429,0.5,0.6428571428571429,1.0,0.782608695652174,0.5382716049382716,0.7629162228989912,0,15,0,27,mtbls326_loocv_results_0.20,0.2
foundation,unfreeze_last_2,0.6428571428571429,0.5,0.6428571428571429,1.0,0.782608695652174,0.582716049382716,0.7914517286096401,0,15,0,27,mtbls326_loocv_results_0.20,0.2
foundation,unfreeze_last_3,0.5952380952380952,0.4777777777777777,0.631578947368421,0.8888888888888888,0.7384615384615385,0.6493827160493827,0.8328310334465143,1,14,3,24,mtbls326_loocv_results_0.20,0.2
classical,logistic_regression,0.9285714285714286,0.9296296296296296,0.9615384615384616,0.925925925925926,0.9433962264150944,0.9901234567901236,0.9943995236587828,14,1,2,25,mtbls326_loocv_results_0.40,0.4
classical,svm_rbf,0.6666666666666666,0.5333333333333333,0.6585365853658537,1.0,0.7941176470588235,0.9629629629629628,0.9867724867724867,1,14,0,27,mtbls326_loocv_results_0.40,0.4
classical,xgboost,0.9047619047619048,0.8814814814814815,0.896551724137931,0.9629629629629628,0.9285714285714286,0.982716049382716,0.9918942511535104,12,3,1,26,mtbls326_loocv_results_0.40,0.4
foundation,frozen,0.7142857142857143,0.6148148148148148,0.7027027027027027,0.9629629629629628,0.8125,0.6641975308641974,0.7950635603402838,4,11,1,26,mtbls326_loocv_results_0.40,0.4
foundation,unfreeze_last_1,0.7142857142857143,0.6148148148148148,0.7027027027027027,0.9629629629629628,0.8125,0.6592592592592592,0.814341484614195,4,11,1,26,mtbls326_loocv_results_0.40,0.4
foundation,unfreeze_last_2,0.6904761904761905,0.5962962962962963,0.6944444444444444,0.925925925925926,0.7936507936507936,0.7012345679012345,0.8382233528913368,4,11,2,25,mtbls326_loocv_results_0.40,0.4
foundation,unfreeze_last_3,0.6904761904761905,0.611111111111111,0.7058823529411765,0.8888888888888888,0.7868852459016393,0.8395061728395062,0.9213919331294058,5,10,3,24,mtbls326_loocv_results_0.40,0.4
foundation,frozen,0.6190476190476191,0.4814814814814814,0.6341463414634146,0.9629629629629628,0.7647058823529411,0.5604938271604939,0.7547326349517891,0,15,1,26,mtbls326_loocv_results_0.50,0.5
foundation,unfreeze_last_1,0.6190476190476191,0.4814814814814814,0.6341463414634146,0.9629629629629628,0.7647058823529411,0.5580246913580247,0.776841201079679,0,15,1,26,mtbls326_loocv_results_0.50,0.5
foundation,unfreeze_last_2,0.6190476190476191,0.4814814814814814,0.6341463414634146,0.9629629629629628,0.7647058823529411,0.6024691358024691,0.7936887849022838,0,15,1,26,mtbls326_loocv_results_0.50,0.5
foundation,unfreeze_last_3,0.5952380952380952,0.4925925925925926,0.6388888888888888,0.8518518518518519,0.7301587301587301,0.6790123456790124,0.8358889626262094,2,13,4,23,mtbls326_loocv_results_0.50,0.5
