family,model,n_evaluated,accuracy,balanced_accuracy,macro_f1,weighted_f1,confusion_matrix,macro_precision,macro_recall,macro_roc_auc_ovr
classical,logistic_regression,113,0.7168141592920354,0.6695025404702823,0.672502080024204,0.7156191577759438,"[[14, 3, 9], [2, 48, 6], [6, 6, 19]]",0.6790974763110986,0.6695025404702823,0.815453393063696
classical,svm_rbf,113,0.6194690265486725,0.5697595415337351,0.5563202878992354,0.6089200195860652,"[[16, 4, 6], [5, 45, 6], [13, 9, 9]]",0.5583405776103545,0.5697595415337351,0.7512426599179317
classical,xgboost,113,0.6548672566371682,0.5811621174524401,0.5843915134462464,0.6409064742594706,"[[10, 6, 10], [4, 49, 3], [6, 10, 15]]",0.5965201465201465,0.5811621174524401,0.7565759572865957
masking,frozen,113,0.6017699115044248,0.5008419000354484,0.49589490968801314,0.5724748245346354,"[[7, 6, 13], [1, 51, 4], [8, 13, 10]]",0.5121472663139329,0.5008419000354484,0.721405561136199
masking,unfreeze_last_1,113,0.6283185840707964,0.5393034384969869,0.5383093647870117,0.6072616389273185,"[[10, 4, 12], [1, 51, 4], [9, 12, 10]]",0.548603138155377,0.5393034384969869,0.7213648977668621
masking,unfreeze_last_2,113,0.6194690265486725,0.5381513647642681,0.5382585052329696,0.60187919137445,"[[10, 5, 11], [3, 49, 4], [8, 12, 11]]",0.5472305472305472,0.5381513647642681,0.7151885932479045
masking,unfreeze_last_3,113,0.6460176991150443,0.565609122060735,0.5685761455315702,0.6281465713650118,"[[10, 5, 11], [3, 50, 3], [6, 12, 13]]",0.5846886425571945,0.565609122060735,0.7331192648759521
jigsaw,frozen,113,0.5663716814159292,0.4962336051045729,0.4959793667425121,0.551033355501166,"[[7, 10, 9], [5, 43, 8], [5, 12, 14]]",0.508305356882207,0.4962336051045729,0.7036291535394447
jigsaw,unfreeze_last_1,113,0.5663716814159292,0.5079020441923667,0.5091005392912172,0.5566464574498547,"[[8, 10, 8], [5, 41, 10], [5, 11, 15]]",0.5200934071901814,0.5079020441923667,0.7084021437899874
jigsaw,unfreeze_last_2,113,0.5663716814159292,0.5031017369727048,0.5046543870073282,0.5554135840445055,"[[8, 9, 9], [5, 42, 9], [5, 12, 14]]",0.5162037037037037,0.5031017369727048,0.7043542185248631
jigsaw,unfreeze_last_3,113,0.5929203539823009,0.5401601087084957,0.539086899127467,0.5832100310371325,"[[8, 9, 9], [5, 41, 10], [3, 10, 18]]",0.5566066066066067,0.5401601087084957,0.6850910905937102
joint_ssl,frozen,113,0.6017699115044248,0.533114734727638,0.533036844979804,0.5878214893879083,"[[11, 8, 7], [5, 46, 5], [9, 11, 11]]",0.5419843924191751,0.533114734727638,0.687086183899074
joint_ssl,unfreeze_last_1,113,0.6017699115044248,0.5379150419473001,0.5395238095238095,0.5904930467762325,"[[11, 8, 7], [5, 45, 6], [8, 11, 12]]",0.5471527777777777,0.5379150419473001,0.690172590164344
joint_ssl,unfreeze_last_2,113,0.5486725663716814,0.4884644924967505,0.4889655172413792,0.542886786695148,"[[9, 8, 9], [7, 41, 8], [8, 11, 12]]",0.49070881226053636,0.4884644924967505,0.6769749175321049
joint_ssl,unfreeze_last_3,113,0.5309734513274337,0.46282346685572495,0.4623262487669268,0.5204749286345207,"[[7, 8, 11], [6, 41, 9], [6, 13, 12]]",0.46823712507074133,0.46282346685572495,0.6689143164052527
