family,model,n_evaluated,accuracy,balanced_accuracy,macro_f1,weighted_f1,confusion_matrix,macro_precision,macro_recall,macro_roc_auc_ovr
masking,frozen,113,0.5752212389380531,0.5083894600023632,0.5093224703844172,0.5737700557028617,"[[10, 3, 13], [4, 44, 8], [10, 10, 11]]",0.51078216374269,0.5083894600023632,0.708652850164564
masking,unfreeze_last_1,113,0.6017699115044248,0.5351825593761077,0.5320992773822962,0.5918513408077609,"[[12, 4, 10], [5, 46, 5], [10, 11, 10]]",0.5328476017000607,0.5351825593761077,0.7157286198963159
masking,unfreeze_last_2,113,0.6106194690265486,0.5411349403284887,0.5371416614354466,0.5986478453855085,"[[12, 5, 9], [5, 47, 4], [11, 10, 10]]",0.5404728511320377,0.5411349403284887,0.7299577275743562
masking,unfreeze_last_3,113,0.6017699115044248,0.5091131986293277,0.49239161642262413,0.5621488951392224,"[[11, 9, 6], [5, 51, 0], [12, 13, 6]]",0.5304957599478147,0.5091131986293277,0.7259389551711571
jigsaw,frozen,113,0.5663716814159292,0.505834219543897,0.5037814037814038,0.555594061788752,"[[7, 10, 9], [6, 41, 9], [5, 10, 16]]",0.5105360905746634,0.505834219543897,0.7027054799965365
jigsaw,unfreeze_last_1,113,0.5663716814159292,0.5264386151482926,0.5271802435519249,0.564235297425054,"[[10, 9, 7], [7, 38, 11], [5, 10, 16]]",0.5306001188354129,0.5264386151482926,0.7179550498610615
jigsaw,unfreeze_last_2,113,0.5486725663716814,0.5001329315845445,0.501530612244898,0.5487809283005237,"[[10, 6, 10], [6, 39, 11], [7, 11, 13]]",0.504521373766898,0.5001329315845445,0.6586378458380726
jigsaw,unfreeze_last_3,113,0.5398230088495575,0.4763086375989602,0.47215238494308265,0.5356888582346496,"[[6, 6, 14], [4, 40, 12], [7, 9, 15]]",0.48202252075996704,0.4763086375989602,0.6544412402797343
joint_ssl,frozen,113,0.5752212389380531,0.5200578990901571,0.5199730094466936,0.5722403353516534,"[[11, 6, 9], [6, 42, 8], [9, 10, 12]]",0.5203359858532272,0.5200578990901571,0.6733922363587189
joint_ssl,unfreeze_last_1,113,0.5309734513274337,0.48069537988892824,0.47939232514550656,0.5351627831452465,"[[11, 3, 12], [8, 39, 9], [10, 11, 10]]",0.47924668219755,0.48069537988892824,0.6589186548396325
joint_ssl,unfreeze_last_2,113,0.49557522123893805,0.434213635826539,0.4354226020892687,0.5021304490331039,"[[7, 5, 14], [8, 38, 10], [11, 9, 11]]",0.4380952380952381,0.434213635826539,0.6444840812480795
joint_ssl,unfreeze_last_3,113,0.48672566371681414,0.41386033321517196,0.41353383458646614,0.487501940692439,"[[7, 6, 13], [11, 40, 5], [13, 10, 8]]",0.4159281578636418,0.41386033321517196,0.6271260240195558
