family,model,n_evaluated,accuracy,balanced_accuracy,macro_f1,weighted_f1,confusion_matrix,macro_precision,macro_recall,macro_roc_auc_ovr
classical,logistic_regression,113,0.7522123893805309,0.7207845917523336,0.7207120461586983,0.7510524949624953,"[[18, 3, 5], [3, 48, 5], [6, 6, 19]]",0.7213147812058883,0.7207845917523336,0.8218673692054826
classical,svm_rbf,113,0.5132743362831859,0.4365177832919768,0.4385034123418261,0.5201251780613638,"[[7, 4, 15], [7, 42, 7], [15, 7, 9]]",0.4413849070595561,0.4365177832919768,0.7655159780915327
classical,xgboost,113,0.6017699115044248,0.5523159636062862,0.5565494764579433,0.5999013238437308,"[[11, 6, 9], [3, 42, 11], [6, 10, 15]]",0.5675697865353039,0.5523159636062862,0.7647732378432658
masking,frozen,113,0.584070796460177,0.5301459293394777,0.5262056019456081,0.5805312680519608,"[[13, 5, 8], [4, 43, 9], [12, 9, 10]]",0.5243440657838722,0.5301459293394777,0.6949911102949495
masking,unfreeze_last_1,113,0.5929203539823009,0.5312980030721967,0.5262573739585233,0.5834608857953382,"[[13, 5, 8], [3, 45, 8], [12, 10, 9]]",0.5247619047619048,0.5312980030721967,0.7084341520492942
masking,unfreeze_last_2,113,0.584070796460177,0.5074737090866123,0.5070353749187634,0.5765056759333097,"[[9, 5, 12], [3, 46, 7], [11, 9, 11]]",0.5082125603864734,0.5074737090866123,0.7288346859670224
masking,unfreeze_last_3,113,0.6106194690265486,0.5582683445586671,0.5602897673793196,0.6122535492830037,"[[11, 3, 12], [4, 43, 9], [7, 9, 15]]",0.5661616161616162,0.5582683445586671,0.7619909640895375
jigsaw,frozen,113,0.5929203539823009,0.5504992319508449,0.5512404814541881,0.5893048825819579,"[[13, 7, 6], [6, 41, 9], [7, 11, 13]]",0.5530669895076675,0.5504992319508449,0.7284256761175203
jigsaw,unfreeze_last_1,113,0.5752212389380531,0.5296585135294812,0.5320815563251949,0.5719468241317305,"[[11, 8, 7], [6, 40, 10], [6, 11, 14]]",0.5359466248286463,0.5296585135294812,0.725096730411079
jigsaw,unfreeze_last_2,113,0.5398230088495575,0.48731241876403164,0.48785512167515566,0.5369538891476479,"[[9, 9, 8], [7, 39, 10], [8, 10, 13]]",0.48892287727104194,0.48731241876403164,0.721925562517948
jigsaw,unfreeze_last_3,113,0.5663716814159292,0.5189058253574382,0.5198023543638871,0.5629870680379024,"[[11, 8, 7], [8, 40, 8], [7, 11, 13]]",0.5217762463525175,0.5189058253574382,0.7272703263709531
joint_ssl,frozen,113,0.5398230088495575,0.49144806806097135,0.49087858400092116,0.541095612226018,"[[11, 6, 9], [6, 39, 11], [10, 10, 11]]",0.490445675391912,0.49144806806097135,0.7168496488647533
joint_ssl,unfreeze_last_1,113,0.5486725663716814,0.4884644924967505,0.48879833993586114,0.5454929358795219,"[[9, 7, 10], [6, 41, 9], [9, 10, 12]]",0.48966444197256215,0.4884644924967505,0.7121715108964884
joint_ssl,unfreeze_last_2,113,0.5398230088495575,0.494845208554886,0.4927536231884058,0.537642683083237,"[[8, 8, 10], [7, 37, 12], [5, 10, 16]]",0.49792663476874005,0.494845208554886,0.7106091441071399
joint_ssl,unfreeze_last_3,113,0.5486725663716814,0.5001329315845445,0.5001329315845445,0.5486725663716814,"[[10, 7, 9], [8, 39, 9], [8, 10, 13]]",0.5001329315845445,0.5001329315845445,0.7259373555209678
