row_index,status,peak_index,peak_value,baseline,noise_sd,prominence,prominence_snr,dominance_ratio,left_index,right_index,suppression_width,cutoff
0,skipped_low_snr,72900,0.07584213518230312,0.012878082182711841,0.03432742711578991,0.06009779576075859,1.7507224050914914,1.1296048188988752,,,,
1,skipped_low_snr,72884,0.05085514030332316,0.027939827321999913,0.008070119512229704,0.029542605646556294,3.6607395468910386,1.2290643488150352,,,,
2,skipped_low_snr,72892,0.04343654454006034,0.029940888254165965,0.009515641407472417,0.025358961014670205,2.6649765295649317,1.2864876775951009,,,,
3,suppressed,72543,0.8887716925799891,0.017136300974923507,0.006021906342573767,0.8766647161306946,145.57926780309364,11.26179030212623,72478,72608,130,0.06531155171551364
4,suppressed,72514,1.0,0.01648499256949977,0.006155794701497915,0.9894010313529029,160.7267752305235,12.949402838637335,72459,72573,114,0.0657313501814831
5,skipped_low_snr,73169,1.0,0.03351527675165834,0.02851307217481726,0.9871025997949099,34.6193000088822,4.16893732162548,,,,
6,suppressed,72536,1.0,0.014603143268479408,0.004192965047376507,0.9901638958706828,236.14885520932677,11.294672893045728,72471,72602,131,0.04814686364749146
7,suppressed,72593,1.0,0.013497071746594131,0.005376917290370782,0.9936491262559557,184.7990349480409,7.751660402600298,72534,72660,126,0.05651241006956039
8,suppressed,72574,1.0,0.012834134289352452,0.0033294190192987723,0.9932210870641864,298.3166376196692,16.291208619053464,72503,72654,151,0.03946948644374263
9,suppressed,72514,1.0,0.01525971485933321,0.006722567504635353,0.9902031272942828,147.2953788283296,15.735261853304847,72460,72581,121,0.06904025489641603
10,suppressed,72520,1.0,0.015887398121764477,0.004329406684372056,0.9948099578341115,229.779743590524,12.358379353440656,72463,72610,147,0.05052265159674092
11,suppressed,72534,1.0,0.010793765827133416,0.003253419599450107,0.9950202319730078,305.8382731023032,16.98039020489407,72470,72625,155,0.03682112262273427
12,suppressed,72512,0.7966480828981986,0.01478100405075852,0.0061418363177050996,0.786374599629847,128.03574679497098,18.1597959419093,72462,72565,103,0.06391569459239932
13,suppressed,72556,1.0,0.009908629822962804,0.0033787502050170296,0.9966888792669176,294.9874417430909,13.574306649445777,72497,72638,141,0.036938631463099045
14,suppressed,72540,1.0,0.01888866259607612,0.005182023366182737,0.9890417118675014,190.86014129574735,15.331972260362983,72480,72605,125,0.060344849525538015
15,suppressed,72541,1.0,0.009518021564725133,0.002600643304437717,0.9929816236984497,381.821537003569,19.591764272661415,72464,72615,151,0.030323168000226868
16,suppressed,72524,1.0,0.014331906971044153,0.004189794938367076,0.9901129068133465,236.3153618203643,20.236897400209983,72456,72593,137,0.04785026647798076
17,suppressed,72592,1.0,0.011165715110950901,0.0026233858898759128,0.9950499316944009,379.2998717933438,16.789869772672432,72523,72684,161,0.0321528022299582
18,suppressed,72595,0.9204516763696281,0.01249996276059858,0.0048024305621646845,0.9143299663826898,190.38900293241466,6.806249679690249,72537,72660,123,0.050919407257916056
19,suppressed,72518,0.9426490702878353,0.02020096908253662,0.006526364423618781,0.93101647664144,142.65468738952273,5.837292772226555,72462,72576,114,0.07241188447148687
20,suppressed,72592,1.0,0.011816507519798274,0.004894545466596639,0.9918646440842397,202.6469364424804,12.561080250896392,72532,72655,123,0.05097287125257138
21,suppressed,72660,1.0,0.010371620276226012,0.004334368772128276,0.995667606294865,229.7145579068873,14.474992289495985,72597,72734,137,0.04504657045325222
22,suppressed,72605,1.0,0.014109455427603881,0.005154728960208659,0.9917649439778069,192.39904787111467,19.12114861823064,72546,72674,128,0.055347287109273155
23,suppressed,72544,0.9468683775704286,0.016769912660127,0.004307726664922162,0.9386147430387172,217.89097035377415,9.24942663293757,72484,72613,129,0.051231725979504296
24,suppressed,72615,0.7867834946904071,0.008199330831549048,0.0028166126716965,0.7818801073553885,277.59589211975214,18.133717381906,72542,72694,152,0.03073223220512105
25,suppressed,72561,1.0,0.008438836341868093,0.0027077291363884334,0.9947453276510106,367.3725389600088,25.782169777374946,72488,72653,165,0.03010066943297556
26,suppressed,72561,1.0,0.011046473826513744,0.003857680582183197,0.9927112610282782,257.3337112494856,15.491435400254495,72498,72630,132,0.04190791848397932
27,suppressed,72566,0.9811134777047713,0.011768570136002033,0.0035696244774274574,0.9730967799546532,272.6048037007917,15.434790610965202,72493,72642,149,0.040325565955421694
28,suppressed,72551,0.8460402058436916,0.01448473887867482,0.004883922231608727,0.838012229543476,171.58590776074686,13.716086256403075,72495,72612,117,0.05355611673154463
29,suppressed,72511,1.0,0.010446176980026974,0.003243710273812353,0.9942317164151763,306.51064136090355,14.58915948396688,72441,72591,150,0.0363958591705258
