name,frac_spectra_nonzero,mean_abs_coef_share
L-proline,0.8,0.13578607548850208
taurine,1.0,0.13063525001600793
glycerol,1.0,0.09472986187796055
L-lysine,0.975,0.0863887598453625
2-hydroxybutyrate,0.65,0.06530312460686345
L-alanine,1.0,0.0647958701544316
L-tyrosine,0.925,0.057021072926899334
glucose,0.9,0.05405217109212388
L-citrulline,1.0,0.03812320904222294
L-aspartate,0.925,0.032717703743592015
L-valine,1.0,0.026718050454039112
myo-inositol,1.0,0.025648866796427375
sarcosine,0.975,0.02498828434881591
L-tryptophan,0.775,0.024508309223298497
L-glutamate,0.8,0.024344995757031127
L-threonine,1.0,0.017593784634148745
L-serine,0.625,0.017290061961221258
betaine,0.6,0.013736480765738565
L-carnitine,1.0,0.009518109426254244
L-leucine,0.95,0.009236109331976355
L-isoleucine,1.0,0.007895549220327277
trimethylamine,1.0,0.007490071075290685
dimethylglycine,0.975,0.006373052506182138
L-methionine,0.725,0.004191450059016807
citrate,0.75,0.004052370273604532
glutathione,0.575,0.0040472897855434445
L-lactate,0.875,0.0018949908786193978
L-ornithine,0.85,0.0016603603775293583
creatine,0.975,0.0015286147061516874
TMAO,0.575,0.001242683765391746
acetate,0.95,0.0012123079724213354
choline,0.95,0.0011717320856741182
glycine,0.95,0.0011482134820655408
formate,1.0,0.0006171146359739991
L-phenylalanine,0.825,0.0004989985915491392
L-glutamine,0.65,0.0004922820472740434
pyruvate,0.8,0.0004453283422283914
3-hydroxybutyrate,0.85,0.00038804084356674974
succinate,0.95,0.00031671170758575535
creatinine,0.975,0.00017472372383388712
L-asparagine,0.55,1.9870657870726226e-05
L-arginine,0.675,1.6125900035617295e-06
L-histidine,0.875,4.791793781820541e-07
