name,frac_spectra_nonzero,mean_abs_coef_share
L-proline,0.7833333333333333,0.14175398814518214
taurine,1.0,0.13010736555774577
glycerol,0.9833333333333333,0.09740479822687086
L-lysine,0.9833333333333333,0.09391363247470684
glucose,0.85,0.07781143810459035
L-tyrosine,0.9166666666666666,0.0717512447370709
L-alanine,0.9666666666666667,0.06748704636284261
2-hydroxybutyrate,0.75,0.05148426446238415
myo-inositol,1.0,0.030788502867602124
L-citrulline,0.9333333333333333,0.028467061255964588
L-valine,0.9833333333333333,0.024571458444286095
L-aspartate,0.9166666666666666,0.022326006308660246
L-threonine,1.0,0.020924004283095425
L-serine,0.7,0.0206276997258106
sarcosine,1.0,0.019498158425610645
L-glutamate,0.6666666666666666,0.016792811962205605
L-asparagine,0.65,0.0104460747205692
L-leucine,0.9,0.009619293930148171
L-carnitine,0.9666666666666667,0.009269900294470616
L-isoleucine,0.9666666666666667,0.008386748693984054
L-ornithine,0.8833333333333333,0.007899664193931462
dimethylglycine,0.9666666666666667,0.006121320888649458
citrate,0.8,0.004775285406236139
L-tryptophan,0.7333333333333333,0.004482139700894028
glutathione,0.5333333333333333,0.004183101156279795
L-methionine,0.7833333333333333,0.002524688970613037
creatine,0.9666666666666667,0.0024363229847574643
3-hydroxybutyrate,0.8833333333333333,0.002238852609519939
choline,0.9666666666666667,0.0019456650153303362
trimethylamine,0.9833333333333333,0.001507220046127676
glycine,0.9,0.0014867192966372196
L-lactate,0.8666666666666667,0.0013365483993346824
acetate,0.9333333333333333,0.0009965471762472641
betaine,0.5,0.0009676017803455644
L-histidine,0.85,0.0007744608322799178
creatinine,0.9333333333333333,0.0006966596060322397
L-glutamine,0.7,0.0006154932240480462
formate,1.0,0.000466180464252993
TMAO,0.5,0.0004514117987648894
pyruvate,0.8,0.00021964746962450205
L-arginine,0.6666666666666666,0.00021851766898898972
succinate,0.9333333333333333,0.00019985636720221218
L-phenylalanine,0.8,2.459596010118059e-05
