row,r2_full,r2_metabolites_only,r2_envelope_only,n_metabolites_used,r2_unconstrained_upper_bound,metabolite_signal_frac
118,0.5919981700217363,0.29040177111029764,0.5325280315705194,37,0.6445220906037445,0.0540026576140203
216,0.5839613137266728,0.39860758812215913,0.46324546673293066,42,0.6253041546801568,0.15663221611890804
299,0.6060467376871939,0.42140847916627155,0.5017563926933066,40,0.6384711792500982,0.15040605316530173
486,0.6347059147373868,0.4230696683256622,0.5118724099768582,41,0.6632580091570686,0.15907593143887916
583,0.7163003492515321,0.3557820344590189,0.665160357216728,34,0.7606452557070148,0.12178297851803047
681,0.49583258713631684,0.41629541305216755,0.3760796140729179,41,0.5124496388512928,0.23979500586574837
756,0.6982686555369162,0.2777642200181252,0.6634685981641013,32,0.7572402174033844,0.1485747756638458
842,0.6405515443577366,0.45763627115446326,0.5196565719854858,41,0.6629047883472441,0.2127264252994188
1158,0.4474890817750109,0.34129797764293535,0.37804362475448683,36,0.48781662931069303,0.2499269599949989
1212,0.40806128797594876,0.2632446138936181,0.347847167468597,40,0.43893186759911074,0.25088601412333444
1296,0.5623170985366746,0.3873183727839581,0.4654567381069751,43,0.601421487213853,0.1799931578338242
1622,0.7226737285842448,0.4974675351974349,0.4999857931607552,42,0.7545863651517993,0.2716990096465995
2064,0.2896688202313137,0.21698715285916903,0.21040355728243887,29,0.33319697407403004,0.1810217299135717
2072,0.5999514758444902,0.503095697249662,0.3393374551353435,42,0.6375983371918226,0.306273748283392
2794,0.22383443650344492,0.14020228390486156,0.2082261763112001,34,0.29640402396513,0.13310633291828175
2890,0.4373039578778348,0.36462750868927807,0.29515810700974643,42,0.5248243984700427,0.4570648439493918
2960,0.26398568004351197,0.18787630263141752,0.2329065605825419,29,0.3426489506864716,0.17101323666361995
3159,0.3251453063013412,0.17657982613353207,0.31513340494923403,28,0.4018796745071255,0.10575729066939858
3220,0.2445352159944505,0.15133958669126146,0.22733221276432602,33,0.32304045942036796,0.1478804532009654
3866,0.4128125284810449,0.3463969430418684,0.21904050917575957,40,0.4394240947634447,0.36113782651077964
3900,0.27117624198853274,0.20163829110552312,0.24491818230118645,40,0.3932541458917145,0.21318775672286788
3980,0.5030438999802642,0.32727962436873215,0.40764870049448165,37,0.5453550445081758,0.1565150690648702
4065,0.2268351029437653,0.15959385812154248,0.20338013176421077,41,0.30658777660250225,0.17125212159792425
4235,0.3472947428530182,0.26020648347493747,0.2665374231949682,28,0.40166854539953534,0.19477264002328784
4574,0.46207745267466516,0.29006687747546966,0.4196462948126698,41,0.4904801953125738,0.16210133140230384
4742,0.37022098213101917,0.20085622500760758,0.3569815641722671,40,0.43174093755749343,0.10227304805539024
4926,0.4326552534443605,0.33703290012982634,0.32206179592555284,33,0.49281110788945914,0.2149787357874492
4988,0.4767553664737141,0.3822541911488544,0.3285199501805228,41,0.5083235282245718,0.30081218654648584
5137,0.26298382364119277,0.15127424555632052,0.25200688634965596,40,0.3416622684749586,0.12406015517707329
5269,0.3956712117216672,0.29814880942783173,0.2845548826952544,40,0.4340857781421462,0.20034957568397052
