name,frac_spectra_nonzero,mean_abs_coef_share
choline,0.9,0.18203047436971198
L-aspartate,0.9,0.11213976556698832
L-threonine,1.0,0.08537644660202644
L-citrulline,0.9,0.08097266969904243
L-methionine,0.7,0.06752285082213409
glucose,0.55,0.05805021318795876
L-tryptophan,1.0,0.05139110436477004
taurine,0.8166666666666667,0.04754461849843574
glycerol,0.9833333333333333,0.03468206818313433
L-asparagine,0.9833333333333333,0.033715492086737436
betaine,0.75,0.03308067005854189
L-lactate,0.9833333333333333,0.02929272322109038
L-arginine,0.65,0.025243364035900336
L-serine,0.85,0.018645360783220405
L-proline,0.75,0.017334374230805232
sarcosine,0.9166666666666666,0.012869960229025333
TMAO,0.7333333333333333,0.01284208230748006
L-tyrosine,0.9666666666666667,0.010509552195208908
trimethylamine,1.0,0.008974333934533334
L-carnitine,0.5,0.008959080101193237
L-isoleucine,0.75,0.008276359153218699
citrate,0.9,0.007580211941661457
L-histidine,0.7333333333333333,0.006860140425800022
L-ornithine,0.95,0.006592384834393457
myo-inositol,0.8,0.00651644489694331
L-phenylalanine,0.95,0.0053062962820057315
glycine,0.9833333333333333,0.004925713198940139
2-hydroxybutyrate,0.9333333333333333,0.004877133430261864
3-hydroxybutyrate,1.0,0.0043421217445292915
L-alanine,0.8333333333333334,0.003237043048995838
glutathione,0.4166666666666667,0.002135828669570769
dimethylglycine,0.9666666666666667,0.0021056562689984308
succinate,1.0,0.001878154804252815
pyruvate,1.0,0.0015049953457481422
formate,1.0,0.0008364907455128997
L-valine,0.85,0.000499565201120353
acetate,0.9,0.0004398296954353408
L-leucine,0.6333333333333333,0.0004216608139435066
creatine,0.9833333333333333,0.00023549982662239688
creatinine,0.9666666666666667,0.00017839969040259792
L-glutamate,0.6833333333333333,3.8983579526514657e-05
L-lysine,0.9,3.387834673424833e-05
L-glutamine,0.38333333333333336,3.577443493116843e-09
