name,frac_spectra_nonzero,mean_abs_coef_share
betaine,1.0,0.10782217546827846
L-threonine,0.9833333333333333,0.10296847373333784
taurine,1.0,0.0947302652242509
L-methionine,0.95,0.09295465784651565
myo-inositol,1.0,0.08831172475273852
L-asparagine,0.9666666666666667,0.07398687982818813
L-citrulline,1.0,0.0607873923653112
choline,0.7833333333333333,0.05826343442914772
L-lactate,1.0,0.05450883184046641
L-carnitine,0.8166666666666667,0.046571167808675734
L-phenylalanine,1.0,0.038288095690335346
glycerol,0.9833333333333333,0.03671061836266745
glucose,0.7833333333333333,0.03604251871965547
L-tyrosine,0.9833333333333333,0.01960269487516308
L-tryptophan,0.9,0.01405816364243616
L-glutamine,0.7666666666666667,0.01249560146216646
L-isoleucine,1.0,0.01233242653763269
citrate,0.8333333333333334,0.007251855972449178
L-proline,0.3333333333333333,0.0067200076552571195
2-hydroxybutyrate,0.8666666666666667,0.004169489232285023
L-histidine,0.5666666666666667,0.0037172909972574618
L-aspartate,0.95,0.003673682453221239
TMAO,0.5333333333333333,0.003073636767839657
L-arginine,0.6666666666666666,0.0030592603276852356
trimethylamine,0.9833333333333333,0.0025649938122434446
pyruvate,1.0,0.0022388007239008954
L-lysine,0.9,0.00188424469489613
L-ornithine,0.95,0.0013710349337837727
3-hydroxybutyrate,0.8833333333333333,0.0012901019965456256
L-leucine,1.0,0.0012277088679071605
L-glutamate,0.7666666666666667,0.0010451762995229174
acetate,0.8,0.0009203867689378606
L-alanine,0.8,0.0009085498762130003
L-serine,0.35,0.0008862937086908496
sarcosine,0.6666666666666666,0.0008368125463847931
creatine,0.9666666666666667,0.0006395189704126996
formate,1.0,0.0005732531565333538
L-valine,0.65,0.00046231229567485107
succinate,0.9833333333333333,0.00037816291545522516
glutathione,0.6333333333333333,0.00027796603535982064
dimethylglycine,0.75,0.00023644086266167038
creatinine,0.9666666666666667,0.00015047523832779653
glycine,0.8666666666666667,7.420303585783846e-06
