row,r2_full,r2_metabolites_only,r2_envelope_only,n_metabolites_used,r2_unconstrained_upper_bound,metabolite_signal_frac
26,0.0629245986123198,0.053375102603004265,0.045971552267164095,41,0.10047476974835534,0.10682367604594006
51,0.2286257030831439,0.20474741573181,0.13446267173747561,36,0.32897142476865215,0.18476624331815342
79,0.6000404827788557,0.5765607625816519,0.08710927713662064,34,0.6556244085223921,0.29774435866138926
158,0.570481305856082,0.5430782611882181,0.09013733800581747,35,0.6272940247008151,0.2617002267515111
213,0.5462053691562946,0.5283908916790458,0.07507562223468967,41,0.5907229556162406,0.3724959408132962
273,0.4516859716544215,0.2794073718104765,0.37854553738668184,40,0.5309373761673788,0.09491662476314262
323,0.26140369631193827,0.24185760725753636,0.05675296065074764,39,0.2897162859354855,0.25762002386185356
394,0.6002657224292378,0.5808601624140906,0.07182521892350913,39,0.6508453116866495,0.3166922637080023
723,0.5106748795417245,0.24918406963296502,0.4669795364271119,39,0.5617863447533542,0.24066423812193768
775,0.3478097074726356,0.14643647677647598,0.3408470079492385,40,0.43979645167720294,0.09147667916560594
860,0.3485054948302798,0.13556852641604833,0.3426829305130079,36,0.4320039700075461,0.08367828060229966
1199,0.17759955386128745,0.15920244382642612,0.11493767802307675,38,0.2452954298440544,0.21984653857883596
1685,0.3726777870885297,0.18642395287748192,0.34816619140946925,40,0.4359539260012446,0.16076840194709793
1693,0.6416252208302016,0.2674922204800878,0.6237565033271246,40,0.7027756761939069,0.1565187050599443
2485,0.3369072599796744,0.1566478508342286,0.31654362754061804,33,0.41034905325741666,0.198174784620673
2593,0.369622751953932,0.15970624681581458,0.3532746929897984,40,0.43219199904088235,0.15507986949127125
2671,0.31775120648040645,0.13636705781895675,0.3051462072842833,35,0.37831697979655665,0.15350832760491745
2891,0.4527732989345319,0.19600241895804393,0.43715887045762813,40,0.5156350841757006,0.15069622116164325
2959,0.33593594863655185,0.16468159304891716,0.31178263541116336,41,0.3946850720341307,0.2021965923707702
3668,0.49188300730072543,0.2581525381727928,0.4516493321231231,36,0.5517271489279422,0.18385385274915772
3707,0.25180107101699156,0.11642406541644734,0.23531358898573773,40,0.3085319370148143,0.18491833894554688
3797,0.21308890185845786,0.11430047193353288,0.18313694839424732,41,0.2772208923782844,0.2469496290008395
3891,0.31475935605655925,0.19045235497607782,0.25714183390716694,40,0.3828252628008634,0.2782495792842058
4078,0.2273124152057613,0.0964883523201222,0.21608064915538272,41,0.2811874721853138,0.16942311621839082
