name,frac_spectra_nonzero,mean_abs_coef_share
2-hydroxybutyrate,0.9666666666666667,0.1728012146180619
L-serine,0.9333333333333333,0.14460641064386373
myo-inositol,0.9833333333333333,0.1372753960398498
citrate,0.9666666666666667,0.1112865676407027
L-ornithine,0.9333333333333333,0.05416892197270994
L-asparagine,0.9166666666666666,0.04184312402441381
L-lysine,0.85,0.03844859521368997
L-valine,0.9333333333333333,0.033980172691311955
L-tryptophan,0.9666666666666667,0.03297721265812858
L-isoleucine,0.9,0.028815568495306754
glucose,0.7,0.024005151420875833
L-aspartate,0.4,0.021224570323569038
creatinine,0.9833333333333333,0.01728570334973371
L-phenylalanine,0.9666666666666667,0.0153728011947681
3-hydroxybutyrate,1.0,0.014141654815186571
L-threonine,0.9833333333333333,0.01136849677903031
L-citrulline,0.11666666666666667,0.010202835595690898
L-histidine,0.9166666666666666,0.009488524810219456
creatine,0.9833333333333333,0.009216877263145939
L-lactate,1.0,0.008949416586819742
glycerol,0.9666666666666667,0.006508577400612497
sarcosine,0.9333333333333333,0.005314635319578883
L-proline,0.36666666666666664,0.005034027731029622
L-leucine,0.7833333333333333,0.004966977247078014
glutathione,0.7166666666666667,0.004690840654169274
L-glutamine,0.7,0.004285228863889673
L-tyrosine,0.9666666666666667,0.0035108888277048953
pyruvate,0.9833333333333333,0.003434940158618174
glycine,0.9833333333333333,0.0034328404595090223
trimethylamine,0.9833333333333333,0.0034080323986497617
L-alanine,0.6,0.003299852044255965
L-arginine,0.9333333333333333,0.0030323575666772345
acetate,0.9833333333333333,0.002510166755826906
L-carnitine,0.9666666666666667,0.002087138402460731
L-methionine,0.7166666666666667,0.0019496143442500717
formate,1.0,0.0010939142580534665
taurine,0.9666666666666667,0.00103532811609897
choline,0.85,0.0007804895454834873
L-glutamate,0.65,0.0007419842046199244
succinate,0.9666666666666667,0.0005725181173888577
dimethylglycine,0.7333333333333333,0.000567517558239396
betaine,0.9666666666666667,0.0001976702737205221
TMAO,0.9666666666666667,8.524361500589098e-05
