name,frac_spectra_nonzero,mean_abs_coef_share
L-proline,0.85,0.1952771046787882
taurine,1.0,0.14048282803489084
L-lysine,1.0,0.09373403335082155
glycerol,0.9833333333333333,0.0918728312172357
glucose,0.9333333333333333,0.06721190888591745
L-alanine,1.0,0.06656939663181656
L-tyrosine,0.9,0.05896872258144673
L-citrulline,0.9833333333333333,0.037025537925088434
myo-inositol,0.9666666666666667,0.02643555776351842
L-valine,1.0,0.025332574451693055
L-aspartate,0.9166666666666666,0.024810895004621747
L-glutamate,0.6333333333333333,0.024669795590058073
sarcosine,1.0,0.024178966239189536
2-hydroxybutyrate,0.6166666666666667,0.018499506071827532
L-threonine,1.0,0.01820623316992978
L-serine,0.6166666666666667,0.016149811886666077
L-tryptophan,0.5,0.013141770327223811
L-leucine,0.95,0.009210354882598734
L-isoleucine,0.9333333333333333,0.008482677433026066
L-carnitine,0.9333333333333333,0.006468897098260467
citrate,0.8,0.005820567194995215
L-ornithine,0.8333333333333334,0.005657444877342667
dimethylglycine,1.0,0.004919166197776832
trimethylamine,0.9666666666666667,0.002746065920491624
creatine,0.9166666666666666,0.0025858926548142755
choline,0.9166666666666666,0.0016028670049449097
creatinine,0.9333333333333333,0.0015326856735345933
L-lactate,0.9166666666666666,0.001512644598417658
glycine,0.9333333333333333,0.001344677524690657
L-methionine,0.6333333333333333,0.0011589748134313085
3-hydroxybutyrate,0.7666666666666667,0.0006904054068289748
acetate,0.8666666666666667,0.0006208056564728953
betaine,0.5666666666666667,0.0005634363631211359
TMAO,0.55,0.000560895345806806
glutathione,0.48333333333333334,0.0004637172166171586
formate,1.0,0.00044877018663727354
pyruvate,0.7,0.0002907874172707711
L-asparagine,0.5833333333333334,0.00028243068964746036
L-phenylalanine,0.7333333333333333,0.00028195099695170776
succinate,0.9166666666666666,0.0001577051518711346
L-glutamine,0.6,2.435884986255675e-05
L-arginine,0.65,3.85670502591942e-06
L-histidine,0.7666666666666667,4.903288273667033e-07
