name,frac_spectra_nonzero,mean_abs_coef_share
L-proline,1.0,0.1912090942897814
2-hydroxybutyrate,0.9166666666666666,0.16824233927786758
L-serine,0.9833333333333333,0.13315632733398783
L-histidine,1.0,0.10453261233202028
L-phenylalanine,1.0,0.10201327067993832
glucose,0.8166666666666667,0.043333838238762704
L-lactate,1.0,0.039245513490759415
glutathione,0.9833333333333333,0.030169527148717148
L-aspartate,0.8666666666666667,0.027809310271391243
L-isoleucine,1.0,0.02621189343484463
3-hydroxybutyrate,1.0,0.02526218755093563
L-threonine,0.9333333333333333,0.014340634047251465
betaine,1.0,0.012540788541556916
creatine,0.9833333333333333,0.010001347804476847
L-carnitine,0.7166666666666667,0.009014635412154663
L-arginine,1.0,0.0066725477855712366
myo-inositol,0.9833333333333333,0.006488271562558303
taurine,1.0,0.006328747533087828
L-valine,0.9666666666666667,0.005233381219280314
citrate,0.8666666666666667,0.004674594895497652
L-glutamate,0.9666666666666667,0.0043438832656463935
glycerol,1.0,0.0040848310017647625
L-glutamine,0.95,0.004058710254277721
choline,0.85,0.0038244269472785413
TMAO,0.9833333333333333,0.002843549344284966
L-alanine,0.9666666666666667,0.0024519348880846187
acetate,0.9833333333333333,0.0023185939830953134
sarcosine,0.95,0.001429039406780337
L-leucine,0.8166666666666667,0.0013426783827841637
formate,1.0,0.0011740610218644331
creatinine,0.9666666666666667,0.0008930718553593076
L-citrulline,0.65,0.0008861848687736625
succinate,1.0,0.0008529904052725727
dimethylglycine,0.9666666666666667,0.0007015337405832437
L-lysine,0.9333333333333333,0.0006688291613135912
L-tryptophan,0.3333333333333333,0.0005813719607701077
glycine,1.0,0.0004129097442539211
L-methionine,0.7333333333333333,0.00034790919910189245
pyruvate,1.0,0.0002731594247538282
trimethylamine,0.65,1.2053808168462973e-05
L-tyrosine,0.6333333333333333,8.941348122698235e-06
L-ornithine,0.9333333333333333,7.162107918321964e-06
L-asparagine,0.45,1.3110293057739024e-06
