name,frac_spectra_nonzero,mean_abs_coef_share
2-hydroxybutyrate,0.95,0.2176496819356928
L-proline,0.9666666666666667,0.16566589528573758
L-histidine,1.0,0.10665213775494455
L-serine,1.0,0.09614291979777606
L-phenylalanine,1.0,0.09438296455737728
L-lactate,0.9833333333333333,0.06266400892332517
glucose,0.9333333333333333,0.03993130450653801
3-hydroxybutyrate,0.9833333333333333,0.027139327139239913
L-isoleucine,1.0,0.02613703066408176
L-aspartate,0.8166666666666667,0.02130649239283689
glutathione,0.9833333333333333,0.020577827164217164
L-threonine,0.9833333333333333,0.017929120413988895
creatine,0.9666666666666667,0.00948072813623729
citrate,0.85,0.008266982377450738
betaine,0.9666666666666667,0.008210239995526501
L-valine,0.95,0.007484286061023125
choline,0.8333333333333334,0.00647893585424062
taurine,1.0,0.006186281777683045
myo-inositol,0.9666666666666667,0.006062221272506258
L-carnitine,0.7333333333333333,0.006053096806883739
glycerol,1.0,0.005524893524341209
L-citrulline,0.7333333333333333,0.0052521995792762155
L-glutamate,0.9666666666666667,0.004507170356251598
L-arginine,1.0,0.003634307664742377
acetate,1.0,0.003294632912240559
L-ornithine,0.9333333333333333,0.003163664035951555
L-glutamine,0.9166666666666666,0.0029228526773954397
L-alanine,0.9666666666666667,0.002907647373903578
L-tyrosine,0.7666666666666667,0.002569181477198171
L-leucine,0.7166666666666667,0.0019099369233061309
TMAO,0.9666666666666667,0.0018943161273962353
formate,1.0,0.0015865534193149722
sarcosine,0.9333333333333333,0.0012171422033124583
L-lysine,0.9333333333333333,0.0010534753530882573
glycine,1.0,0.0008910969015290388
succinate,1.0,0.0007280401200897785
L-asparagine,0.55,0.000634754716150257
creatinine,0.9166666666666666,0.0006211113029738438
dimethylglycine,0.8666666666666667,0.00048809550566787424
L-methionine,0.7666666666666667,0.0003629206219328195
pyruvate,1.0,0.0002646515896989587
L-tryptophan,0.3,0.00013199387975986417
trimethylamine,0.6666666666666666,3.787891717142025e-05
