name,frac_spectra_nonzero,mean_abs_coef_share
myo-inositol,1.0,0.13195428781044027
homoarginine,1.0,0.09786229170731144
sarcosine,1.0,0.055623038741355754
L-leucine,1.0,0.050971874208475716
L-ascorbate,1.0,0.049539558394456666
L-valine,1.0,0.04476837568115022
L-glutamine,0.95,0.03906022441260788
uridine,0.95,0.037712215652338434
2-oxoglutarate,0.95,0.03689898681929108
2-hydroxybutyrate,1.0,0.03313889981800878
L-serine,0.95,0.03200794698673558
L-aspartate,1.0,0.031087857329810425
L-asparagine,1.0,0.026123825217053323
L-proline,1.0,0.021937002168451448
l-anserine,1.0,0.021755575637965627
valerate,1.0,0.020758832674838877
adenosine,1.0,0.018351901201002215
5-hydroxyindoleacetate,0.95,0.017161449432386233
l-homoserine,1.0,0.016953280987331072
trimethylamine,1.0,0.015569113380640699
glucose,1.0,0.014982083697541294
trans-4-hydroxy-l-proline,0.9,0.014751106190054594
glycine,1.0,0.012032625735379224
isovalerate,1.0,0.010584342659551705
L-glutamate,0.9,0.009690268851508567
L-arginine,1.0,0.009461649613938698
dimethylglycine,1.0,0.008974357202467744
propionate,1.0,0.008584459368794204
ketoleucine,1.0,0.008094018158811339
l-cysteine,1.0,0.007429032690807823
L-isoleucine,0.9,0.006116506898181972
L-ornithine,0.95,0.005808580781921436
L-tyrosine,0.9,0.005695615005431044
3-hydroxyphenylacetic-acid,1.0,0.005502893266507847
guanidineacetic-acid,1.0,0.005334646938539165
L-citrulline,0.7,0.005075193295314671
pantothenate,1.0,0.005052356180703038
scyllo-inositol,1.0,0.004649730523426722
hypotaurine,0.95,0.004481021151155793
creatine,1.0,0.0042750240442997085
choline,0.7,0.003722108990776867
l-kynurenine,1.0,0.0035560017415118
butyrate,0.8,0.003153651339215394
glutathione,1.0,0.0031116316293046944
beta-alanine,1.0,0.0029278725851095673
L-threonine,1.0,0.002819578226155327
L-methionine,0.85,0.002527864396033642
3-hydroxybutyrate,0.85,0.0023304235326448946
creatinine,0.8,0.0021388583669701227
4-hydroxyphenylacetic-acid,1.0,0.0019655798868638582
L-phenylalanine,0.95,0.0018167736511202532
L-lysine,0.95,0.0016623912299451277
phenylacetate,0.85,0.0014024582850155395
L-malate,0.95,0.0012187713463709011
L-lactate,1.0,0.0009845194079091115
succinate,1.0,0.0008201092894754946
uracil,1.0,0.0008094031508884859
L-tryptophan,1.0,0.0007089943343987837
L-histidine,0.95,0.0007050575570196655
allantoin,1.0,0.0006610649172081837
betaine,1.0,0.0006565537005615781
fumarate,1.0,0.0006240526514925352
pyruvate,1.0,0.0005237504533938433
2-aminobutyrate,0.95,0.0005126588006400168
2-oxobutyrate,0.85,0.0004975135468596823
succinate,0.75,0.0003907183272221106
citrate,0.95,0.0003896803777155294
L-carnitine,0.85,0.00038704162306704254
formate,1.0,0.00027287533471730775
glycerol,0.7,0.00019296705174348864
L-alanine,1.0,0.0001763245823802887
acetate,0.95,0.0001157721817253898
isobutyrate,1.0,0.0001096702694573207
inosine,0.9,8.669805232001439e-05
n-acetyl-l-aspartic-acid,0.55,6.25208168457059e-05
2-hydroxy-3-methylbutyric-acid,0.7,3.786033872626152e-05
benzoate,1.0,3.566121425572511e-05
kynurenic-acid,0.9,3.0072022427812004e-05
taurine,1.0,1.4312785528771102e-05
l-carnosine,1.0,1.3009449007520169e-05
3-methylhistidine,0.6,7.85126551992968e-06
TMAO,1.0,2.6588540406599096e-06
hippurate,1.0,2.0033484793222517e-06
GABA,0.85,1.5486128907971495e-06
phenylacetylglycine,0.75,6.617014554912798e-07
acetyl-l-carnitine,0.6,2.4512729849133953e-07
indole-3-acetic-acid,0.8,1.531303011482021e-07
