name,frac_spectra_nonzero,mean_abs_coef_share
homoarginine,1.0,0.1098229482001448
myo-inositol,1.0,0.09557471716417838
L-asparagine,1.0,0.03890978771361641
2-hydroxybutyrate,1.0,0.0342989695937415
2-oxoglutarate,0.65,0.03346787118845008
L-ascorbate,1.0,0.03220171954563387
l-homoserine,1.0,0.030502331706301462
glucose,0.95,0.02934102519681766
trans-4-hydroxy-l-proline,0.9,0.02806827906753335
glycerol,1.0,0.027958661894844066
L-glutamine,0.9,0.027947974291189316
pantothenate,1.0,0.027485416407119097
L-serine,1.0,0.022883770673745595
uridine,0.9,0.020112327117125735
L-aspartate,1.0,0.019988761895362684
valerate,0.9,0.019033978333170234
L-isoleucine,0.85,0.017573991774906313
L-leucine,1.0,0.017302068420504163
5-hydroxyindoleacetate,1.0,0.017122388872000915
glutathione,1.0,0.0171023452085089
propionate,0.85,0.01563979525079355
L-glutamate,0.95,0.01464174120645734
L-citrulline,0.9,0.014447385495371008
trimethylamine,1.0,0.014273737650521005
L-proline,0.9,0.013212348627136062
L-valine,0.85,0.013035800929796008
l-kynurenine,0.8,0.0126973309248942
L-ornithine,0.95,0.012396360070177916
sarcosine,0.85,0.011065488808062574
acetyl-l-carnitine,0.85,0.010820772064990247
l-cysteine,0.95,0.010651027645984008
glycine,0.9,0.009968782367487007
adenosine,0.95,0.00986562871750717
ketoleucine,0.95,0.00908816673071958
L-arginine,0.95,0.009042214329479763
L-tyrosine,1.0,0.008269496358321094
dimethylglycine,1.0,0.008205472298480572
l-anserine,1.0,0.007976255692876235
2-aminobutyrate,0.95,0.007905132153789872
L-carnitine,0.95,0.007351489987173768
butyrate,0.8,0.00713250766329634
L-threonine,1.0,0.006858727142232151
hypotaurine,1.0,0.00613949053733518
2-hydroxy-3-methylbutyric-acid,1.0,0.006042553019763164
hippurate,1.0,0.0059710914371504525
creatine,1.0,0.005722038745440184
betaine,0.95,0.005487924117944039
isovalerate,0.9,0.005447531128973674
scyllo-inositol,1.0,0.005143382561225289
3-hydroxybutyrate,1.0,0.005120394380102802
inosine,0.9,0.0048856351726519025
succinate,0.85,0.004224586556871629
choline,0.85,0.0036100638089125404
L-phenylalanine,1.0,0.0035670719276972465
guanidineacetic-acid,1.0,0.003323493516876274
phenylacetate,0.9,0.003262065762626101
L-malate,0.95,0.0025609765410771882
L-tryptophan,0.95,0.0024896783997119458
L-histidine,0.95,0.0023371871617210195
phenylacetylglycine,0.95,0.0021251033925385843
l-carnosine,1.0,0.002028682499353693
3-hydroxyphenylacetic-acid,0.9,0.002027305920549558
L-lysine,0.9,0.0020011161644495454
L-methionine,0.85,0.0017846019269351866
taurine,0.9,0.0015630554255739917
L-alanine,0.7,0.0015444340137546403
L-lactate,0.9,0.0014424144524961943
creatinine,0.95,0.0010478890101744873
beta-alanine,0.9,0.0009937076605907973
2-oxobutyrate,0.7,0.0008781013323824876
GABA,0.85,0.0007796790538875131
allantoin,1.0,0.0007627146003929365
4-hydroxyphenylacetic-acid,0.95,0.0006881812203453048
uracil,1.0,0.0006568663804159187
fumarate,1.0,0.0006229964834640685
citrate,0.85,0.00047357982823551496
succinate,0.95,0.00046146104677087133
pyruvate,1.0,0.0003407896493416892
formate,1.0,0.000324791860951315
n-acetyl-l-aspartic-acid,0.85,0.0002853043710012193
acetate,1.0,0.0001959864343038863
benzoate,1.0,0.00015011150974575898
3-methylhistidine,0.75,0.00012964074922242147
kynurenic-acid,0.95,8.941374353480758e-05
isobutyrate,0.9,1.871580645753042e-05
TMAO,0.95,3.1504426518008656e-06
indole-3-acetic-acid,0.6,4.386395581630854e-08
