name,frac_spectra_nonzero,mean_abs_coef_share
L-proline,0.9833333333333333,0.11590460423922873
2-hydroxybutyrate,0.5666666666666667,0.07906391387748735
isovalerate,0.9,0.05535225358165907
l-cysteine,0.8833333333333333,0.047557767673690896
L-serine,0.9666666666666667,0.04716085620170144
ketoleucine,0.8666666666666667,0.045846313272416166
L-asparagine,0.65,0.04201935421082713
L-ascorbate,0.8666666666666667,0.031414773377463234
uridine,0.8833333333333333,0.026524429879016494
L-aspartate,0.75,0.026054717062572928
L-histidine,0.8333333333333334,0.024493195334722766
myo-inositol,0.85,0.02231434541552789
hippurate,0.9166666666666666,0.021911869901017015
valerate,0.9833333333333333,0.02098585333563075
3-hydroxybutyrate,0.9833333333333333,0.018451728477422994
l-kynurenine,0.8833333333333333,0.017464305777076146
L-lactate,0.9666666666666667,0.016598248925902885
L-threonine,0.9,0.016285780492804183
glucose,0.8166666666666667,0.014405780305069204
beta-alanine,0.8666666666666667,0.01282595810374042
L-arginine,0.95,0.012400148379991652
glycerol,0.8333333333333334,0.0118735522375519
L-phenylalanine,0.8833333333333333,0.011555562280209725
butyrate,0.9,0.010389366641038624
n-acetyl-l-aspartic-acid,0.9,0.010254710410363766
pantothenate,0.8666666666666667,0.009964649214381466
5-hydroxyindoleacetate,0.85,0.00983027125842964
L-tyrosine,0.6666666666666666,0.009622578899054159
citrate,0.95,0.008995523349450397
taurine,0.85,0.008978531973852549
3-methylhistidine,0.85,0.008530239120766742
succinate,0.95,0.00843052881368616
inosine,0.8,0.008013755010307495
L-carnitine,1.0,0.0070171981343923814
L-isoleucine,0.95,0.006689615351589258
creatine,0.8333333333333334,0.006523434808012261
TMAO,0.9833333333333333,0.005894959249652501
l-homoserine,0.8833333333333333,0.005888106353563107
L-valine,0.95,0.0056424182714102785
betaine,1.0,0.005610912717115834
propionate,0.9333333333333333,0.005514633442705442
adenosine,0.85,0.005503160191803604
L-glutamate,0.85,0.005175882949925735
L-tryptophan,0.8666666666666667,0.004845773297546063
L-citrulline,0.7166666666666667,0.004802323186618694
choline,0.9333333333333333,0.00479497835869676
dimethylglycine,0.7333333333333333,0.004761852717677806
2-hydroxy-3-methylbutyric-acid,0.9333333333333333,0.004745872488221348
l-carnosine,0.8166666666666667,0.004378109132934189
homoarginine,0.75,0.004353399189093496
trans-4-hydroxy-l-proline,0.8333333333333334,0.004076115955112553
phenylacetate,0.8333333333333334,0.003951492824801392
glycine,0.95,0.003756413606271593
isobutyrate,0.9333333333333333,0.0037447539190237585
GABA,0.8166666666666667,0.00349954282716203
creatinine,0.7666666666666667,0.0034622627860598208
2-aminobutyrate,0.95,0.003292156640759134
L-glutamine,0.9166666666666666,0.003274825744105394
acetyl-l-carnitine,0.95,0.0030744846738074657
glutathione,0.8166666666666667,0.0030144151135108907
indole-3-acetic-acid,0.8333333333333334,0.0028760183528765268
L-ornithine,0.6333333333333333,0.0027941873127584576
L-leucine,0.8166666666666667,0.0026088361900925127
sarcosine,0.7333333333333333,0.002606011127195211
2-oxobutyrate,0.75,0.0025633262848853648
L-alanine,0.85,0.0025226086916097248
4-hydroxyphenylacetic-acid,0.9166666666666666,0.002454766101967002
l-anserine,0.9333333333333333,0.002381829360364085
L-lysine,0.6166666666666667,0.0021501109786054196
3-hydroxyphenylacetic-acid,0.8,0.0020323143039994974
trimethylamine,0.7166666666666667,0.001916901693888591
2-oxoglutarate,0.8666666666666667,0.001805933290425537
scyllo-inositol,0.9166666666666666,0.001630605002162422
L-methionine,0.7833333333333333,0.0014370032410629544
acetate,0.9833333333333333,0.0013601055200288805
hypotaurine,0.7,0.0012559968801599357
phenylacetylglycine,0.8666666666666667,0.0012158374782403445
allantoin,1.0,0.0011946110790977198
L-malate,0.7,0.0009223767753135556
succinate,0.9666666666666667,0.0008908028369393141
pyruvate,0.9833333333333333,0.0006420786654696916
guanidineacetic-acid,0.9333333333333333,0.0005650998194235878
fumarate,1.0,0.0004137325684681076
formate,1.0,0.00038175502383239743
uracil,0.9333333333333333,0.00031946571652224557
kynurenic-acid,0.95,0.00016594815815199147
benzoate,0.8666666666666667,0.00012717658082417915
