row,r2_full,r2_metabolites_only,r2_envelope_only,n_metabolites_used,r2_unconstrained_upper_bound,metabolite_signal_frac
47,0.9381942630705284,0.9380275266618856,0.1386345228518534,85,0.939262514738443,0.5437651220769207
86,0.8377476440300488,0.8374437098827572,0.23560545465937077,80,0.8444910310210624,0.7699010462540945
123,0.9109471249023329,0.9108334261045137,0.07652188432831086,87,0.9146161632922932,0.43518221107320804
227,0.7445613813631213,0.6147320799705787,0.41169225824403677,83,0.7970751236137434,0.5831278708728596
291,0.9159541202881057,0.9155021124878762,0.10172596226815711,85,0.920319460491874,0.4094118700620761
363,0.7027005364283687,0.49798119306407984,0.5062395785784339,77,0.7570579365375975,0.5777506815786305
421,0.8001356343269223,0.7999433884822715,0.2108700424135429,82,0.8107885319253196,0.7670576419375685
497,0.6681540693164826,0.513013265585109,0.49750904120717176,85,0.7098214442458609,0.5677000865612806
824,0.8327999185751398,0.8327964962628327,0.22105156777525015,82,0.8380884176530179,0.8575656969370933
873,0.7348830879603092,0.6772358675404317,0.3989727012668516,82,0.7673615925995649,0.8161545183443519
955,0.722307442981149,0.5248388188902018,0.5401185505896038,78,0.7639531374025161,0.6260693914489127
1281,0.7681123857285477,0.6180084190674604,0.6175151069350633,72,0.7979527461127897,0.8780532966865203
1750,0.6680602005378972,0.6216186976080589,0.2787248920271398,83,0.7159147501379874,1.0746457377438827
1757,0.5915199904180165,0.5684784546644495,0.20936255084963618,79,0.6415214244815934,1.1247384839855108
2515,0.6192879527999061,0.6032429851382085,0.20167771437471005,78,0.6467277463679597,1.485371388018936
2618,0.6732170688634663,0.6146397972476957,0.3442458962035706,82,0.7090511528221788,1.0422736672845323
2694,0.6446628172650695,0.5951199766907658,0.2898099424475826,83,0.7010423879793584,1.1531036925021465
2900,0.6185823313809431,0.5928720554616147,0.21227217169288748,80,0.663559023608388,1.3810470044420027
2964,0.7159618545500598,0.5332933044072974,0.4671843162501158,71,0.7676989795925686,1.176156211621752
3635,0.5885170856535864,0.4886031955097787,0.2801539212982469,80,0.6328204956048502,1.2556526591456858
3671,0.7195810991114213,0.5437744494459587,0.49364651161880724,80,0.7596770942475963,0.9955365793203038
3757,0.574659227524096,0.5295855870945104,0.22423045522942053,76,0.6316017167648218,1.418508620962242
3846,0.6341870082246417,0.5993755939630253,0.25742803379211554,72,0.6781963462317572,1.1166556549617777
4021,0.6985991744333016,0.5750050301264935,0.3950940772914413,79,0.7388229508881036,1.0131279659399521
4373,0.6115825669775201,0.5275795998826645,0.2747746324844125,80,0.6599977453989192,1.1539686100862419
4549,0.6284305173941177,0.4909772990468918,0.3382468966587233,76,0.6739097409439974,1.3082394692943942
4741,0.5679314144551715,0.5383472617681281,0.20829561877439917,79,0.6112695042792465,1.2102687145531503
4804,0.6052554122630611,0.577615219307462,0.18723370566454534,81,0.6576447245876671,1.2621875762322499
4960,0.5321452087819623,0.501969177186156,0.17205496387988528,80,0.6033927785655528,1.4195981303079739
