name,frac_spectra_nonzero,mean_abs_coef_share
2-hydroxybutyrate,0.9833333333333333,0.1276185271649177
L-proline,1.0,0.051204937500825685
L-aspartate,0.9833333333333333,0.05053180724786068
hippurate,0.8666666666666667,0.050102890677504716
ketoleucine,0.6666666666666666,0.04129780471774049
pantothenate,0.95,0.039088722944308825
isovalerate,0.9833333333333333,0.03895634435222285
L-serine,1.0,0.03516150998643458
valerate,1.0,0.028745157112024643
n-acetyl-l-aspartic-acid,0.9666666666666667,0.028126087576302656
uridine,0.9166666666666666,0.02484242545734055
creatine,0.9666666666666667,0.024652332313419494
L-ascorbate,1.0,0.022145954586919505
glycine,1.0,0.018948290946630707
l-kynurenine,1.0,0.01827206569024422
L-lactate,1.0,0.017731014213111795
myo-inositol,1.0,0.017300840205232818
3-hydroxybutyrate,1.0,0.01713692855879244
L-citrulline,0.8666666666666667,0.01670586879535939
2-oxobutyrate,0.9166666666666666,0.01649771430948206
glucose,1.0,0.015242791574066494
beta-alanine,0.9833333333333333,0.014013250242490779
L-isoleucine,1.0,0.01388220496038632
L-asparagine,0.7833333333333333,0.01372130017384222
L-threonine,0.9833333333333333,0.012764291499271963
butyrate,0.9333333333333333,0.012525554213888361
inosine,0.8166666666666667,0.011389486199524528
l-cysteine,0.6,0.010358963814917122
betaine,0.95,0.010206418191668766
succinate,1.0,0.009171476862132407
trimethylamine,0.7166666666666667,0.009085805655088366
GABA,1.0,0.008756701425205644
L-carnitine,1.0,0.00804175271689085
trans-4-hydroxy-l-proline,1.0,0.007799144246489674
propionate,0.8666666666666667,0.007104790767648075
choline,1.0,0.006984976740850766
2-hydroxy-3-methylbutyric-acid,0.95,0.006704805543997484
L-valine,1.0,0.006332983564229705
creatinine,0.9166666666666666,0.006062313678477813
citrate,0.9666666666666667,0.005356004639076057
L-phenylalanine,0.9833333333333333,0.005327094531301761
L-histidine,0.9833333333333333,0.00519856338082732
TMAO,0.9833333333333333,0.005029509083065797
L-tyrosine,0.75,0.004989612591787471
glutathione,1.0,0.004920084237593638
indole-3-acetic-acid,1.0,0.004751603412070835
4-hydroxyphenylacetic-acid,0.9666666666666667,0.004595563914894174
taurine,1.0,0.004294380351937755
isobutyrate,0.95,0.004042478732257256
L-ornithine,0.9166666666666666,0.0037179040451613726
2-oxoglutarate,0.9,0.003357975580117762
L-tryptophan,1.0,0.003296196489622065
L-glutamine,0.9166666666666666,0.0032948335423671395
L-lysine,0.7333333333333333,0.003262478446593557
glycerol,0.9833333333333333,0.00321976659948615
2-aminobutyrate,0.9833333333333333,0.003204489815089224
scyllo-inositol,0.9833333333333333,0.0031470135610530926
L-glutamate,0.8833333333333333,0.003140954583167791
adenosine,0.8333333333333334,0.003137761676668088
hypotaurine,0.9333333333333333,0.0030814907166442362
L-arginine,0.9333333333333333,0.002849637995707723
L-leucine,0.7166666666666667,0.0028216134865915324
homoarginine,0.85,0.0028080573086824746
3-hydroxyphenylacetic-acid,0.9833333333333333,0.0027375857356480284
L-methionine,0.9166666666666666,0.00261291307204865
phenylacetylglycine,1.0,0.002467809780680348
l-homoserine,0.9,0.002420666694577317
3-methylhistidine,0.5833333333333334,0.0023483992586491647
l-carnosine,0.7166666666666667,0.0021211645205983683
allantoin,1.0,0.0020496804379540414
L-alanine,0.8833333333333333,0.0020366487112382353
acetyl-l-carnitine,1.0,0.0016682854685632915
L-malate,0.7333333333333333,0.0013477996963749976
acetate,1.0,0.001275001672289177
dimethylglycine,0.6833333333333333,0.0012321313521453517
sarcosine,0.6333333333333333,0.001201856828961268
succinate,1.0,0.0010890634328556965
fumarate,1.0,0.0009164870835895015
phenylacetate,0.9833333333333333,0.0007891528787281367
guanidineacetic-acid,1.0,0.0006882432129078127
formate,1.0,0.0006565804888448019
l-anserine,0.9333333333333333,0.0006362599054006066
pyruvate,0.9833333333333333,0.000631552662986166
5-hydroxyindoleacetate,0.9166666666666666,0.0006195582424073682
uracil,0.6833333333333333,0.000327354916050285
kynurenic-acid,0.8333333333333334,5.662635746165897e-05
benzoate,0.8833333333333333,7.872439532412733e-06
