name,frac_spectra_nonzero,mean_abs_coef_share
2-hydroxybutyrate,0.9,0.21981434157145813
L-proline,1.0,0.18308516696144125
L-histidine,1.0,0.10866874684228578
L-serine,0.9333333333333333,0.10570264189814864
L-phenylalanine,1.0,0.10223406028267447
L-lactate,1.0,0.037960218501538835
glucose,0.7333333333333333,0.0350486275404049
3-hydroxybutyrate,1.0,0.026731137257164476
glutathione,0.95,0.025210038669103076
L-isoleucine,1.0,0.024522491638413718
L-aspartate,0.8833333333333333,0.02413812935430131
L-threonine,0.9333333333333333,0.013835121032192164
betaine,1.0,0.010766401162116461
creatine,0.9833333333333333,0.009407784278156753
L-carnitine,0.7333333333333333,0.006979307502579118
L-asparagine,0.5,0.00618956598626559
myo-inositol,0.9833333333333333,0.005934561547700483
L-valine,0.9666666666666667,0.005612601152078212
taurine,1.0,0.004925928860487566
L-arginine,0.9833333333333333,0.004447696220567668
choline,0.8166666666666667,0.004204554546215799
L-glutamine,0.9666666666666667,0.004199971150469518
citrate,0.7666666666666667,0.004063557660023475
L-glutamate,0.9666666666666667,0.0039643324119445645
TMAO,0.9833333333333333,0.0033295468956136675
glycerol,0.9833333333333333,0.002817377821678475
acetate,0.9833333333333333,0.002673293295778153
L-alanine,0.9666666666666667,0.0023251419461478256
formate,1.0,0.0012465482749961041
L-lysine,0.9166666666666666,0.0012180916623077164
L-leucine,0.7166666666666667,0.0011949111712124987
L-citrulline,0.6833333333333333,0.0010135053915197546
sarcosine,0.95,0.000972605123279087
succinate,1.0,0.0009398294516619706
L-tryptophan,0.35,0.0008161345522454714
creatinine,0.9333333333333333,0.0007841135778263338
L-tyrosine,0.65,0.0006835668545602471
trimethylamine,0.6333333333333333,0.0005894678865706099
dimethylglycine,0.9,0.0005880338829411108
glycine,1.0,0.0004978133593389057
L-methionine,0.75,0.0003053010097236664
pyruvate,1.0,0.0002939824520690983
L-ornithine,0.9166666666666666,6.375136279735651e-05
