row,r2_full,r2_metabolites_only,r2_envelope_only,n_metabolites_used,r2_unconstrained_upper_bound,metabolite_signal_frac
228,0.8553960575339747,0.8488239554821528,0.05497558973528949,85,0.8623420399802334,0.6596920772404896
499,0.7533375542627716,0.729153218396356,0.21899381675614737,81,0.7756884490823045,0.7443139853726907
827,0.8371334767250456,0.6640621706723242,0.6645008928287681,76,0.8718199497784751,0.8026038789775503
1757,0.6529194023465751,0.6284604592879153,0.20936255084952016,79,0.681295014071951,1.1907880314539883
2630,0.6156982699561819,0.5867824338627864,0.22557795467866537,82,0.6368344041737746,1.2352612750259142
2976,0.6562182006896978,0.6078728024757647,0.2759612970519555,84,0.6808833628774691,1.190541658240262
4761,0.6477661159883845,0.6191243121681587,0.20620086926811576,85,0.6661924289357148,1.1685190419091998
4824,0.6155506929793471,0.5868289411489821,0.1899931014720676,85,0.6350649075094643,1.4706898775572388
5129,0.6244549572162135,0.5943464038689124,0.21330100429645082,84,0.6394225871853508,1.2536076220629182
5279,0.6586771466612901,0.6255956215862933,0.23260708858588552,84,0.6764274217814275,1.2732185685428563
5701,0.71763401444058,0.6636774803036838,0.3282601867532414,85,0.7392799428495718,1.0904477803268846
5935,0.6890446843984495,0.6552373319035933,0.248346867726989,84,0.7078512774327687,1.1562554802686174
5968,0.6788201437285506,0.6265439163280044,0.3193968814357634,81,0.6988086968391829,1.1567546504430526
6087,0.7612513083776694,0.7367798346610199,0.22266395834548736,80,0.784940465969823,0.7611934869453509
6824,0.6068935452598387,0.5994337956899717,0.1627520970984212,84,0.620141947467189,1.3786377891221007
7586,0.7498710298206906,0.6188975881703249,0.5640721650911049,66,0.7788228137137112,0.8865140636953557
7927,0.6417380535342738,0.5982227219145322,0.3164803269774672,85,0.6649775282761474,1.158533760085751
8542,0.6869933093186392,0.6142224533284633,0.36429568619408004,78,0.7078470497822018,1.131555901138975
8771,0.750712837206744,0.6661679088676808,0.4546226533992257,82,0.7755908044061868,0.9889037668268021
9125,0.7047094443248781,0.6278621973686648,0.41577669231101266,85,0.7259375870493632,1.1084070210967205
