name,frac_spectra_nonzero,mean_abs_coef_share
5-hydroxyindoleacetate,1.0,0.11351295419645677
homoarginine,1.0,0.06588395699037931
glycerol,1.0,0.05917662274473262
myo-inositol,1.0,0.042415734730275836
sarcosine,1.0,0.03426210439040785
L-aspartate,1.0,0.03123069960217104
2-oxoglutarate,0.95,0.030400669892870644
L-asparagine,1.0,0.02967477767193204
trans-4-hydroxy-l-proline,1.0,0.029674738559153712
L-carnitine,0.95,0.025851226603888847
L-ascorbate,1.0,0.024491063177512543
L-glutamine,1.0,0.022948237925688657
glutathione,1.0,0.022612071392289438
2-hydroxybutyrate,1.0,0.021292430781490377
L-proline,1.0,0.0206018384434857
L-citrulline,1.0,0.019222352220903516
uridine,0.85,0.018458578321676238
glycine,0.95,0.017826794087916473
L-serine,0.9,0.017526054423467045
L-leucine,1.0,0.01724922051796795
trimethylamine,1.0,0.01523604273730259
propionate,0.95,0.015141391125154492
valerate,1.0,0.014979404710175984
L-valine,0.95,0.014958320151085688
L-threonine,1.0,0.014533134130077447
l-cysteine,0.9,0.013701561146969108
hypotaurine,1.0,0.011823520645619551
l-homoserine,0.9,0.011573463878133537
betaine,1.0,0.010775731239326323
glucose,0.95,0.0103838292269172
3-methylhistidine,0.95,0.010293848751954836
adenosine,0.95,0.010242472634245653
ketoleucine,0.95,0.010126170706005083
l-kynurenine,0.95,0.010072975397064936
hippurate,1.0,0.00978427437816599
L-arginine,0.9,0.008548962655932732
succinate,1.0,0.007849847773314229
dimethylglycine,1.0,0.007687471191653749
inosine,0.9,0.007658649256058239
creatine,1.0,0.007371188948183493
L-ornithine,0.95,0.007362100915435138
3-hydroxybutyrate,1.0,0.00679216121352017
acetyl-l-carnitine,1.0,0.006304396008126868
butyrate,0.8,0.0063008563169988634
pantothenate,1.0,0.006222607264591565
2-aminobutyrate,0.95,0.00570136123577699
2-hydroxy-3-methylbutyric-acid,0.95,0.005494558212024199
scyllo-inositol,1.0,0.004931583349096874
creatinine,1.0,0.004696245018382608
guanidineacetic-acid,1.0,0.004165597543840589
taurine,1.0,0.004028588665891967
L-tyrosine,1.0,0.00402073036808276
beta-alanine,0.9,0.003062541852554691
L-isoleucine,0.95,0.0029878361716589464
4-hydroxyphenylacetic-acid,1.0,0.0029549010906366317
2-oxobutyrate,0.9,0.002671133497244215
3-hydroxyphenylacetic-acid,1.0,0.002522505655551771
phenylacetate,0.75,0.0025042897507113198
isovalerate,0.9,0.002329847533709541
n-acetyl-l-aspartic-acid,0.95,0.0023155945689063407
L-lactate,0.85,0.0021874115425411862
succinate,1.0,0.0021822947818172975
l-anserine,1.0,0.002073205927023825
L-tryptophan,1.0,0.002049160576718379
GABA,0.65,0.0018320451192538648
uracil,1.0,0.001755041718954085
L-lysine,0.75,0.0017059050247980702
indole-3-acetic-acid,0.95,0.0015066062733404715
choline,0.85,0.0015054226607779553
allantoin,1.0,0.0012672708033814547
L-methionine,0.75,0.0011378451594649256
phenylacetylglycine,1.0,0.0011245176280210165
fumarate,1.0,0.0009984881401514936
L-glutamate,0.75,0.0007610242521231861
pyruvate,0.75,0.0005871902817917536
l-carnosine,0.95,0.00045668323448404735
L-malate,0.7,0.0004482064563468498
TMAO,1.0,0.00040371068147789223
kynurenic-acid,0.85,0.000335115806315503
formate,1.0,0.0003229307503596975
L-alanine,1.0,0.00029602284982088446
benzoate,0.95,0.00023415566031849777
isobutyrate,1.0,0.00019433842656807438
acetate,0.9,7.627311446711631e-05
citrate,0.45,7.510649894245869e-05
L-histidine,0.8,5.214960412800461e-05
L-phenylalanine,1.0,8.053435862557e-06
