row,r2_full,r2_metabolites_only,r2_envelope_only,n_metabolites_used,r2_unconstrained_upper_bound,metabolite_signal_frac
228,0.8799779541982321,0.8766821590773958,0.05497558973528949,81,0.9027408117686371,0.645312057620236
499,0.7587727354136626,0.7418748254321959,0.21899381675614737,83,0.7940729942934791,0.7756114763079922
827,0.868022137808055,0.7468852183518062,0.6645008928287681,83,0.8934832087905089,0.8005852911134669
1757,0.6944045364392482,0.6777624499943666,0.20936255084952016,82,0.7042078929587836,1.162407181069928
2630,0.741638385312031,0.7275572164103391,0.22557795467866537,82,0.7510475641152807,1.0890104428389589
2976,0.6413636620233882,0.5901269332187833,0.2759612970519555,84,0.6708385311758492,1.3062531934293522
4761,0.6760505466564447,0.6548100590237038,0.20620086926811576,83,0.6927577983795326,1.1145250404469893
4824,0.799020679161788,0.7871303986854528,0.1899931014720676,79,0.8067585241939121,1.2280206761925363
5129,0.6432702707445535,0.6231315079788404,0.21330100429645082,86,0.6553270861977742,1.2487588860687764
5279,0.7033280811011122,0.6855470801485402,0.23260708858588552,85,0.7113350005536075,1.3542978138612995
5701,0.7539081132916213,0.7162395360727747,0.3282601867532414,84,0.7735546894195511,1.1262199203868994
5935,0.708634163018653,0.6840313615378824,0.248346867726989,86,0.7154929189007984,1.0813688715065104
5968,0.7568438775501299,0.7278172178552864,0.3193968814357634,82,0.7688255904106984,1.0835450985565154
6087,0.7901734542028073,0.7753402764953908,0.22266395834548736,84,0.8089644472535039,0.8234161619947714
6824,0.7717686828934905,0.7673060140646903,0.1627520970984212,86,0.781162900492044,1.1565071956312236
7586,0.769129020021236,0.6676697358950408,0.5640721650911049,81,0.7888714638227281,0.926465077668117
7927,0.7029329340537769,0.674865564171987,0.3164803269774672,79,0.714102493139213,1.0973093833875585
8542,0.8153275843935858,0.7568379939770168,0.36429568619408004,84,0.832498760725263,1.0994587626795953
8771,0.763847132818712,0.7083045298595099,0.4546226533992257,85,0.7921430179085818,0.9298267344727988
9125,0.8027699393534903,0.7564157366164191,0.41577669231101266,84,0.814673705905698,1.0239662233927433
