name,frac_spectra_nonzero,mean_abs_coef_share
glycine,1.0,0.05729058858392988
homoarginine,1.0,0.056220823679982296
glycerol,1.0,0.054575811989828575
5-hydroxyindoleacetate,1.0,0.052105605677864986
L-lysine,0.9,0.03706684056382891
2-oxoglutarate,0.95,0.029061976317148866
l-homoserine,1.0,0.02859528630550403
myo-inositol,1.0,0.024992681706610172
trans-4-hydroxy-l-proline,0.95,0.024538352432005025
glucose,1.0,0.023039055802453776
indole-3-acetic-acid,0.95,0.022158985680456662
L-asparagine,1.0,0.02157366272237428
L-aspartate,1.0,0.019891259813127782
2-hydroxybutyrate,0.95,0.019879934042662716
L-glutamine,0.95,0.019765177281341487
TMAO,1.0,0.019227295862362714
sarcosine,1.0,0.01859996623311823
L-serine,0.9,0.017802896722630877
succinate,0.95,0.01762250433779412
L-ascorbate,1.0,0.01644868328215989
trimethylamine,1.0,0.01627179261576814
l-kynurenine,1.0,0.014162714674797676
l-cysteine,1.0,0.014050240594655039
valerate,0.95,0.013978071549966256
uridine,1.0,0.01358590099744144
L-methionine,0.85,0.013560532675117386
glutathione,1.0,0.01323971577227778
butyrate,0.95,0.013035667531727455
l-anserine,1.0,0.012677313641551823
propionate,1.0,0.0125029406611102
3-methylhistidine,1.0,0.01231031128692468
L-leucine,1.0,0.012104091598980413
L-valine,1.0,0.011504432385203225
pantothenate,1.0,0.01083021381229778
L-arginine,0.85,0.010605818040366706
hypotaurine,1.0,0.010510525379922728
betaine,1.0,0.009802121481880232
phenylacetate,1.0,0.009219423419389885
L-threonine,1.0,0.009171093224828895
hippurate,1.0,0.009081180555810855
3-hydroxybutyrate,1.0,0.00856091105133081
L-proline,0.9,0.008524557391580872
dimethylglycine,1.0,0.007964298895015867
adenosine,1.0,0.007651187908190146
creatine,1.0,0.00757526037175039
taurine,1.0,0.007559764963276796
creatinine,0.95,0.0074397589356944805
guanidineacetic-acid,1.0,0.0069709483758898716
2-aminobutyrate,0.95,0.006893698987717795
isovalerate,1.0,0.006827229211132888
inosine,0.9,0.006409442375008075
L-citrulline,0.9,0.006216828308358048
ketoleucine,1.0,0.006129009621055601
L-tyrosine,0.95,0.005857414990853015
scyllo-inositol,1.0,0.005817201742254554
choline,0.95,0.005771340683771249
acetyl-l-carnitine,0.95,0.0049715463719831356
L-isoleucine,1.0,0.004322121684803346
phenylacetylglycine,0.9,0.004149530360933605
pyruvate,0.95,0.004085593814983476
2-oxobutyrate,1.0,0.003971036758883529
2-hydroxy-3-methylbutyric-acid,0.95,0.0037688569114086635
L-ornithine,0.9,0.0036262291423793678
3-hydroxyphenylacetic-acid,0.95,0.0034611807707215806
n-acetyl-l-aspartic-acid,1.0,0.0032919205125457444
L-lactate,1.0,0.0028865730201303526
succinate,1.0,0.002668691464134924
L-tryptophan,0.95,0.0025446950068232555
beta-alanine,0.75,0.002537032061573655
L-carnitine,0.9,0.0023905378843769175
isobutyrate,1.0,0.0023364196969129273
GABA,0.3,0.0019180397233144486
citrate,0.75,0.001828015762636927
4-hydroxyphenylacetic-acid,0.95,0.0015975116226042152
L-glutamate,0.75,0.001546088282671921
uracil,1.0,0.0013540095837163224
L-malate,0.95,0.0013523743419168424
allantoin,1.0,0.001030056032239187
kynurenic-acid,0.95,0.00093040895961014
fumarate,1.0,0.000829420717774488
L-histidine,0.95,0.00041119556144836235
acetate,1.0,0.0003643409452238888
formate,1.0,0.00028564815259660386
benzoate,0.9,0.00025256174142778424
l-carnosine,0.95,0.00024309721033714804
L-alanine,0.9,0.00021338157773323816
L-phenylalanine,1.0,1.539572069501706e-06
