row,r2_full,r2_metabolites_only,r2_envelope_only,n_metabolites_used,r2_unconstrained_upper_bound,metabolite_signal_frac
228,0.27844477765970244,0.2706973162291353,0.05497558973528949,75,0.373595298770361,0.35448470434959595
499,0.5790274376803262,0.5492359440173168,0.21899381675614737,82,0.6312007548136992,0.48918083008168484
827,0.7021658363281301,0.35633622811669385,0.6645008928287681,82,0.7741908986955811,0.37811083242484955
1757,0.24505760112176223,0.12779459429149276,0.20936255084952016,83,0.3228379374553232,0.35867194645608197
2630,0.2641092471358554,0.16675544147440757,0.22557795467866537,82,0.33240561990503836,0.3140592514221596
2976,0.35238605810345036,0.26715301187717166,0.2759612970519555,76,0.40047904032655546,0.6339001271462297
4761,0.3004188161750899,0.22074152713178663,0.20620086926811576,74,0.3532054469702893,0.6446653449120485
4824,0.2384557476161857,0.15866282884256533,0.1899931014720676,85,0.2979261512263457,0.5579103420099315
5129,0.30055212875518067,0.24687378162113793,0.21330100429645082,85,0.3639680230124348,0.6672178865131515
5279,0.3076146824976468,0.21710487803273593,0.23260708858588552,76,0.38663172692346315,0.5794734309452108
5701,0.3644708880780867,0.1845600493065731,0.3282601867532414,84,0.47532891330958227,0.345376854676186
5935,0.3486812407600445,0.2778736664455388,0.248346867726989,82,0.3848092794243383,0.444355670950959
5968,0.40053421560975644,0.3012934684889528,0.3193968814357634,56,0.4513122192716327,0.5975566955391176
6087,0.5341546324105403,0.48755445734502256,0.22266395834548736,84,0.586139696331601,0.4772696196239454
6824,0.5387012233506678,0.5190276746855091,0.1627520970984212,85,0.5770927641860237,0.7087992432520667
7586,0.6246486429617961,0.42795778725310185,0.5640721650911049,83,0.6854259062254913,0.4175572192230005
7927,0.3980175418092514,0.31789972048830906,0.3164803269774672,84,0.45293217259722296,0.49077252016200457
8542,0.4297459914840257,0.2468633732874923,0.36429568619408004,82,0.48864086886309555,0.4304608901939598
8771,0.5530276010407897,0.398291322589724,0.4546226533992257,81,0.6431264264656744,0.49688829349185815
9125,0.5384636760818611,0.32789934441182644,0.41577669231101266,84,0.5981470739932225,0.6075033681777929
