name,frac_spectra_nonzero,mean_abs_coef_share
homoarginine,1.0,0.08203976664987749
myo-inositol,0.9,0.07320492639922689
glycerol,0.85,0.06465874654104913
l-homoserine,1.0,0.04532474444099804
L-asparagine,1.0,0.04101442580744448
5-hydroxyindoleacetate,1.0,0.030368056352792612
L-ascorbate,1.0,0.030044751194992076
pantothenate,0.95,0.029801664688181274
2-hydroxybutyrate,1.0,0.02513462191212261
glucose,0.9,0.02507166541969789
2-oxoglutarate,0.9,0.024956094282896676
L-serine,1.0,0.022423021491131786
valerate,0.85,0.021983992366134464
butyrate,0.85,0.020768926695032757
trans-4-hydroxy-l-proline,0.8,0.020277590533911708
glycine,0.9,0.02007715275976045
L-isoleucine,0.9,0.019101647414159355
L-arginine,0.95,0.01797054245418585
L-glutamine,0.95,0.017969017253574422
glutathione,1.0,0.017507517596096197
uridine,0.95,0.014776566584059195
L-leucine,0.95,0.01402050502603755
L-threonine,0.85,0.013688520779265854
L-carnitine,1.0,0.013146181156451943
l-cysteine,1.0,0.012747728532886561
L-glutamate,0.9,0.012370359877885257
2-aminobutyrate,0.9,0.012274306120773064
L-aspartate,0.9,0.012146892194130765
hippurate,1.0,0.011776833291445087
l-anserine,1.0,0.011008111104599877
L-valine,0.95,0.010962902446073829
trimethylamine,1.0,0.010813095912733555
propionate,0.95,0.009765753284960063
L-tyrosine,0.95,0.009575940936658284
L-lysine,0.8,0.009289364903926945
L-citrulline,0.85,0.00915308739306463
L-histidine,0.95,0.00867236110329686
3-hydroxybutyrate,0.9,0.007372490075839012
l-kynurenine,0.95,0.007361854495522548
sarcosine,0.8,0.0071933686880725845
scyllo-inositol,1.0,0.006936969896683774
adenosine,1.0,0.006796941525881364
L-ornithine,0.75,0.0062909214099963655
L-proline,0.85,0.006161742847926801
acetyl-l-carnitine,0.95,0.005760999331849622
hypotaurine,0.9,0.005712244171846207
3-hydroxyphenylacetic-acid,0.85,0.0052356867765470955
dimethylglycine,1.0,0.005201649489749602
ketoleucine,0.95,0.004861824531492617
inosine,0.95,0.004685487099321867
phenylacetylglycine,0.95,0.004329828200921148
beta-alanine,0.8,0.004215418876668071
succinate,0.8,0.004201191687714528
creatine,0.95,0.004171950328895909
choline,0.8,0.004112917147238031
taurine,0.8,0.0039191395660219735
3-methylhistidine,0.75,0.0038450661916286663
L-malate,0.95,0.0037275591645842604
betaine,0.9,0.0037151486152571076
guanidineacetic-acid,1.0,0.003003141962668762
isovalerate,0.95,0.002924055225012803
l-carnosine,0.9,0.002545957876459076
2-hydroxy-3-methylbutyric-acid,0.95,0.002472971411391361
L-alanine,0.95,0.0024499066177930133
L-tryptophan,0.85,0.0023628999040141486
creatinine,0.95,0.0023493936326373756
TMAO,0.9,0.002280760198195879
2-oxobutyrate,0.85,0.002191288648850332
4-hydroxyphenylacetic-acid,0.9,0.0021802352458472752
L-methionine,0.8,0.0021268381810503638
L-phenylalanine,0.95,0.0013441972946439606
indole-3-acetic-acid,0.8,0.0012705217074344623
L-lactate,0.9,0.001154210889175688
phenylacetate,0.9,0.0011380253742933782
GABA,0.95,0.0008633931711319504
uracil,1.0,0.000810079539473929
pyruvate,1.0,0.0008004954605675602
allantoin,1.0,0.000714099755095638
fumarate,1.0,0.0006616962745836122
citrate,0.9,0.00048745614937817133
n-acetyl-l-aspartic-acid,0.95,0.00043462481139342293
formate,1.0,0.0004145017384980316
kynurenic-acid,0.95,0.00041173024349836526
acetate,1.0,0.0003722309240403291
succinate,0.95,0.0003105577933005344
benzoate,0.95,0.0001778342720719193
isobutyrate,0.9,4.91126763238478e-05
