name,bmse_id,formula,gissmo_name,ph,temperature_k,solvent,roi_rmsd,peak_ppm,frac_area_in_water_window
glucose,bmse000015,C6H12O6,(+/-)-Glucose,7.4,298.0,,0.01206,3.8209939651028835,0.0
L-lactate,bmse000208,C3H6O3,L-lactic-acid,7.4,298.0,,0.00736,1.3119721372385964,0.0
L-alanine,bmse000028,C3H7NO2,L-alanine,7.4,298.0,,0.00494,1.4601055916259131,0.0
L-valine,bmse000052,C5H11NO2,L-valine,7.4,298.0,,0.01421,1.0271494075729954,0.0
L-isoleucine,bmse000041,C6H13NO2,L-isoleucine,7.4,298.0,,0.00773,1.0043526027878027,0.0
L-leucine,bmse000042,C6H13NO2,L-leucine,7.4,298.0,,0.03603,0.9485050087357241,0.0
L-glutamine,bmse000038,C5H10N2O3,L-glutamine,7.4,298.0,,0.01157,2.4340510105210154,0.0
L-glutamate,bmse000037,C5H9NO4,L-glutamic-acid,7.4,298.0,,0.00829,2.3417651501857772,0.0
glycine,bmse000089,C2H5NO2,Glycine,7.4,298.0,,0.01828,3.5443194909629137,0.0
citrate,bmse000076,C6H8O7,Citrate,7.4,298.0,,0.00829,2.5333864851874175,0.0
creatine,bmse000078,C4H9N3O2,Creatine,7.4,298.0,,0.00831,3.0239297785169867,0.0
creatinine,bmse000155,C4H7N3O,Creatinine,7.4,298.0,,0.01304,3.0340006561329353,0.0
pyruvate,bmse000112,C3H4O3,Pyruvic-acid,7.4,298.0,,0.00374,2.3640126343737364,0.0
acetate,bmse000191,C2H4O2,Acetic-acid,7.4,298.0,,0.00796,1.9049637219522246,0.0
3-hydroxybutyrate,bmse000161,C4H8O3,3-Hydroxybutyrate,7.4,298.0,,0.00653,1.192128693608808,0.0
2-hydroxybutyrate,bmse000361,C4H8O3,2-Hydroxybutanoic-acid,7.4,298.0,,0.00883,0.8858824606510982,0.0
formate,bmse000203,CH2O2,Formate,7.4,298.0,,0.00677,8.447921355601164,0.0
L-histidine,bmse000039,C6H9N3O2,L-histidine,7.4,298.0,,0.02089,7.067295587887481,0.0
L-phenylalanine,bmse000045,C9H11NO2,L-phenylalanine,7.4,298.0,,0.02086,7.318884421420451,0.0
L-tyrosine,bmse000051,C9H11NO3,L-tyrosine,11.15,298.0,,0.01231,6.599915313074593,0.0
L-threonine,bmse000049,C4H9NO3,L-threonine,7.4,298.0,,0.01334,1.305838057236155,0.0
L-proline,bmse000047,C5H9NO2,L-proline,7.4,298.0,,0.01504,1.989559093926193,0.0
L-lysine,bmse000043,C6H14N2O2,L-lysine,7.4,298.0,,0.01184,3.011753171944976,0.0
L-methionine,bmse000044,C5H11NO2S,L-methionine,7.4,298.0,,0.00553,2.1211213769636306,0.0
taurine,bmse000120,C2H7NO3S,Taurine,7.4,298.0,,0.01243,3.411383906432391,0.0
choline,bmse000285,C5H14NO,Choline,7.4,298.0,,0.02577,3.1949515911223685,0.0
betaine,bmse000069,C5H11NO2,Betaine,7.4,298.0,,0.00592,3.25537685681806,0.0
myo-inositol,bmse000103,C6H12O6,Myo-inositol,7.4,298.0,,0.01059,3.6089562145707292,0.0
succinate,bmse000183,C4H6O4,Succinic-acid,7.4,298.0,,0.01078,2.390929343638181,0.0
L-asparagine,bmse000030,C4H8N2O3,L-asparagine,7.4,298.0,,0.0132,2.9287142083298363,0.0
L-aspartate,bmse000031,C4H7NO4,L-aspartic-acid,7.4,298.0,,0.00535,2.7893698834982565,0.0
L-arginine,bmse000029,C6H14N4O2,L-arginine,7.4,298.0,,0.00834,3.236608403079247,0.0
L-serine,bmse000048,C3H7NO3,L-serine,7.4,298.0,,0.01123,3.9369006111191647,0.0
L-tryptophan,bmse000050,C11H12N2O2,L-tryptophan,7.4,298.0,,0.01856,7.3035034446979115,0.0
L-ornithine,bmse000162,C5H12N2O2,L-ornithine,7.4,298.0,,0.01571,3.042606678822928,0.0
trimethylamine,bmse000224,C3H9N,Trimethylamine,7.4,298.0,,0.00236,2.8791838011459436,0.0
TMAO,bmse000426,C3H9NO,Trimethylamine-N-oxide,7.4,298.0,,0.00448,3.24970054397998,0.0
